Wavelength,GDD
1391.411485,-4.228186491
1393.230695,-9.046176319
1395.049905,-12.75542372
1396.869115,-15.90022043
1398.688324,-18.5410433
1400.507534,-20.71821025
1402.326744,-22.35108547
1404.145953,-24.1049144
1405.965163,-25.6168359
1407.784373,-26.98764472
1409.603583,-28.39877144
1411.422792,-29.76958027
1413.242002,-31.01943537
1415.061212,-32.30960838
1416.880421,-33.70057615
1418.699631,-35.11170288
1420.518841,-36.38171693
1422.338051,-37.59125413
1424.15726,-38.90158609
1425.97647,-39.99016957
1427.79568,-40.91748142
1429.614889,-40.99811723
1431.434099,-39.2846062
1432.757161,-34.67828538
1433.659248,-28.74147365
1434.410988,-22.05094105
1434.824445,-17.18787357
1435.072519,-12.13913572
1435.182774,-0.473581447
1435.541103,-6.848850414
1436.931105,2.601858862
1437.057111,-3.596539289
1438.132099,-11.33925725
1438.403799,-25.53907993
1438.413249,0.389020163
1438.545555,-19.06965585
1438.793629,-30.54821984
1438.899947,-41.60000598
1438.959012,-36.1935667
1439.207086,-46.85861293
1439.289778,-56.89009205
1439.561478,-77.23815548
1439.620543,-71.96898908
1439.868617,-82.37004901
1440.125879,-88.45229319
1440.133229,-94.17340413
1440.329326,-100.6167816
1440.813661,-107.1742011
1441.498818,-109.5975952
1442.349357,-107.9661599
1442.624995,-100.8147713
1442.961273,-93.28641018
1443.424345,-85.68043712
1443.672419,-80.81780961
1444.185105,-74.77041162
1444.582024,-69.04930069
1445.326246,-63.3947143
1446.070468,-58.15590632
1447.641604,-54.48445696
1449.488377,-54.25867668
1451.280023,-55.41176881
1453.099233,-57.10512088
1454.918443,-59.00006249
1456.737653,-60.99579886
1458.556862,-62.85042256
1460.376072,-65.00743056
1462.195282,-66.8015774
1464.014491,-68.59572424
1465.833701,-70.5511427
1467.652911,-72.52672012
1469.472121,-74.52245649
1471.29133,-76.73994135
1473.11054,-78.53408819
1474.92975,-80.4693477
1476.748959,-82.64651466
1478.568169,-84.90431742
1480.387379,-87.42418658
1482.206589,-89.64167144
1484.025798,-91.75836153
1485.845008,-94.45966126
1487.664218,-96.93921251
1489.483427,-99.27765109
1491.302637,-101.7370434
1493.121847,-104.6197737
1494.941057,-107.4420272
1496.760266,-110.0425321
1498.579476,-112.9655804
1500.371122,-116.2817282
1502.217896,-119.0334253
1504.037105,-122.0572683
1505.856315,-125.3028597
1507.675525,-128.5282923
1509.494734,-131.9149964
1511.313944,-135.4428132
1513.133154,-138.8698353
1514.952364,-142.3976521
1516.771573,-146.2076943
1518.590783,-150.0983723
1520.409993,-153.8882555
1522.229202,-157.8192513
1524.048412,-162.1534263
1525.867622,-166.5279192
1527.686832,-170.8217762
1529.506041,-175.1761101
1531.325251,-179.4901261
1533.144461,-183.824301
1534.880979,-188.5939094
1536.617497,-192.9966248
1538.165007,-198.2296731
1539.925152,-201.8588491
1541.578979,-206.7853488
1543.315497,-211.7444513
1544.969324,-216.5120438
1546.54046,-221.2549975
1548.111595,-225.8698299
1549.682731,-230.1988531
1550.84041,-235.0179628
1552.576928,-239.906509
1554.148064,-244.760337
1555.636508,-249.5402488
1557.124952,-254.369438
1558.613397,-259.3218209
1560.101841,-264.3727586
1561.590285,-269.3005027
1563.161421,-274.6988464
1564.567174,-279.4410962
1565.807544,-283.8958649
1567.213297,-288.5187048
1568.701742,-293.7667523
1570.124033,-299.224229
