  wavelength transmission
3.30000000E+02 3.69846200E-03
3.40000000E+02 2.11574663E-01
3.50000000E+02 2.21844513E+00
3.60000000E+02 9.11900931E+00
3.70000000E+02 2.17203686E+01
3.80000000E+02 3.71342737E+01
3.90000000E+02 5.06685985E+01
4.00000000E+02 6.14114544E+01
4.20000000E+02 7.34635691E+01
4.40000000E+02 7.95137636E+01
4.60000000E+02 8.59773625E+01
4.80000000E+02 9.02371565E+01
5.00000000E+02 9.35465394E+01
5.50000000E+02 9.74217108E+01
6.00000000E+02 9.74217108E+01
6.50000000E+02 9.74217108E+01
7.00000000E+02 9.81190643E+01
8.00000000E+02 9.81190643E+01
8.50000000E+02 9.88207031E+01
9.00000000E+02 9.90557743E+01
9.50000000E+02 9.90557743E+01
1.00000000E+03 9.90557743E+01
1.06000000E+03 9.90557743E+01
1.20000000E+03 9.90557743E+01
1.40000000E+03 9.90557743E+01
1.60000000E+03 9.90557743E+01
1.80000000E+03 9.74217108E+01
2.00000000E+03 9.26539010E+01
2.20000000E+03 8.24886927E+01
2.40000000E+03 5.08073740E+01
