  wavelength transmission
2.00000000E+02 6.80215723E+00
2.00500000E+02 7.14062809E+00
2.01000000E+02 7.46676412E+00
2.01500000E+02 7.78158028E+00
2.02000000E+02 8.08609155E+00
2.02500000E+02 8.38131287E+00
2.03000000E+02 8.66825924E+00
2.03500000E+02 8.94794560E+00
2.04000000E+02 9.22138694E+00
2.04500000E+02 9.48959822E+00
2.05000000E+02 9.75359441E+00
2.05500000E+02 1.00143905E+01
2.06000000E+02 1.02730014E+01
2.06500000E+02 1.05304421E+01
2.07000000E+02 1.07877276E+01
2.07500000E+02 1.10458728E+01
2.08000000E+02 1.13058928E+01
2.08500000E+02 1.15688024E+01
2.09000000E+02 1.18356167E+01
2.09500000E+02 1.21073506E+01
2.10000000E+02 1.23850191E+01
2.10500000E+02 1.26697448E+01
2.11000000E+02 1.29632175E+01
2.11500000E+02 1.32673128E+01
2.12000000E+02 1.35839064E+01
2.12500000E+02 1.39148742E+01
2.13000000E+02 1.42620918E+01
2.13500000E+02 1.46274351E+01
2.14000000E+02 1.50127799E+01
2.14500000E+02 1.54200018E+01
2.15000000E+02 1.58509767E+01
2.15500000E+02 1.63075802E+01
2.16000000E+02 1.67916883E+01
2.16500000E+02 1.73051766E+01
2.17000000E+02 1.78499209E+01
2.17500000E+02 1.84277970E+01
2.18000000E+02 1.90406806E+01
2.18500000E+02 1.96904476E+01
2.19000000E+02 2.03789736E+01
2.19500000E+02 2.11081344E+01
2.20000000E+02 2.18798058E+01
2.20500000E+02 2.26953545E+01
2.21000000E+02 2.35525908E+01
2.21500000E+02 2.44478082E+01
2.22000000E+02 2.53772945E+01
2.22500000E+02 2.63373376E+01
2.23000000E+02 2.73242255E+01
2.23500000E+02 2.83342459E+01
2.24000000E+02 2.93636867E+01
2.24500000E+02 3.04088359E+01
2.25000000E+02 3.14659812E+01
2.25500000E+02 3.25314106E+01
2.26000000E+02 3.36014119E+01
2.26500000E+02 3.46722730E+01
2.27000000E+02 3.57402817E+01
2.27500000E+02 3.68017260E+01
2.28000000E+02 3.78528937E+01
2.28500000E+02 3.88900727E+01
2.29000000E+02 3.99095508E+01
2.29500000E+02 4.09076159E+01
2.30000000E+02 4.18805559E+01
2.30500000E+02 4.28249296E+01
2.31000000E+02 4.37398478E+01
2.31500000E+02 4.46258232E+01
2.32000000E+02 4.54833825E+01
2.32500000E+02 4.63130527E+01
2.33000000E+02 4.71153608E+01
2.33500000E+02 4.78908337E+01
2.34000000E+02 4.86399982E+01
2.34500000E+02 4.93633814E+01
2.35000000E+02 5.00615101E+01
2.35500000E+02 5.07349112E+01
2.36000000E+02 5.13841117E+01
2.36500000E+02 5.20096385E+01
2.37000000E+02 5.26120185E+01
2.37500000E+02 5.31917786E+01
2.38000000E+02 5.37494458E+01
2.38500000E+02 5.42855470E+01
2.39000000E+02 5.48006091E+01
2.39500000E+02 5.52951590E+01
2.40000000E+02 5.57697237E+01
2.40500000E+02 5.62248884E+01
2.41000000E+02 5.66620006E+01
2.41500000E+02 5.70829425E+01
2.42000000E+02 5.74896069E+01
2.42500000E+02 5.78838871E+01
2.43000000E+02 5.82676761E+01
2.43500000E+02 5.86428670E+01
2.44000000E+02 5.90113529E+01
2.44500000E+02 5.93750268E+01
2.45000000E+02 5.97357819E+01
2.45500000E+02 6.00955112E+01
2.46000000E+02 6.04561077E+01
2.46500000E+02 6.08194646E+01
2.47000000E+02 6.11874750E+01
2.47500000E+02 6.15620319E+01
2.48000000E+02 6.19450284E+01
2.48500000E+02 6.23383576E+01
2.49000000E+02 6.27439126E+01
2.49500000E+02 6.31635864E+01
2.50000000E+02 6.35992721E+01
2.50500000E+02 6.40527428E+01
2.51000000E+02 6.45235095E+01
2.51500000E+02 6.50090669E+01
2.52000000E+02 6.55068392E+01
2.52500000E+02 6.60142505E+01
2.53000000E+02 6.65287251E+01
2.53500000E+02 6.70476871E+01
2.54000000E+02 6.75685607E+01
2.54500000E+02 6.80887702E+01
2.55000000E+02 6.86057396E+01
2.55500000E+02 6.91168932E+01
2.56000000E+02 6.96196552E+01
2.56500000E+02 7.01114498E+01
2.57000000E+02 7.05897011E+01
2.57500000E+02 7.10518333E+01
2.58000000E+02 7.14952706E+01
2.58500000E+02 7.19174372E+01
2.59000000E+02 7.23157573E+01
2.59500000E+02 7.26876551E+01
2.60000000E+02 7.30305547E+01
2.60500000E+02 7.33419520E+01
2.61000000E+02 7.36214204E+01
2.61500000E+02 7.38708823E+01
2.62000000E+02 7.40923867E+01
2.62500000E+02 7.42879822E+01
2.63000000E+02 7.44597176E+01
2.63500000E+02 7.46096417E+01
2.64000000E+02 7.47398033E+01
2.64500000E+02 7.48522512E+01
2.65000000E+02 7.49490340E+01
2.65500000E+02 7.50322006E+01
2.66000000E+02 7.51037997E+01
2.66500000E+02 7.51658802E+01
2.67000000E+02 7.52204907E+01
2.67500000E+02 7.52696800E+01
2.68000000E+02 7.53154970E+01
2.68500000E+02 7.53599903E+01
2.69000000E+02 7.54052088E+01
2.69500000E+02 7.54532012E+01
2.70000000E+02 7.55060163E+01
2.70500000E+02 7.55656815E+01
2.71000000E+02 7.56331696E+01
2.71500000E+02 7.57079381E+01
2.72000000E+02 7.57893269E+01
2.72500000E+02 7.58766763E+01
2.73000000E+02 7.59693261E+01
2.73500000E+02 7.60666165E+01
2.74000000E+02 7.61678874E+01
2.74500000E+02 7.62724790E+01
2.75000000E+02 7.63797313E+01
2.75500000E+02 7.64889842E+01
2.76000000E+02 7.65995780E+01
2.76500000E+02 7.67108525E+01
2.77000000E+02 7.68221479E+01
2.77500000E+02 7.69328041E+01
2.78000000E+02 7.70421613E+01
2.78500000E+02 7.71495595E+01
2.79000000E+02 7.72543387E+01
2.79500000E+02 7.73558389E+01
2.80000000E+02 7.74534003E+01
2.80500000E+02 7.75463660E+01
2.81000000E+02 7.76344032E+01
2.81500000E+02 7.77177729E+01
2.82000000E+02 7.77968001E+01
2.82500000E+02 7.78718098E+01
2.83000000E+02 7.79431268E+01
2.83500000E+02 7.80110761E+01
2.84000000E+02 7.80759826E+01
2.84500000E+02 7.81381712E+01
2.85000000E+02 7.81979667E+01
2.85500000E+02 7.82556942E+01
2.86000000E+02 7.83116786E+01
2.86500000E+02 7.83662447E+01
2.87000000E+02 7.84197175E+01
2.87500000E+02 7.84724219E+01
2.88000000E+02 7.85246829E+01
2.88500000E+02 7.85768252E+01
2.89000000E+02 7.86291739E+01
2.89500000E+02 7.86820539E+01
2.90000000E+02 7.87357900E+01
2.90500000E+02 7.87907069E+01
2.91000000E+02 7.88470124E+01
2.91500000E+02 7.89046389E+01
2.92000000E+02 7.89634790E+01
2.92500000E+02 7.90234252E+01
2.93000000E+02 7.90843702E+01
2.93500000E+02 7.91462065E+01
2.94000000E+02 7.92088267E+01
2.94500000E+02 7.92721233E+01
2.95000000E+02 7.93359890E+01
2.95500000E+02 7.94003162E+01
2.96000000E+02 7.94649975E+01
2.96500000E+02 7.95299256E+01
2.97000000E+02 7.95949930E+01
2.97500000E+02 7.96600922E+01
2.98000000E+02 7.97251159E+01
2.98500000E+02 7.97899565E+01
2.99000000E+02 7.98545067E+01
2.99500000E+02 7.99186591E+01
3.00000000E+02 7.99823061E+01
3.00500000E+02 8.00453405E+01
3.01000000E+02 8.01076717E+01
3.01500000E+02 8.01692614E+01
3.02000000E+02 8.02300814E+01
3.02500000E+02 8.02901035E+01
3.03000000E+02 8.03492993E+01
3.03500000E+02 8.04076407E+01
3.04000000E+02 8.04650993E+01
3.04500000E+02 8.05216468E+01
3.05000000E+02 8.05772551E+01
3.05500000E+02 8.06318958E+01
3.06000000E+02 8.06855407E+01
3.06500000E+02 8.07381614E+01
3.07000000E+02 8.07897299E+01
3.07500000E+02 8.08402177E+01
3.08000000E+02 8.08895966E+01
3.08500000E+02 8.09378384E+01
3.09000000E+02 8.09849148E+01
3.09500000E+02 8.10307975E+01
3.10000000E+02 8.10754583E+01
3.10500000E+02 8.11188688E+01
3.11000000E+02 8.11610200E+01
3.11500000E+02 8.12019798E+01
3.12000000E+02 8.12418356E+01
3.12500000E+02 8.12806749E+01
3.13000000E+02 8.13185850E+01
3.13500000E+02 8.13556534E+01
3.14000000E+02 8.13919676E+01
3.14500000E+02 8.14276148E+01
3.15000000E+02 8.14626826E+01
3.15500000E+02 8.14972584E+01
3.16000000E+02 8.15314296E+01
3.16500000E+02 8.15652836E+01
3.17000000E+02 8.15989078E+01
3.17500000E+02 8.16323897E+01
3.18000000E+02 8.16658166E+01
3.18500000E+02 8.16992760E+01
3.19000000E+02 8.17328554E+01
3.19500000E+02 8.17666421E+01
3.20000000E+02 8.18007235E+01
3.20500000E+02 8.18351872E+01
3.21000000E+02 8.18701027E+01
3.21500000E+02 8.19054460E+01
3.22000000E+02 8.19411618E+01
3.22500000E+02 8.19771947E+01
3.23000000E+02 8.20134896E+01
3.23500000E+02 8.20499912E+01
3.24000000E+02 8.20866441E+01
3.24500000E+02 8.21233930E+01
3.25000000E+02 8.21601828E+01
3.25500000E+02 8.21969582E+01
3.26000000E+02 8.22336638E+01
3.26500000E+02 8.22702444E+01
3.27000000E+02 8.23066447E+01
3.27500000E+02 8.23428094E+01
3.28000000E+02 8.23786832E+01
3.28500000E+02 8.24142110E+01
3.29000000E+02 8.24493373E+01
3.29500000E+02 8.24840070E+01
3.30000000E+02 8.25181647E+01
3.30500000E+02 8.25517552E+01
3.31000000E+02 8.25847281E+01
3.31500000E+02 8.26170689E+01
3.32000000E+02 8.26487781E+01
3.32500000E+02 8.26798563E+01
3.33000000E+02 8.27103040E+01
3.33500000E+02 8.27401220E+01
3.34000000E+02 8.27693108E+01
3.34500000E+02 8.27978710E+01
3.35000000E+02 8.28258034E+01
3.35500000E+02 8.28531084E+01
3.36000000E+02 8.28797867E+01
3.36500000E+02 8.29058390E+01
3.37000000E+02 8.29312657E+01
3.37500000E+02 8.29560677E+01
3.38000000E+02 8.29802454E+01
3.38500000E+02 8.30037996E+01
3.39000000E+02 8.30267307E+01
3.39500000E+02 8.30490395E+01
3.40000000E+02 8.30707265E+01
3.40500000E+02 8.30917924E+01
3.41000000E+02 8.31122410E+01
3.41500000E+02 8.31321077E+01
3.42000000E+02 8.31514451E+01
3.42500000E+02 8.31703060E+01
3.43000000E+02 8.31887431E+01
3.43500000E+02 8.32068093E+01
3.44000000E+02 8.32245574E+01
3.44500000E+02 8.32420402E+01
3.45000000E+02 8.32593105E+01
3.45500000E+02 8.32764211E+01
3.46000000E+02 8.32934249E+01
3.46500000E+02 8.33103746E+01
3.47000000E+02 8.33273230E+01
3.47500000E+02 8.33443229E+01
3.48000000E+02 8.33614272E+01
3.48500000E+02 8.33786886E+01
3.49000000E+02 8.33961600E+01
3.49500000E+02 8.34138941E+01
3.50000000E+02 8.34319439E+01
3.50500000E+02 8.34503620E+01
3.51000000E+02 8.34691957E+01
3.51500000E+02 8.34884191E+01
3.52000000E+02 8.35079546E+01
3.52500000E+02 8.35277233E+01
3.53000000E+02 8.35476464E+01
3.53500000E+02 8.35676453E+01
3.54000000E+02 8.35876411E+01
3.54500000E+02 8.36075550E+01
3.55000000E+02 8.36273083E+01
3.55500000E+02 8.36468222E+01
3.56000000E+02 8.36660179E+01
3.56500000E+02 8.36848167E+01
3.57000000E+02 8.37031398E+01
3.57500000E+02 8.37209083E+01
3.58000000E+02 8.37380437E+01
3.58500000E+02 8.37544669E+01
3.59000000E+02 8.37700994E+01
3.59500000E+02 8.37848623E+01
3.60000000E+02 8.37986768E+01
3.60500000E+02 8.38114642E+01
3.61000000E+02 8.38231512E+01
3.61500000E+02 8.38337694E+01
3.62000000E+02 8.38434447E+01
3.62500000E+02 8.38523063E+01
3.63000000E+02 8.38604835E+01
3.63500000E+02 8.38681054E+01
3.64000000E+02 8.38753012E+01
3.64500000E+02 8.38822003E+01
3.65000000E+02 8.38889317E+01
3.65500000E+02 8.38956247E+01
3.66000000E+02 8.39024085E+01
3.66500000E+02 8.39094124E+01
3.67000000E+02 8.39167655E+01
3.67500000E+02 8.39245971E+01
3.68000000E+02 8.39330364E+01
3.68500000E+02 8.39422126E+01
3.69000000E+02 8.39522549E+01
3.69500000E+02 8.39632925E+01
3.70000000E+02 8.39754547E+01
3.70500000E+02 8.39888707E+01
3.71000000E+02 8.40036650E+01
3.71500000E+02 8.40198277E+01
3.72000000E+02 8.40371951E+01
3.72500000E+02 8.40555953E+01
3.73000000E+02 8.40748563E+01
3.73500000E+02 8.40948062E+01
3.74000000E+02 8.41152730E+01
3.74500000E+02 8.41360848E+01
3.75000000E+02 8.41570696E+01
3.75500000E+02 8.41780555E+01
3.76000000E+02 8.41988705E+01
3.76500000E+02 8.42193428E+01
