  wavelength    amplitude
1.00061735E+03 1.01543700E-01
1.00073103E+03 1.14668274E-01
1.00098208E+03 1.23056345E-01
1.00150154E+03 1.20112660E-01
1.00151259E+03 1.01543700E-01
1.00177785E+03 1.23056345E-01
1.00179995E+03 9.97658058E-02
1.00194363E+03 1.23056345E-01
1.00197679E+03 7.40228478E-02
1.00200995E+03 9.61114093E-02
1.00230836E+03 9.18265376E-02
1.00231941E+03 1.15556614E-01
1.00234152E+03 7.40228478E-02
1.00256256E+03 1.01543700E-01
1.00257362E+03 1.20855302E-01
1.00283887E+03 1.23056345E-01
1.00326991E+03 1.01543700E-01
1.00338360E+03 1.14668274E-01
1.00363464E+03 1.23056345E-01
1.00389990E+03 1.23056345E-01
1.00436410E+03 1.21960789E-01
1.00462935E+03 1.23056345E-01
1.00489461E+03 1.23056345E-01
1.00515986E+03 1.23056345E-01
1.00543175E+03 9.94064133E-02
1.00543617E+03 1.24502092E-01
1.00549143E+03 1.52301563E-01
1.00552459E+03 1.33518407E-01
1.00565722E+03 1.08776041E-01
1.00575669E+03 9.61114093E-02
1.00596984E+03 1.14668274E-01
1.00622089E+03 1.23056345E-01
1.00648614E+03 1.23056345E-01
1.00675140E+03 1.02856954E-01
1.00676245E+03 1.21593413E-01
1.00688403E+03 1.50528755E-01
1.00701666E+03 1.12217552E-01
1.00729297E+03 1.01543700E-01
1.00741454E+03 1.23056345E-01
1.00756138E+03 9.84762357E-02
1.00767980E+03 1.23056345E-01
1.00781243E+03 9.74978615E-02
1.00794505E+03 1.23056345E-01
1.00807768E+03 9.74978615E-02
1.00821031E+03 1.23056345E-01
1.00834294E+03 9.97658058E-02
1.00839820E+03 8.42019121E-02
1.00847557E+03 1.23056345E-01
1.00862240E+03 9.84762357E-02
1.00874082E+03 1.23056345E-01
1.00885135E+03 9.97658058E-02
1.00900608E+03 1.23056345E-01
1.00916081E+03 9.97658058E-02
1.00927134E+03 1.23056345E-01
1.00939291E+03 1.04153651E-01
1.00960290E+03 1.24502092E-01
1.00968027E+03 1.48132012E-01
1.00968911E+03 1.02071029E-01
1.00986816E+03 1.21960789E-01
1.00993448E+03 1.02856954E-01
1.01013342E+03 1.23056345E-01
1.01021963E+03 1.01543700E-01
1.01039867E+03 1.23056345E-01
1.01046499E+03 1.01543700E-01
1.01066393E+03 1.28741955E-01
1.01073498E+03 1.00021728E-01
1.01092919E+03 1.24142237E-01
1.01099550E+03 1.04153651E-01
1.01119444E+03 1.23056345E-01
1.01126076E+03 1.04153651E-01
1.01142654E+03 1.23056345E-01
1.01145970E+03 1.04153651E-01
1.01182443E+03 1.01543700E-01
1.01193811E+03 1.14668274E-01
1.01232178E+03 1.52301563E-01
1.01235494E+03 1.34186881E-01
1.01238810E+03 1.18613423E-01
1.01265335E+03 1.23056345E-01
1.01290440E+03 9.84762357E-02
1.01291861E+03 1.23056345E-01
1.01318386E+03 1.23056345E-01
1.01342923E+03 9.83203489E-02
1.01344912E+03 1.21593413E-01
