  wavelength    amplitude        phase
1.01079557E+03 3.39378850E-17 -2.64077187E+01
1.01095913E+03 3.05662305E-17 -2.64077187E+01
1.01112274E+03 1.33686981E-17 -2.64077187E+01
1.01128641E+03 6.44614631E-18 -2.64077187E+01
1.01145013E+03 1.69810648E-17 -2.64077187E+01
1.01161390E+03 4.81065181E-17 -2.64077187E+01
1.01177773E+03 1.20161003E-16 -2.64077187E+01
1.01194160E+03 1.45754788E-16 -2.64077187E+01
1.01210553E+03 4.37929188E-18 -2.64077187E+01
1.01226952E+03 5.32631399E-17 -2.64077187E+01
1.01243356E+03 2.37753425E-16 -2.64077187E+01
1.01259765E+03 1.56664711E-16 -2.64077187E+01
1.01276179E+03 1.20810245E-17 -2.64077187E+01
1.01292599E+03 6.77418834E-17 -2.64077187E+01
1.01309024E+03 2.43922598E-16 -2.64077187E+01
1.01325454E+03 2.03868633E-16 -2.64077187E+01
1.01341890E+03 4.53924933E-17 -2.64077187E+01
1.01358331E+03 7.17537415E-17 -2.64077187E+01
1.01374777E+03 2.63027026E-16 -2.64077187E+01
1.01391229E+03 2.27327806E-16 -2.64077187E+01
1.01407686E+03 3.16283809E-16 -2.64077187E+01
1.01424148E+03 5.88346146E-17 -2.64077187E+01
1.01440616E+03 1.94630609E-16 -2.64077187E+01
1.01457089E+03 2.42525053E-16 -2.64077187E+01
1.01473567E+03 1.20662820E-16 -2.64077187E+01
1.01490051E+03 1.36295900E-18 -2.64077187E+01
1.01506540E+03 2.18782348E-16 -2.64077187E+01
1.01523035E+03 7.41700606E-16 -2.64077187E+01
1.01539534E+03 4.21691370E-16 -2.64077187E+01
1.01556040E+03 6.20754985E-17 -2.64077187E+01
1.01572550E+03 6.66660350E-17 -2.64077187E+01
1.01589066E+03 5.90461189E-16 -2.64077187E+01
1.01605587E+03 1.01114951E-15 -2.64077187E+01
1.01622114E+03 8.06512733E-16 -2.64077187E+01
1.01638646E+03 7.34909994E-16 -2.64077187E+01
1.01655184E+03 1.75673518E-16 -2.64077187E+01
1.01671726E+03 1.58661095E-16 -2.64077187E+01
1.01688275E+03 8.88416779E-16 -2.64077187E+01
1.01704828E+03 2.09601639E-15 -2.64077187E+01
1.01721387E+03 2.48357689E-15 -2.64077187E+01
1.01737952E+03 1.03887437E-15 -2.64077187E+01
1.01754521E+03 5.36117255E-17 -2.64077187E+01
1.01771096E+03 1.20231016E-15 -2.64077187E+01
1.01787677E+03 3.81120850E-15 -2.64077187E+01
1.01804263E+03 4.88435038E-15 -2.64077187E+01
1.01820854E+03 2.97131067E-15 -2.64077187E+01
1.01837451E+03 2.24790009E-15 -2.64077187E+01
1.01854053E+03 5.23392329E-15 -2.64077187E+01
1.01870661E+03 9.43733752E-15 -2.64077187E+01
1.01887274E+03 1.09594444E-14 -2.64077187E+01
1.01903893E+03 7.50278637E-15 -2.64077187E+01
1.01920516E+03 2.92164556E-15 -2.64077187E+01
1.01937146E+03 4.37247131E-15 -2.64077187E+01
1.01953780E+03 1.67738587E-14 -2.64077187E+01
1.01970421E+03 4.59730918E-14 -2.64077187E+01
1.01987066E+03 1.05901419E-13 -2.64077187E+01
1.02003717E+03 2.23529839E-13 -2.64077187E+01
1.02020374E+03 4.30570928E-13 -2.49518763E+01
1.02037036E+03 7.41115621E-13 -2.35537312E+01
1.02053703E+03 1.17547927E-12 -2.22189038E+01
1.02070376E+03 1.74132393E-12 -2.09338822E+01
1.02087054E+03 2.50399122E-12 -1.96974492E+01
1.02103738E+03 3.72249807E-12 -1.84832303E+01
1.02120427E+03 5.55161850E-12 -1.72725980E+01
1.02137121E+03 8.38332683E-12 -1.60458850E+01
1.02153821E+03 1.27831629E-11 -1.47982874E+01
1.02170527E+03 1.90746499E-11 -1.35279832E+01
1.02187238E+03 2.78492331E-11 -1.22594934E+01
1.02203954E+03 3.94968040E-11 -1.09948689E+01
1.02220676E+03 5.31328160E-11 -9.75286043E+00
1.02237404E+03 6.91538916E-11 -8.53574259E+00
1.02254137E+03 8.52018813E-11 -7.33199599E+00
1.02270875E+03 9.91480662E-11 -6.15474615E+00
1.02287619E+03 1.12086691E-10 -4.99706572E+00
1.02304368E+03 1.21191159E-10 -3.85898426E+00
1.02321123E+03 1.28219609E-10 -2.74859554E+00
1.02337883E+03 1.34528922E-10 -1.64483497E+00
1.02354649E+03 1.39154436E-10 -5.59569629E-01
1.02371420E+03 1.47151826E-10 +4.98479913E-01
1.02388197E+03 1.55704091E-10 +1.54919705E+00
1.02404979E+03 1.66165643E-10 +2.56993677E+00
1.02421767E+03 1.85860011E-10 +3.55714147E+00
1.02438560E+03 2.04386452E-10 +4.52759456E+00
1.02455359E+03 2.25272667E-10 +5.46229826E+00
1.02472163E+03 2.56784710E-10 +6.36121720E+00
1.02488973E+03 2.82530534E-10 +7.22507310E+00
