  wavelength    amplitude        phase
1.01079557E+03 5.82562314E-09 +2.64077187E+01
1.01095913E+03 5.52867348E-09 +2.64077187E+01
1.01112274E+03 3.65632303E-09 +2.64077187E+01
1.01128641E+03 2.53892621E-09 +2.64077187E+01
1.01145013E+03 4.12080876E-09 +2.64077187E+01
1.01161390E+03 6.93588625E-09 +2.64077187E+01
1.01177773E+03 1.09617974E-08 +2.64077187E+01
1.01194160E+03 1.20728948E-08 +2.64077187E+01
1.01210553E+03 2.09267577E-09 +2.64077187E+01
1.01226952E+03 7.29816004E-09 +2.64077187E+01
1.01243356E+03 1.54192550E-08 +2.64077187E+01
1.01259765E+03 1.25165775E-08 +2.64077187E+01
1.01276179E+03 3.47577682E-09 +2.64077187E+01
1.01292599E+03 8.23054576E-09 +2.64077187E+01
1.01309024E+03 1.56180216E-08 +2.64077187E+01
1.01325454E+03 1.42782573E-08 +2.64077187E+01
1.01341890E+03 6.73739514E-09 +2.64077187E+01
1.01358331E+03 8.47075802E-09 +2.64077187E+01
1.01374777E+03 1.62181080E-08 +2.64077187E+01
1.01391229E+03 1.50773939E-08 +2.64077187E+01
1.01407686E+03 1.77843698E-08 +2.64077187E+01
1.01424148E+03 7.67037252E-09 +2.64077187E+01
1.01440616E+03 1.39510075E-08 +2.64077187E+01
1.01457089E+03 1.55732159E-08 +2.64077187E+01
1.01473567E+03 1.09846630E-08 +2.64077187E+01
1.01490051E+03 1.16745835E-09 +2.64077187E+01
1.01506540E+03 1.47912930E-08 +2.64077187E+01
1.01523035E+03 2.72341808E-08 +2.64077187E+01
1.01539534E+03 2.05351253E-08 +2.64077187E+01
1.01556040E+03 7.87880058E-09 +2.64077187E+01
1.01572550E+03 8.16492713E-09 +2.64077187E+01
1.01589066E+03 2.42994072E-08 +2.64077187E+01
1.01605587E+03 3.17985771E-08 +2.64077187E+01
1.01622114E+03 2.83991678E-08 +2.64077187E+01
1.01638646E+03 2.71092234E-08 +2.64077187E+01
1.01655184E+03 1.32541887E-08 +2.64077187E+01
1.01671726E+03 1.25960746E-08 +2.64077187E+01
1.01688275E+03 2.98063211E-08 +2.64077187E+01
1.01704828E+03 4.57822716E-08 +2.64077187E+01
1.01721387E+03 4.98354983E-08 +2.64077187E+01
1.01737952E+03 3.22315741E-08 +2.64077187E+01
1.01754521E+03 7.32200284E-09 +2.64077187E+01
1.01771096E+03 3.46743444E-08 +2.64077187E+01
1.01787677E+03 6.17349860E-08 +2.64077187E+01
1.01804263E+03 6.98881276E-08 +2.64077187E+01
1.01820854E+03 5.45097300E-08 +2.64077187E+01
1.01837451E+03 4.74120247E-08 +2.64077187E+01
1.01854053E+03 7.23458588E-08 +2.64077187E+01
1.01870661E+03 9.71459599E-08 +2.64077187E+01
1.01887274E+03 1.04687365E-07 +2.64077187E+01
1.01903893E+03 8.66186260E-08 +2.64077187E+01
1.01920516E+03 5.40522484E-08 +2.64077187E+01
1.01937146E+03 6.61246649E-08 +2.64077187E+01
1.01953780E+03 1.29513933E-07 +2.64077187E+01
1.01970421E+03 2.14413367E-07 +2.64077187E+01
1.01987066E+03 3.25424982E-07 +2.64077187E+01
1.02003717E+03 4.72789424E-07 +2.64077187E+01
1.02020374E+03 6.56179037E-07 +2.49518763E+01
