  wavelength    amplitude        phase
1.01079557E+03 5.85033476E-09 +3.31065723E+01
1.01095913E+03 6.95825257E-09 +3.31065723E+01
1.01112274E+03 1.01326402E-08 +3.31065723E+01
1.01128641E+03 7.80958670E-09 +3.31065723E+01
1.01145013E+03 6.73191866E-09 +3.31065723E+01
1.01161390E+03 8.66565413E-09 +3.31065723E+01
1.01177773E+03 7.63369087E-09 +3.31065723E+01
1.01194160E+03 9.14091944E-09 +3.31065723E+01
1.01210553E+03 8.93426180E-09 +3.31065723E+01
1.01226952E+03 6.81116646E-09 +3.31065723E+01
1.01243356E+03 9.03344985E-09 +3.31065723E+01
1.01259765E+03 9.81101651E-09 +3.31065723E+01
1.01276179E+03 8.06266585E-09 +3.31065723E+01
1.01292599E+03 9.23404507E-09 +3.31065723E+01
1.01309024E+03 8.97036881E-09 +3.31065723E+01
1.01325454E+03 9.75811346E-09 +3.31065723E+01
1.01341890E+03 1.00920512E-08 +3.31065723E+01
1.01358331E+03 8.51782428E-09 +3.31065723E+01
1.01374777E+03 8.90309538E-09 +3.31065723E+01
1.01391229E+03 1.33691750E-08 +3.31065723E+01
1.01407686E+03 5.42882249E-09 +3.31065723E+01
1.01424148E+03 8.02580254E-09 +3.31065723E+01
1.01440616E+03 1.66944777E-08 +3.31065723E+01
1.01457089E+03 7.90277128E-09 +3.31065723E+01
1.01473567E+03 3.28549021E-09 +3.31065723E+01
1.01490051E+03 1.29351997E-08 +3.31065723E+01
1.01506540E+03 1.75775822E-08 +3.31065723E+01
1.01523035E+03 1.30316383E-08 +3.31065723E+01
1.01539534E+03 8.83712762E-09 +3.31065723E+01
1.01556040E+03 2.07326324E-08 +3.31065723E+01
1.01572550E+03 2.65254408E-08 +3.31065723E+01
1.01589066E+03 1.27485354E-08 +3.31065723E+01
1.01605587E+03 1.55470419E-08 +3.31065723E+01
1.01622114E+03 3.52223476E-08 +3.31065723E+01
1.01638646E+03 4.26188534E-08 +3.31065723E+01
1.01655184E+03 2.83228592E-08 +3.31065723E+01
1.01671726E+03 2.88176509E-08 +3.31065723E+01
1.01688275E+03 5.67266091E-08 +3.31065723E+01
1.01704828E+03 7.04862289E-08 +3.31065723E+01
1.01721387E+03 5.39037999E-08 +3.31065723E+01
1.01737952E+03 2.09935896E-08 +3.31065723E+01
1.01754521E+03 4.73820560E-08 +3.31065723E+01
1.01771096E+03 6.74692420E-08 +3.31065723E+01
1.01787677E+03 4.91909533E-08 +3.31065723E+01
1.01804263E+03 4.17577347E-08 +3.31065723E+01
1.01820854E+03 6.30759778E-08 +3.31065723E+01
1.01837451E+03 4.38819094E-08 +3.31065723E+01
1.01854053E+03 4.46898300E-08 +3.31065723E+01
1.01870661E+03 1.22831016E-07 +3.31065723E+01
1.01887274E+03 1.61055633E-07 +3.31065723E+01
1.01903893E+03 1.28045052E-07 +3.31065723E+01
1.01920516E+03 8.10359543E-08 +3.31065723E+01
1.01937146E+03 1.46885666E-07 +3.31065723E+01
1.01953780E+03 2.10586455E-07 +3.31065723E+01
