  wavelength    amplitude        phase
-3.02639460E+02 4.00320172E-23 +1.12863603E+02
-3.02664921E+02 1.07478226E-22 +1.15232988E+02
-3.02690387E+02 1.29763942E-22 +1.12363618E+02
-3.02715857E+02 1.45603885E-22 +1.09635971E+02
-3.02741332E+02 8.16331453E-23 +1.06833921E+02
-3.02766811E+02 9.71267512E-23 +1.07696378E+02
-3.02792294E+02 7.24589339E-23 +1.07071206E+02
-3.02817781E+02 1.37085977E-22 +1.07422339E+02
-3.02843273E+02 4.29141880E-23 +1.04535162E+02
-3.02868769E+02 7.58091890E-23 +1.05608686E+02
-3.02894269E+02 1.39241480E-22 +1.06551113E+02
-3.02919773E+02 5.86263634E-23 +1.08282756E+02
-3.02945282E+02 5.44775931E-23 +1.08660541E+02
-3.02970795E+02 3.91938090E-23 +1.06688790E+02
-3.02996312E+02 6.86489578E-23 +1.03553236E+02
-3.03021834E+02 5.34327309E-23 +1.02223979E+02
-3.03047360E+02 8.66006552E-23 +1.05256040E+02
-3.03072890E+02 4.43075397E-23 +1.05347417E+02
-3.03098425E+02 4.76663558E-23 +1.04325036E+02
-3.03123964E+02 6.09872263E-23 +1.02926859E+02
-3.03149507E+02 7.22481400E-23 +1.01614543E+02
-3.03175055E+02 1.02959901E-22 +1.02109080E+02
-3.03200606E+02 2.29814769E-23 +1.00870257E+02
-3.03226163E+02 2.66657526E-23 +1.02335590E+02
-3.03251723E+02 1.35159787E-22 +1.04524630E+02
-3.03277288E+02 7.16286339E-23 +1.07571452E+02
-3.03302857E+02 4.49144394E-23 +1.10713017E+02
-3.03328430E+02 5.89305625E-23 +1.09075039E+02
-3.03354008E+02 3.96031453E-23 +1.10862888E+02
-3.03379590E+02 1.56064258E-23 +1.13111044E+02
-3.03405176E+02 2.56945388E-22 +1.11332174E+02
-3.03430767E+02 1.33723166E-22 +1.10358573E+02
-3.03456362E+02 8.66984760E-23 +1.11247449E+02
-3.03481961E+02 1.01678122E-22 +1.09873409E+02
-3.03507564E+02 8.67644339E-23 +1.08843939E+02
-3.03533172E+02 9.09128216E-23 +1.07466724E+02
-3.03558784E+02 5.18664427E-23 +1.04508706E+02
-3.03584401E+02 1.03102735E-22 +1.05581556E+02
-3.03610022E+02 1.43768555E-22 +1.04224906E+02
-3.03635647E+02 8.66566462E-23 +1.04320620E+02
-3.03661277E+02 1.77412895E-23 +1.03622228E+02
-3.03686910E+02 9.38498130E-23 +1.01013549E+02
-3.03712549E+02 1.47147681E-22 +9.94443301E+01
-3.03738191E+02 6.87568047E-23 +9.86805116E+01
-3.03763838E+02 8.13434356E-23 +1.01612882E+02
-3.03789489E+02 1.32061280E-22 +9.91430053E+01
-3.03815144E+02 5.30255738E-23 +1.00209280E+02
-3.03840804E+02 8.76985269E-23 +9.81844672E+01
-3.03866468E+02 1.30750528E-23 +1.00284691E+02
-3.03892137E+02 2.44695903E-23 +1.02480756E+02
-3.03917810E+02 2.37701006E-23 +1.00368031E+02
-3.03943487E+02 1.22091175E-22 +9.83707881E+01
-3.03969168E+02 9.65135282E-23 +9.78483417E+01
-3.03994854E+02 9.82443756E-23 +9.47766351E+01
-3.04020544E+02 9.15980021E-23 +9.49955175E+01
