  wavelength    amplitude        phase
-3.76839028E+02 2.71638256E-26 -2.62973088E+00
-3.76872866E+02 3.64617525E-26 +2.50229681E-01
-3.76906710E+02 4.02377382E-26 +3.04826847E+00
-3.76940560E+02 3.45687762E-26 -7.52393813E-02
-3.76974416E+02 4.86769029E-26 +2.91480647E+00
-3.77008278E+02 4.68858578E-26 +5.65104934E+00
-3.77042146E+02 4.93904450E-26 +2.52606559E+00
-3.77076020E+02 3.59077620E-26 +5.66240340E+00
-3.77109901E+02 4.28994410E-26 +8.19646403E+00
-3.77143787E+02 4.51857142E-26 +5.24959386E+00
-3.77177680E+02 4.93297884E-26 +7.90868493E+00
-3.77211578E+02 5.85141361E-26 +1.08724394E+01
-3.77245483E+02 4.99567804E-26 +1.40124036E+01
-3.77279394E+02 5.67171312E-26 +1.69906218E+01
-3.77313311E+02 6.12602297E-26 +1.99629478E+01
-3.77347234E+02 5.50685090E-26 +2.30025225E+01
-3.77381163E+02 6.54227642E-26 +2.60571456E+01
-3.77415098E+02 6.66056905E-26 +2.91885915E+01
-3.77449039E+02 8.14868219E-26 +3.21594979E+01
-3.77482987E+02 7.66223178E-26 +3.53008641E+01
-3.77516940E+02 8.34408115E-26 +3.81364892E+01
-3.77550900E+02 8.70428178E-26 +4.12145796E+01
-3.77584866E+02 7.67038061E-26 +4.42633211E+01
-3.77618838E+02 8.11490537E-26 +4.73754059E+01
-3.77652816E+02 8.33456188E-26 +5.04508425E+01
-3.77686800E+02 6.88583418E-26 +5.33539083E+01
-3.77720790E+02 7.91273152E-26 +5.64742432E+01
-3.77754786E+02 7.95558316E-26 +5.95898307E+01
-3.77788789E+02 6.34912982E-26 +6.25952301E+01
-3.77822797E+02 6.65214806E-26 +6.55395443E+01
-3.77856812E+02 8.03278059E-26 +6.24074495E+01
-3.77890833E+02 5.00541290E-26 +6.54923115E+01
-3.77924860E+02 4.71281117E-26 +6.84184347E+01
-3.77958893E+02 5.58001805E-26 +7.14199423E+01
-3.77992932E+02 5.61145915E-26 +7.40967897E+01
-3.78026978E+02 5.44138771E-26 +7.71170534E+01
-3.78061029E+02 6.21140879E-26 +7.40195070E+01
-3.78095087E+02 5.17237460E-26 +7.09302278E+01
-3.78129150E+02 4.66906541E-26 +7.38640680E+01
-3.78163220E+02 4.95888672E-26 +7.66502404E+01
-3.78197296E+02 6.49812557E-26 +7.97028120E+01
-3.78231378E+02 6.82078564E-26 +7.66524782E+01
-3.78265467E+02 5.28182056E-26 +7.97006716E+01
-3.78299561E+02 4.42711155E-26 +8.22712790E+01
-3.78333662E+02 4.91536891E-26 +7.93949459E+01
-3.78367769E+02 5.06836093E-26 +8.23321462E+01
-3.78401881E+02 5.39322363E-26 +7.92483765E+01
-3.78436001E+02 6.68196128E-26 +8.18199906E+01
-3.78470126E+02 3.39850153E-26 +7.87720015E+01
-3.78504257E+02 5.27016641E-26 +8.18444799E+01
-3.78538395E+02 4.77404930E-26 +8.45984944E+01
-3.78572538E+02 4.72273692E-26 +8.15316323E+01
-3.78606688E+02 5.73682660E-26 +8.46205180E+01
-3.78640844E+02 5.95748155E-26 +8.74173928E+01
-3.78675006E+02 4.61840382E-26 +9.04599795E+01
-3.78709175E+02 5.20799107E-26 +9.34373699E+01
-3.78743349E+02 4.58055331E-26 +9.63858146E+01
-3.78777530E+02 4.55145322E-26 +9.33195810E+01
-3.78811717E+02 5.74368911E-26 +9.64116611E+01
-3.78845910E+02 5.26373926E-26 +9.33652409E+01
-3.78880109E+02 5.91996625E-26 +9.62825963E+01
-3.78914314E+02 5.38855074E-26 +9.92879996E+01
-3.78948526E+02 5.76483226E-26 +9.61465062E+01
-3.78982743E+02 3.96593448E-26 +9.92287847E+01
-3.79016967E+02 5.53668164E-26 +9.62571142E+01
-3.79051197E+02 4.72643844E-26 +9.89237988E+01
-3.79085434E+02 6.61782920E-26 +1.01980689E+02
-3.79119676E+02 5.45143163E-26 +1.04834105E+02
-3.79153925E+02 4.36069103E-26 +1.07869496E+02
-3.79188180E+02 6.18731546E-26 +1.04759319E+02
-3.79222441E+02 4.69366506E-26 +1.07848448E+02
-3.79256708E+02 6.28040216E-26 +1.10861511E+02
-3.79290981E+02 5.68425739E-26 +1.13846565E+02
-3.79325261E+02 7.04988532E-26 +1.16969038E+02
-3.79359546E+02 6.46502261E-26 +1.14045339E+02
-3.79393838E+02 7.00770675E-26 +1.16961224E+02
-3.79428137E+02 4.90750390E-26 +1.13848248E+02
-3.79462441E+02 6.61270684E-26 +1.16819964E+02
-3.79496752E+02 7.35150895E-26 +1.19920202E+02
-3.79531068E+02 6.31498978E-26 +1.16803960E+02
-3.79565391E+02 6.73143580E-26 +1.19861050E+02
-3.79599721E+02 5.33157305E-26 +1.22985830E+02
-3.79634056E+02 5.57427976E-26 +1.25798354E+02
-3.79668398E+02 4.88307411E-26 +1.22858482E+02
-3.79702745E+02 5.52138096E-26 +1.25727193E+02
