  wavelength    amplitude        phase
-1.74915473E+03 2.49824798E-18 -1.75287388E+00
-1.74949498E+03 3.17562890E-17 -1.55533039E+00
-1.74983536E+03 1.47993465E-17 -2.57686776E+00
-1.75017588E+03 1.22839991E-17 -4.87526906E+00
-1.75051653E+03 2.14928641E-17 -5.53343868E+00
-1.75085731E+03 2.91259904E-17 -8.62005988E+00
-1.75119822E+03 5.96594396E-18 -9.07529363E+00
-1.75153927E+03 9.83887842E-18 -1.03934136E+01
-1.75188044E+03 2.43109839E-17 -7.38043982E+00
-1.75222176E+03 3.63134401E-18 -5.32792134E+00
-1.75256320E+03 9.07815814E-18 -8.19520494E+00
-1.75290478E+03 9.66308651E-18 -5.31382885E+00
-1.75324649E+03 1.34412878E-17 -4.97811501E+00
-1.75358834E+03 3.18752104E-17 -5.27638661E+00
-1.75393031E+03 3.19857317E-17 -5.34595336E+00
-1.75427243E+03 2.47000110E-17 -6.61108894E+00
-1.75461467E+03 2.27955628E-17 -9.62251449E+00
-1.75495705E+03 4.82154166E-17 -1.02399434E+01
-1.75529956E+03 2.38556023E-17 -9.36050920E+00
-1.75564221E+03 1.98579990E-17 -1.09963381E+01
-1.75598499E+03 2.85645625E-17 -9.44176315E+00
-1.75632790E+03 2.07869137E-17 -9.84436748E+00
-1.75667095E+03 1.44684509E-17 -6.79384196E+00
-1.75701413E+03 5.02576308E-18 -6.19458659E+00
-1.75735744E+03 1.30744467E-17 -3.37262816E+00
-1.75770089E+03 2.32946028E-17 -3.43908111E+00
-1.75804448E+03 3.65492437E-17 -1.14243233E+00
-1.75838820E+03 1.27751921E-17 -3.45653335E+00
-1.75873205E+03 1.92265688E-17 -7.46319239E-01
-1.75907604E+03 2.78253470E-17 -1.67668385E+00
-1.75942016E+03 1.88205734E-17 +6.55852703E-01
-1.75976441E+03 2.16398206E-17 +4.54016027E-01
-1.76010880E+03 4.19554322E-17 -1.77463651E+00
-1.76045333E+03 1.42464386E-17 -2.13312502E+00
-1.76079799E+03 1.91673838E-17 -1.46013366E+00
-1.76114279E+03 3.77463537E-17 +1.17127895E-01
-1.76148772E+03 2.02257386E-17 +5.50767660E-01
-1.76183278E+03 4.45642158E-18 -5.28927223E-01
-1.76217799E+03 2.49472263E-17 +1.30562867E+00
-1.76252332E+03 3.07425030E-17 +1.46915533E+00
-1.76286879E+03 2.81823241E-17 +3.04005604E+00
-1.76321440E+03 2.88927959E-17 +5.20189642E+00
-1.76356015E+03 1.10860415E-17 +2.06779959E+00
-1.76390602E+03 2.19894256E-17 +2.97226285E+00
-1.76425204E+03 2.92703623E-17 +2.09410340E+00
-1.76459819E+03 7.88281588E-18 +4.77614343E+00
-1.76494447E+03 2.24931621E-17 +3.04621540E+00
-1.76529090E+03 1.33901138E-17 +1.10570679E+00
-1.76563745E+03 1.37629506E-17 +2.15936326E+00
-1.76598415E+03 2.43103367E-17 +1.93279088E+00
-1.76633098E+03 1.27275077E-17 -6.84214375E-01
-1.76667795E+03 1.18038133E-17 +1.86098083E+00
-1.76702505E+03 1.32559778E-17 +1.42629317E+00
-1.76737229E+03 1.99231141E-17 +3.92977893E+00
-1.76771966E+03 1.44568576E-17 +4.99845871E+00
-1.76806718E+03 1.32728498E-17 +4.45479037E+00
-1.76841482E+03 3.27654527E-17 +7.26497279E+00
-1.76876261E+03 9.69624191E-18 +8.58496450E+00
-1.76911053E+03 2.60134662E-17 +9.19833074E+00
-1.76945859E+03 9.64896243E-18 +8.22487325E+00
-1.76980679E+03 1.52942600E-17 +6.69937727E+00
-1.77015512E+03 3.32865629E-17 +7.95370192E+00
-1.77050359E+03 2.58990034E-17 +7.65748930E+00
-1.77085220E+03 1.67576089E-17 +1.03835895E+01
-1.77120095E+03 2.17907328E-17 +9.61675509E+00
-1.77154983E+03 2.41669975E-17 +1.24343059E+01
-1.77189885E+03 1.64478790E-17 +1.40336510E+01
-1.77224801E+03 2.17361005E-17 +1.42920607E+01
-1.77259730E+03 3.39008386E-17 +1.15978319E+01
-1.77294673E+03 4.62450499E-17 +1.19264207E+01
-1.77329630E+03 1.49038927E-17 +1.10180043E+01
-1.77364601E+03 2.90339374E-17 +1.21575937E+01
-1.77399586E+03 1.55671236E-17 +1.07016826E+01
-1.77434584E+03 1.00529138E-17 +8.65596300E+00
-1.77469597E+03 2.39650644E-17 +6.74615003E+00
-1.77504623E+03 1.36588087E-18 +4.51314637E+00
-1.77539663E+03 3.16419336E-17 +7.53066299E+00
-1.77574716E+03 8.53179702E-18 +5.50837210E+00
-1.77609784E+03 3.36392165E-17 +5.40411974E+00
-1.77644865E+03 1.62654403E-17 +5.66168850E+00
-1.77679961E+03 3.32611251E-17 +6.18911751E+00
-1.77715070E+03 3.23797449E-17 +5.56092161E+00
-1.77750193E+03 2.61853419E-18 +3.76962475E+00
-1.77785330E+03 1.82252512E-17 +1.67806588E+00
-1.77820481E+03 2.54947261E-17 -1.16177937E+00
-1.77855646E+03 5.50975667E-18 +1.00594514E+00
-1.77890824E+03 1.95619558E-17 +6.41335421E-01
-1.77926017E+03 1.40849745E-17 -2.46951151E+00
-1.77961223E+03 1.15963819E-17 -4.55724188E+00
-1.77996444E+03 4.38860369E-18 -2.86778096E+00
-1.78031678E+03 3.44296794E-17 -4.25870435E+00
-1.78066926E+03 3.05365380E-17 -3.29235657E+00
-1.78102189E+03 3.29505820E-17 -2.11260593E+00
-1.78137465E+03 4.86819057E-18 -3.77386728E+00
-1.78172755E+03 2.25074805E-17 -1.52242886E+00
-1.78208060E+03 2.26738534E-17 -1.07067005E+00
-1.78243378E+03 8.17049485E-18 -1.29627997E+00
-1.78278710E+03 1.08323638E-17 -4.42827561E+00
-1.78314056E+03 8.55127971E-18 -1.88067300E+00
-1.78349416E+03 3.05992579E-17 -6.17824860E-01
-1.78384791E+03 1.96827766E-17 -1.44476514E+00
-1.78420179E+03 1.34537083E-17 -1.27779911E+00
-1.78455581E+03 2.32282219E-17 -1.51825522E+00
-1.78490998E+03 1.89660931E-17 -8.21897391E-01
-1.78526428E+03 3.01491548E-17 -3.53845461E+00
-1.78561873E+03 2.75923881E-17 -2.67536948E+00
-1.78597331E+03 4.47654732E-17 -3.48471691E+00
-1.78632804E+03 4.98948652E-18 -1.96499102E+00
-1.78668291E+03 1.30921878E-17 -7.30892854E-01
-1.78703792E+03 4.15420521E-17 -1.78276226E+00
-1.78739307E+03 2.75716892E-17 -1.49357362E+00
-1.78774836E+03 3.48929137E-18 -4.03651431E+00
-1.78810379E+03 3.37721003E-17 -5.23427582E+00
-1.78845937E+03 1.86487120E-17 -7.66486585E+00
-1.78881508E+03 1.68419466E-17 -8.44072378E+00
-1.78917094E+03 1.21939427E-17 -7.08347154E+00
-1.78952694E+03 1.14234583E-17 -8.00833269E+00
-1.78988308E+03 1.70154398E-17 -8.17179642E+00
-1.79023936E+03 1.79670530E-17 -6.33327024E+00
-1.79059578E+03 8.90044934E-18 -5.04947712E+00
-1.79095235E+03 2.57582086E-17 -5.39472921E+00
-1.79130906E+03 1.51537576E-17 -8.18047339E+00
-1.79166591E+03 3.32062395E-17 -1.06051192E+01
-1.79202290E+03 6.96831228E-18 -9.10094015E+00
-1.79238003E+03 2.98009864E-17 -9.47754736E+00
-1.79273731E+03 3.45078953E-17 -1.11901753E+01
-1.79309473E+03 9.94194276E-18 -8.15107832E+00
-1.79345229E+03 3.95318854E-17 -8.58043535E+00
-1.79380999E+03 1.67216831E-17 -8.82690323E+00
-1.79416784E+03 1.13143122E-17 -1.13765506E+01
-1.79452583E+03 1.88620253E-17 -9.72217260E+00
-1.79488396E+03 1.43573131E-17 -8.21572853E+00
-1.79524224E+03 1.46333617E-17 -9.11087745E+00
-1.79560066E+03 2.89950241E-17 -1.14583472E+01
-1.79595922E+03 1.54498658E-17 -9.13902089E+00
-1.79631793E+03 3.88638798E-17 -7.74834313E+00
-1.79667677E+03 2.95919914E-17 -6.18965564E+00
-1.79703577E+03 3.10188828E-17 -4.14998282E+00
-1.79739490E+03 4.92567490E-17 -5.65828314E+00
-1.79775418E+03 2.62303696E-17 -8.37829766E+00
-1.79811360E+03 4.31314938E-17 -8.95953709E+00
-1.79847317E+03 1.81463864E-18 -1.14667791E+01
-1.79883288E+03 1.88351966E-17 -1.15500697E+01
-1.79919273E+03 3.14374981E-17 -1.33922448E+01
-1.79955273E+03 3.56292880E-17 -1.51889986E+01
-1.79991287E+03 3.77555764E-17 -1.74834577E+01
-1.80027316E+03 1.85052255E-17 -1.83953816E+01
-1.80063359E+03 2.55645315E-17 -1.81013813E+01
-1.80099417E+03 4.49693890E-17 -1.54567351E+01
-1.80135489E+03 1.82829879E-17 -1.80621904E+01
-1.80171575E+03 2.74162391E-17 -1.91862386E+01
-1.80207676E+03 1.76556823E-17 -1.93198888E+01
-1.80243791E+03 1.62677154E-17 -2.16920818E+01
-1.80279921E+03 2.51979812E-17 -2.06866458E+01
-1.80316065E+03 2.34803250E-17 -2.03764723E+01
-1.80352224E+03 2.17585177E-17 -2.11331789E+01
-1.80388397E+03 1.98890858E-18 -2.16426787E+01
-1.80424585E+03 2.77610430E-17 -2.41437860E+01
-1.80460788E+03 1.49377384E-17 -2.20935251E+01
-1.80497005E+03 2.72856397E-17 -2.05987017E+01
-1.80533236E+03 4.34974254E-17 -2.07722399E+01
-1.80569482E+03 1.60688807E-17 -2.08662874E+01
-1.80605742E+03 4.04214221E-17 -2.21036703E+01
-1.80642017E+03 1.97679374E-17 -2.24257609E+01
-1.80678307E+03 1.37353773E-17 -2.27812486E+01
-1.80714611E+03 3.10180510E-17 -2.26450473E+01
-1.80750930E+03 5.10974635E-18 -2.52188833E+01
-1.80787264E+03 5.66221437E-18 -2.28551249E+01
-1.80823612E+03 3.10339294E-17 -2.20256003E+01
-1.80859974E+03 2.96461728E-17 -2.19658906E+01
-1.80896352E+03 8.46991509E-18 -2.04739780E+01
-1.80932744E+03 2.01424142E-17 -2.16951285E+01
-1.80969150E+03 1.16527481E-17 -2.18072088E+01
-1.81005571E+03 2.10313849E-17 -2.08479321E+01
-1.81042007E+03 1.88521527E-17 -2.19965984E+01
-1.81078458E+03 3.49814395E-18 -2.20056513E+01
-1.81114923E+03 3.71897357E-17 -2.24138797E+01
-1.81151403E+03 3.24263998E-17 -2.01874061E+01
-1.81187898E+03 2.23798291E-17 -2.33094150E+01
-1.81224407E+03 1.25851653E-17 -2.11172397E+01
-1.81260931E+03 1.59981081E-17 -1.95229503E+01
-1.81297470E+03 3.19084748E-17 -2.15703450E+01
-1.81334023E+03 2.18189497E-17 -2.20905100E+01
-1.81370591E+03 5.10842158E-17 -2.18346828E+01
-1.81407174E+03 3.55575227E-17 -2.14827085E+01
-1.81443772E+03 1.52153648E-17 -2.28881305E+01
-1.81480385E+03 2.39959163E-17 -2.12897629E+01
-1.81517012E+03 4.11279257E-17 -2.22430890E+01
-1.81553654E+03 3.74808426E-17 -2.51327038E+01
-1.81590311E+03 1.82724946E-17 -2.66559855E+01
-1.81626983E+03 3.92912142E-18 -2.68287167E+01
-1.81663669E+03 2.10978815E-17 -2.95458467E+01
-1.81700371E+03 1.79155123E-17 -3.24549795E+01
-1.81737087E+03 7.60973627E-18 -2.96754041E+01
-1.81773818E+03 2.88814047E-17 -2.67842791E+01
-1.81810564E+03 1.21988777E-17 -2.78424408E+01
-1.81847324E+03 3.34964106E-17 -2.79663803E+01
-1.81884100E+03 1.03812550E-17 -2.99051792E+01
-1.81920891E+03 1.67379573E-17 -2.98165390E+01
-1.81957696E+03 3.53108035E-17 -3.04801818E+01
-1.81994516E+03 4.87331943E-17 -2.83549459E+01
-1.82031351E+03 2.04588319E-17 -2.93231480E+01
-1.82068201E+03 6.66657006E-18 -2.98427402E+01
-1.82105066E+03 2.02224146E-17 -3.02679643E+01
-1.82141946E+03 8.02016694E-18 -3.04796065E+01
-1.82178841E+03 2.18654539E-17 -2.75243106E+01
-1.82215751E+03 1.88062666E-17 -2.79224935E+01
-1.82252676E+03 3.08980201E-17 -2.68324168E+01
-1.82289615E+03 1.74930080E-17 -2.72556607E+01
-1.82326570E+03 2.18420536E-17 -2.43779732E+01
-1.82363540E+03 3.00025671E-18 -2.55299034E+01
-1.82400525E+03 1.09598719E-17 -2.69477166E+01
-1.82437524E+03 4.87441080E-17 -2.52124018E+01
-1.82474539E+03 2.23577491E-17 -2.75558273E+01
