  wavelength    amplitude        phase
1.09177240E+03 5.61059533E-03 +2.33113410E+00
1.09166450E+03 5.77684447E-03 +4.42376580E-01
1.09155670E+03 5.34848689E-03 -1.12266000E+00
1.09144890E+03 5.54878879E-03 -2.99319640E+00
1.09134110E+03 4.29071474E-03 -4.51106950E+00
1.09123330E+03 5.02631058E-03 -6.19045920E+00
1.09112560E+03 4.57189643E-03 -7.78251440E+00
1.09101790E+03 5.49919840E-03 -9.55627540E+00
1.09091020E+03 4.73031193E-03 -1.13089870E+01
1.09080250E+03 5.19791429E-03 -1.30576280E+01
1.09069490E+03 4.08033013E-03 -1.48911300E+01
1.09058720E+03 3.83082406E-03 -1.65011190E+01
1.09047960E+03 2.92017965E-03 -1.81148410E+01
1.09037200E+03 3.71199690E-03 -1.96583810E+01
1.09026450E+03 2.94468182E-03 -2.15789070E+01
1.09015690E+03 2.73321305E-03 -2.30071390E+01
1.09004940E+03 2.21583551E-03 -2.47260200E+01
1.08994190E+03 2.70941304E-03 -2.60978550E+01
1.08983440E+03 2.70257499E-03 -2.81246120E+01
1.08972690E+03 2.00825775E-03 -2.98723860E+01
1.08961950E+03 1.22382156E-03 -3.15689300E+01
1.08951210E+03 1.22066613E-03 -3.27640330E+01
1.08940470E+03 7.32024549E-04 -3.42192200E+01
1.08929730E+03 1.66849897E-03 -3.55654660E+01
1.08919000E+03 1.14692894E-03 -3.77601480E+01
1.08908260E+03 1.37403581E-03 -3.87403780E+01
1.08897530E+03 1.38604246E-03 -4.09884260E+01
1.08886800E+03 7.83949010E-04 -4.21699850E+01
1.08876070E+03 1.07139307E-03 -4.36937590E+01
1.08865350E+03 1.19700510E-03 -4.53829230E+01
1.08854630E+03 9.41199336E-04 -4.68665670E+01
1.08843910E+03 1.84715725E-03 -4.85719940E+01
1.08833190E+03 1.43221552E-03 -5.12057240E+01
1.08822470E+03 4.45521133E-04 -5.07565800E+01
1.08811760E+03 1.22805692E-03 -5.32225950E+01
1.08801040E+03 1.23254683E-03 -5.49956200E+01
1.08790330E+03 1.32625661E-03 -5.68907200E+01
1.08779630E+03 1.32922165E-03 -5.88217370E+01
1.08768920E+03 5.50820107E-04 -6.11175320E+01
1.08758220E+03 1.07087525E-03 -6.12685890E+01
1.08747510E+03 1.15873146E-03 -6.38890830E+01
1.08736810E+03 7.34400123E-04 -6.50597000E+01
1.08726120E+03 1.06557163E-03 -6.73133650E+01
1.08715420E+03 3.87373205E-04 -6.88018050E+01
1.08704730E+03 7.85651029E-04 -7.01530520E+01
1.08694040E+03 1.00364072E-03 -7.21036930E+01
1.08683350E+03 8.73254877E-04 -7.44910050E+01
1.08672660E+03 1.82922809E-04 -7.54631320E+01
1.08661970E+03 5.78923156E-04 -7.70024150E+01
1.08651290E+03 5.05929837E-04 -7.89514450E+01
1.08640610E+03 1.39202033E-04 -8.08212470E+01
1.08629930E+03 7.76687221E-04 -8.12367330E+01
1.08619260E+03 8.25636615E-04 -8.42034840E+01
1.08608580E+03 3.09375631E-04 -8.33524680E+01
1.08597910E+03 9.83564731E-04 -8.04809370E+01
1.08587240E+03 5.40374842E-04 -7.73475950E+01
1.08576570E+03 2.54861929E-04 -7.55546670E+01
1.08565900E+03 4.94865264E-04 -7.79737840E+01
1.08555240E+03 8.10453311E-04 -8.01377320E+01
1.08544580E+03 8.90431362E-04 -8.24298940E+01
1.08533920E+03 6.00266757E-04 -8.45997680E+01
1.08523260E+03 5.36724911E-04 -8.59690150E+01
1.08512600E+03 6.46886737E-04 -8.82491240E+01
1.08501950E+03 1.78558145E-04 -9.01562050E+01
1.08491300E+03 5.03166066E-04 -9.05722510E+01
1.08480650E+03 1.07400670E-03 -9.27914780E+01
1.08470000E+03 1.23932853E-03 -9.53767990E+01
1.08459360E+03 5.80858081E-04 -9.77704780E+01
1.08448710E+03 3.90628404E-04 -9.88450980E+01
1.08438070E+03 3.25986334E-04 -1.00366120E+02
1.08427430E+03 7.64491256E-04 -1.02000990E+02
1.08416800E+03 1.10206679E-03 -1.04608440E+02
1.08406160E+03 9.35503565E-04 -1.07429050E+02
1.08395530E+03 3.95186146E-04 -1.10503930E+02
1.08384900E+03 1.04751000E-04 -1.09104480E+02
1.08374270E+03 1.32634788E-04 -1.12211910E+02
1.08363640E+03 1.28327857E-04 -1.14726310E+02
1.08353020E+03 1.77937329E-04 -1.12774800E+02
1.08342400E+03 2.87634748E-04 -1.10076550E+02
1.08331780E+03 7.70815594E-05 -1.08119720E+02
1.08321160E+03 3.65159691E-04 -1.06254000E+02
1.08310540E+03 3.74131768E-04 -1.08977180E+02
1.08299930E+03 1.50654764E-04 -1.11157210E+02
1.08289320E+03 5.67338426E-05 -1.11223480E+02
