  wavelength    amplitude        phase
1.11085660E+03 7.23978950E-03 +1.19576120E+00
1.11078240E+03 1.21442480E-02 +4.26095310E+00
1.11070810E+03 1.63787124E-02 +7.34928750E+00
1.11063380E+03 1.96974600E-02 +1.04488930E+01
1.11055960E+03 2.17757312E-02 +1.35615070E+01
1.11048530E+03 2.22574846E-02 +1.66853940E+01
1.11041110E+03 2.10123211E-02 +1.98163430E+01
1.11033690E+03 1.81700735E-02 +2.29550200E+01
1.11026270E+03 1.39574199E-02 +1.98251350E+01
1.11018850E+03 8.73219634E-03 +1.67275570E+01
1.11011430E+03 3.13333230E-03 +1.38432370E+01
1.11004010E+03 3.37490400E-03 +1.29664090E+01
1.10996600E+03 9.24568575E-03 +1.00524130E+01
1.10989180E+03 1.51203082E-02 +6.96395230E+00
1.10981770E+03 2.00478211E-02 +3.86922680E+00
1.10974350E+03 2.29916800E-02 +7.71233750E-01
1.10966940E+03 2.35054083E-02 -2.34742330E+00
1.10959530E+03 2.20584562E-02 +7.81102810E-01
1.10952120E+03 1.96063026E-02 +3.87910120E+00
1.10944710E+03 1.66066821E-02 +6.98746360E+00
1.10937300E+03 1.26224657E-02 +3.88334430E+00
1.10929890E+03 7.36626873E-03 +9.52549700E-01
1.10922480E+03 3.23323522E-03 -1.04830500E+00
1.10915080E+03 7.28060966E-03 -3.05660660E+00
1.10907670E+03 1.27219319E-02 -6.00694470E+00
1.10900270E+03 1.75062543E-02 -9.10502420E+00
1.10892870E+03 2.13006674E-02 -1.22361760E+01
1.10885460E+03 2.36340299E-02 -1.53775790E+01
1.10878060E+03 2.43432794E-02 -1.22463240E+01
1.10870660E+03 2.36013472E-02 -9.11564190E+00
1.10863260E+03 2.12733860E-02 -1.22460100E+01
1.10855870E+03 1.70001065E-02 -1.53400000E+01
1.10848470E+03 1.10693189E-02 -1.83852750E+01
1.10841070E+03 4.69578375E-03 -2.12211580E+01
1.10833680E+03 3.34338541E-03 -2.25112560E+01
1.10826280E+03 8.61429684E-03 -2.51949330E+01
1.10818890E+03 1.33586983E-02 -2.82678330E+01
1.10811500E+03 1.67884553E-02 -2.51286700E+01
1.10804110E+03 1.90052245E-02 -2.20314810E+01
1.10796720E+03 2.05092852E-02 -1.89484860E+01
1.10789330E+03 2.12238041E-02 -1.58424320E+01
1.10781940E+03 2.04159433E-02 -1.27009800E+01
1.10774550E+03 1.76310584E-02 -1.58200020E+01
1.10767170E+03 1.31323338E-02 -1.89271050E+01
1.10759780E+03 7.54965860E-03 -2.20000290E+01
1.10752400E+03 1.75116781E-03 -2.46051390E+01
1.10745010E+03 4.73778545E-03 -2.55366850E+01
1.10737630E+03 9.91661893E-03 -2.85913810E+01
1.10730250E+03 1.43195995E-02 -2.54804860E+01
1.10722870E+03 1.81374621E-02 -2.23924620E+01
1.10715490E+03 2.11666714E-02 -1.92879060E+01
1.10708110E+03 2.27198999E-02 -1.61617820E+01
1.10700740E+03 2.24229305E-02 -1.30285370E+01
1.10693360E+03 2.04815124E-02 -9.89492660E+00
1.10685980E+03 1.71485314E-02 -1.30330760E+01
1.10678610E+03 1.24658678E-02 -1.61398840E+01
1.10671240E+03 6.68809412E-03 -1.91642130E+01
1.10663860E+03 1.54705734E-03 -2.10317930E+01
1.10656490E+03 6.31839798E-03 -2.27913550E+01
1.10649120E+03 1.18049871E-02 -2.58416100E+01
1.10641750E+03 1.64500708E-02 -2.89786120E+01
1.10634380E+03 1.99927462E-02 -2.58505420E+01
1.10627020E+03 2.20124878E-02 -2.27205820E+01
1.10619650E+03 2.19672996E-02 -1.95882250E+01
1.10612280E+03 1.97090375E-02 -1.64707910E+01
1.10604920E+03 1.58695608E-02 -1.33937900E+01
1.10597560E+03 1.14107993E-02 -1.03718750E+01
1.10590190E+03 6.72350608E-03 -7.41444510E+00
1.10582830E+03 1.92035583E-03 -4.96241740E+00
1.10575470E+03 4.69632399E-03 -3.86941350E+00
1.10568110E+03 1.01916176E-02 -9.20108830E-01
1.10560750E+03 1.47854188E-02 +2.14733330E+00
1.10553400E+03 1.79856693E-02 +5.22045240E+00
1.10546040E+03 1.99187229E-02 +8.28253840E+00
1.10538680E+03 2.07973147E-02 +1.13478670E+01
1.10531330E+03 2.03565120E-02 +1.44338020E+01
1.10523970E+03 1.81777768E-02 +1.75349340E+01
1.10516620E+03 1.44138603E-02 +2.06271150E+01
1.10509270E+03 9.70022232E-03 +2.36880080E+01
1.10501920E+03 4.45828106E-03 +2.66690290E+01
1.10494570E+03 1.63480993E-03 +2.73792790E+01
1.10487220E+03 7.31029596E-03 +3.00542930E+01
1.10479870E+03 1.26406274E-02 +3.31116740E+01
1.10472530E+03 1.71286920E-02 +3.61887920E+01
1.10465180E+03 2.06574134E-02 +3.92754490E+01
1.10457830E+03 2.27950453E-02 +4.23798600E+01
1.10450490E+03 2.29262572E-02 +4.54949490E+01
1.10443150E+03 2.09542838E-02 +4.86022670E+01
1.10435810E+03 1.74317980E-02 +5.16907600E+01
1.10428460E+03 1.29388176E-02 +5.47702850E+01
1.10421120E+03 7.63578005E-03 +5.78694650E+01
1.10413780E+03 1.60002662E-03 +5.48634580E+01
1.10406450E+03 4.88350110E-03 +5.45419230E+01
1.10399110E+03 1.09622160E-02 +5.14198400E+01
1.10391770E+03 1.60548812E-02 +5.45411360E+01
1.10384440E+03 1.99099493E-02 +5.76376990E+01
1.10377100E+03 2.26841447E-02 +6.07171110E+01
1.10369770E+03 2.44959090E-02 +6.37979940E+01
1.10362440E+03 2.49804486E-02 +6.68978440E+01
1.10355110E+03 2.34824739E-02 +7.00180880E+01
1.10347780E+03 1.97060960E-02 +7.31427850E+01
1.10340450E+03 1.40934116E-02 +7.62433240E+01
1.10333120E+03 7.57954491E-03 +7.92616900E+01
1.10325790E+03 1.63178114E-03 +8.13931270E+01
1.10318470E+03 6.12307039E-03 +8.27371800E+01
1.10311140E+03 1.21290280E-02 +8.56960940E+01
1.10303820E+03 1.73317316E-02 +8.87392140E+01
1.10296490E+03 2.14997158E-02 +9.18022520E+01
1.10289170E+03 2.44805774E-02 +9.48850400E+01
1.10281850E+03 2.57697427E-02 +9.79943520E+01
1.10274530E+03 2.47862573E-02 +1.01124820E+02
1.10267210E+03 2.15115741E-02 +1.04263670E+02
1.10259890E+03 1.65572730E-02 +1.01122360E+02
1.10252570E+03 1.06968079E-02 +9.80074800E+01
1.10245250E+03 4.59656056E-03 +9.51012860E+01
1.10237940E+03 3.41720046E-03 +9.38768270E+01
1.10230620E+03 9.47599056E-03 +9.11672630E+01
1.10223310E+03 1.51590976E-02 +8.80943900E+01
1.10216000E+03 1.95237261E-02 +8.49543340E+01
1.10208690E+03 2.25656208E-02 +8.80636380E+01
1.10201370E+03 2.43585461E-02 +9.11698680E+01
1.10194060E+03 2.42005797E-02 +9.42927430E+01
1.10186760E+03 2.12746229E-02 +9.74116690E+01
1.10179450E+03 1.60525649E-02 +1.00461840E+02
1.10172140E+03 1.04513707E-02 +1.03330500E+02
1.10164830E+03 6.57364534E-03 +1.05836630E+02
1.10157530E+03 6.60838899E-03 +1.07959640E+02
1.10150230E+03 1.11225654E-02 +1.10478450E+02
1.10142920E+03 1.70645428E-02 +1.13386310E+02
1.10135620E+03 2.20521040E-02 +1.16425760E+02
1.10128320E+03 2.50896417E-02 +1.19491550E+02
1.10121020E+03 2.63534967E-02 +1.22548430E+02
1.10113720E+03 2.63206765E-02 +1.25596240E+02
1.10106420E+03 2.51248303E-02 +1.28641970E+02
1.10099120E+03 2.28434783E-02 +1.31683140E+02
1.10091830E+03 1.97880070E-02 +1.34720280E+02
1.10084530E+03 1.60494561E-02 +1.37769620E+02
1.10077240E+03 1.13974791E-02 +1.40837790E+02
1.10069940E+03 6.10354282E-03 +1.43879970E+02
1.10062650E+03 1.21806827E-03 +1.46501850E+02
1.10055360E+03 3.22590917E-03 +1.47068040E+02
1.10048070E+03 7.04359660E-03 +1.49951820E+02
1.10040780E+03 1.05429099E-02 +1.52958150E+02
1.10033490E+03 1.29372540E-02 +1.55999870E+02
1.10026200E+03 1.39885700E-02 +1.59015830E+02
1.10018920E+03 1.42269343E-02 +1.61999720E+02
1.10011630E+03 1.36742444E-02 +1.64984410E+02
1.10004350E+03 1.17674857E-02 +1.67955820E+02
1.09997060E+03 8.65602178E-03 +1.70814010E+02
1.09989780E+03 5.77741724E-03 +1.73312040E+02
1.09982500E+03 6.64680028E-03 +1.75400290E+02
1.09975220E+03 1.21164879E-02 +1.77975220E+02
1.09967940E+03 1.95182919E-02 +1.80889850E+02
1.09960660E+03 2.70506004E-02 +1.83920910E+02
1.09953380E+03 3.35025939E-02 +1.86986270E+02
1.09946100E+03 3.84161763E-02 +1.90053800E+02
1.09938830E+03 4.17869238E-02 +1.93116110E+02
1.09931550E+03 4.35018942E-02 +1.96174460E+02
1.09924280E+03 4.33056751E-02 +1.99226160E+02
1.09917000E+03 4.11686920E-02 +2.02263450E+02
1.09909730E+03 3.73383583E-02 +2.05277320E+02
1.09902460E+03 3.21270587E-02 +2.08253050E+02
1.09895190E+03 2.60876981E-02 +2.11151720E+02
1.09887920E+03 2.08918965E-02 +2.13890780E+02
1.09880650E+03 2.00357009E-02 +2.16457680E+02
1.09873380E+03 2.49773381E-02 +2.19120380E+02
1.09866120E+03 3.25576673E-02 +2.21989860E+02
1.09858850E+03 3.99890422E-02 +2.24979120E+02
1.09851590E+03 4.59798184E-02 +2.28027880E+02
1.09844320E+03 4.98663564E-02 +2.31109720E+02
1.09837060E+03 5.12714814E-02 +2.34210800E+02
1.09829800E+03 5.01368677E-02 +2.37322150E+02
1.09822540E+03 4.66632982E-02 +2.40438990E+02
1.09815280E+03 4.11266556E-02 +2.43559580E+02
1.09808020E+03 3.38112807E-02 +2.46682140E+02
1.09800760E+03 2.50788339E-02 +2.49801780E+02
1.09793510E+03 1.53932235E-02 +2.52902610E+02
1.09786250E+03 5.36269606E-03 +2.55845720E+02
1.09779000E+03 5.29784815E-03 +2.56511110E+02
1.09771740E+03 1.43309602E-02 +2.59483220E+02
1.09764490E+03 2.16735392E-02 +2.56342630E+02
1.09757240E+03 2.66593730E-02 +2.53224870E+02
1.09749980E+03 2.93760680E-02 +2.50113670E+02
1.09742730E+03 3.02188536E-02 +2.47016220E+02
1.09735490E+03 2.94337786E-02 +2.43946030E+02
1.09728240E+03 2.72102576E-02 +2.40912870E+02
1.09720990E+03 2.39810473E-02 +2.37925780E+02
1.09713740E+03 2.04336340E-02 +2.35000470E+02
1.09706500E+03 1.73970259E-02 +2.32154350E+02
1.09699250E+03 1.57069577E-02 +2.29377110E+02
1.09692010E+03 1.57461926E-02 +2.26603120E+02
1.09684770E+03 1.70575763E-02 +2.23765240E+02
1.09677530E+03 1.87233838E-02 +2.20856230E+02
1.09670290E+03 1.99021130E-02 +2.17900510E+02
1.09663050E+03 2.00931570E-02 +2.14922330E+02
1.09655810E+03 1.91608549E-02 +2.11944190E+02
1.09648570E+03 1.71953438E-02 +2.08992160E+02
1.09641330E+03 1.44905866E-02 +2.06099630E+02
1.09634100E+03 1.17311005E-02 +2.03312410E+02
1.09626860E+03 1.00956030E-02 +2.00659970E+02
1.09619630E+03 1.05900845E-02 +1.98035470E+02
1.09612400E+03 1.29289694E-02 +1.95281250E+02
1.09605160E+03 1.61615095E-02 +1.92405630E+02
1.09597930E+03 1.93567092E-02 +1.89471530E+02
1.09590700E+03 2.15982844E-02 +1.86508190E+02
1.09583470E+03 2.23406844E-02 +1.83515740E+02
1.09576240E+03 2.17556616E-02 +1.80488530E+02
1.09569020E+03 2.04121256E-02 +1.77435230E+02
1.09561790E+03 1.85647839E-02 +1.74378870E+02
1.09554570E+03 1.60742994E-02 +1.71333460E+02
1.09547340E+03 1.29705655E-02 +1.68296340E+02
1.09540120E+03 9.59119763E-03 +1.65275650E+02
1.09532900E+03 6.16032913E-03 +1.62337690E+02
1.09525670E+03 2.94651783E-03 +1.59795320E+02
1.09518450E+03 3.11984671E-03 +1.58246150E+02
1.09511230E+03 6.37919493E-03 +1.55704710E+02
1.09504020E+03 9.35998098E-03 +1.52822990E+02
1.09496800E+03 1.15181995E-02 +1.49842180E+02
1.09489580E+03 1.28754064E-02 +1.46803740E+02
1.09482370E+03 1.36320252E-02 +1.43724720E+02
1.09475150E+03 1.40552883E-02 +1.40620820E+02
1.09467940E+03 1.43556212E-02 +1.37517250E+02
1.09460720E+03 1.44214444E-02 +1.34445010E+02
1.09453510E+03 1.37451973E-02 +1.31417610E+02
1.09446300E+03 1.17859764E-02 +1.28414230E+02
1.09439090E+03 8.49174252E-03 +1.25364400E+02
1.09431880E+03 4.82121468E-03 +1.28322960E+02
1.09424670E+03 3.82096467E-03 +1.30611990E+02
1.09417470E+03 5.81860353E-03 +1.33299510E+02
1.09410260E+03 7.62343282E-03 +1.36279280E+02
1.09403050E+03 9.39418320E-03 +1.39282410E+02
1.09395850E+03 1.16220437E-02 +1.42353300E+02
1.09388650E+03 1.35531531E-02 +1.39232080E+02
1.09381440E+03 1.43490306E-02 +1.36147450E+02
1.09374240E+03 1.41346376E-02 +1.33048790E+02
1.09367040E+03 1.35792430E-02 +1.29935410E+02
1.09359840E+03 1.28395709E-02 +1.26845630E+02
1.09352640E+03 1.15061683E-02 +1.23791500E+02
1.09345450E+03 9.47312351E-03 +1.20736330E+02
1.09338250E+03 7.21665310E-03 +1.17630760E+02
1.09331050E+03 5.20632154E-03 +1.20755620E+02
1.09323860E+03 3.23351682E-03 +1.17616500E+02
1.09316660E+03 7.03656983E-04 +1.14624720E+02
1.09309470E+03 2.59582677E-03 +1.14598150E+02
1.09302280E+03 6.28605274E-03 +1.11627050E+02
1.09295090E+03 9.70721840E-03 +1.08649820E+02
1.09287900E+03 1.22529180E-02 +1.05651870E+02
1.09280710E+03 1.38056126E-02 +1.02610720E+02
1.09273520E+03 1.48975686E-02 +9.95236680E+01
1.09266330E+03 1.60907365E-02 +9.64281850E+01
1.09259150E+03 1.71300619E-02 +9.33649710E+01
1.09251960E+03 1.72457789E-02 +9.03304500E+01
1.09244780E+03 1.60978266E-02 +8.72936870E+01
1.09237590E+03 1.40198056E-02 +8.42328640E+01
1.09230410E+03 1.14808127E-02 +8.11530360E+01
1.09223230E+03 8.65126210E-03 +7.80747130E+01
1.09216050E+03 5.59163241E-03 +7.50180910E+01
1.09208870E+03 2.44061918E-03 +7.20799820E+01
1.09201690E+03 1.24631284E-03 +7.12332860E+01
1.09194510E+03 4.65496455E-03 +6.86135560E+01
1.09187330E+03 8.19408091E-03 +6.56254220E+01
1.09180160E+03 1.13586232E-02 +6.25837070E+01
1.09172980E+03 1.40279909E-02 +5.95030220E+01
1.09165810E+03 1.63500670E-02 +5.64053200E+01
1.09158640E+03 1.82229366E-02 +5.33200280E+01
1.09151460E+03 1.91825387E-02 +5.02560640E+01
1.09144290E+03 1.88999328E-02 +4.71992390E+01
1.09137120E+03 1.75337871E-02 +4.41273170E+01
1.09129950E+03 1.56297089E-02 +4.10235670E+01
1.09122780E+03 1.37486734E-02 +3.78907030E+01
1.09115620E+03 1.20281038E-02 +3.47572910E+01
1.09108450E+03 1.00764542E-02 +3.16514480E+01
1.09101280E+03 7.45760531E-03 +2.85636600E+01
1.09094120E+03 4.18803438E-03 +3.17017660E+01
