  wavelength    amplitude        phase
9.65456220E+02 6.24617595E-03 +3.82052280E+02
9.65489890E+02 7.73988127E-03 +3.80945650E+02
9.65523560E+02 1.39715307E-02 +3.80659970E+02
9.65557230E+02 1.95693240E-02 +3.80643950E+02
9.65590900E+02 2.31925773E-02 +3.80695590E+02
9.65624580E+02 2.42798272E-02 +3.80768270E+02
9.65658260E+02 2.26631876E-02 +3.80842500E+02
9.65691940E+02 1.85332045E-02 +3.80899400E+02
9.65725620E+02 1.24582507E-02 +3.80892030E+02
9.65759310E+02 5.78498678E-03 +3.80551980E+02
9.65792990E+02 5.70869188E-03 +3.79093130E+02
9.65826680E+02 1.22970187E-02 +3.78745890E+02
9.65860380E+02 1.82380997E-02 +3.78741030E+02
9.65894070E+02 2.21565622E-02 +3.78804170E+02
9.65927770E+02 2.34707618E-02 +3.78889030E+02
9.65961470E+02 2.19823700E-02 +3.78979350E+02
9.65995170E+02 1.78531473E-02 +3.79061560E+02
9.66028870E+02 1.16002358E-02 +3.79102140E+02
9.66062580E+02 4.30693708E-03 +3.78837780E+02
9.66096290E+02 5.27916670E-03 +3.76881530E+02
9.66130000E+02 1.27194041E-02 +3.76722800E+02
9.66163710E+02 1.90184921E-02 +3.76783740E+02
9.66197430E+02 2.32038163E-02 +3.76883810E+02
9.66231150E+02 2.47561439E-02 +3.76995460E+02
9.66264870E+02 2.34801295E-02 +3.77106990E+02
9.66298590E+02 1.94992049E-02 +3.77205290E+02
9.66332320E+02 1.32641212E-02 +3.77256380E+02
9.66366050E+02 5.79687700E-03 +3.77046870E+02
9.66399780E+02 5.09476054E-03 +3.75289220E+02
9.66433510E+02 1.29616484E-02 +3.74985690E+02
9.66467240E+02 2.01204463E-02 +3.75014020E+02
9.66500980E+02 2.51507465E-02 +3.75091540E+02
9.66534720E+02 2.73157943E-02 +3.75178660E+02
9.66568460E+02 2.62951054E-02 +3.75259290E+02
9.66602210E+02 2.22257866E-02 +3.75314540E+02
9.66635950E+02 1.57736996E-02 +3.75294540E+02
9.66669700E+02 8.66449589E-03 +3.74974060E+02
9.66703450E+02 7.65538993E-03 +3.73858450E+02
9.66737210E+02 1.45216986E-02 +3.73406650E+02
9.66770960E+02 2.15450482E-02 +3.73361510E+02
9.66804720E+02 2.65303257E-02 +3.73412050E+02
9.66838480E+02 2.86512612E-02 +3.73493260E+02
9.66872240E+02 2.75854536E-02 +3.73582220E+02
9.66906010E+02 2.34303510E-02 +3.73662260E+02
9.66939780E+02 1.67052213E-02 +3.73702220E+02
9.66973550E+02 8.52736730E-03 +3.73557110E+02
9.67007320E+02 4.76074122E-03 +3.72149700E+02
9.67041100E+02 1.21861253E-02 +3.71529840E+02
9.67074870E+02 1.96766346E-02 +3.71512090E+02
9.67108650E+02 2.49824568E-02 +3.71584030E+02
9.67142430E+02 2.73674120E-02 +3.71683550E+02
9.67176220E+02 2.65841385E-02 +3.71793670E+02
9.67210010E+02 2.27993153E-02 +3.71905090E+02
9.67243790E+02 1.65358284E-02 +3.72004290E+02
9.67277590E+02 8.62062480E-03 +3.72035660E+02
9.67311380E+02 1.86076565E-03 +3.70620710E+02
9.67345180E+02 9.09736165E-03 +3.69584570E+02
9.67378970E+02 1.63688026E-02 +3.69632500E+02
9.67412780E+02 2.16753143E-02 +3.69742010E+02
9.67446580E+02 2.43866502E-02 +3.69866530E+02
9.67480380E+02 2.42110464E-02 +3.69994920E+02
9.67514190E+02 2.11993295E-02 +3.70120470E+02
9.67548000E+02 1.57310028E-02 +3.70231700E+02
9.67581810E+02 8.48987968E-03 +3.70279380E+02
9.67615630E+02 1.70589894E-03 +3.69056530E+02
9.67649450E+02 8.51441255E-03 +3.67825550E+02
9.67683270E+02 1.58502375E-02 +3.67872070E+02
9.67717090E+02 2.14303824E-02 +3.67982150E+02
9.67750910E+02 2.45305175E-02 +3.68107010E+02
