  wavelength    amplitude        phase
1.09216050E+03 1.35376590E-02 -4.19858930E-01
1.09210660E+03 1.22926000E-02 -1.88934150E+00
1.09205280E+03 1.09568160E-02 -3.44416770E+00
1.09199890E+03 1.04814500E-02 -5.08137730E+00
1.09194510E+03 1.12391190E-02 -6.69870220E+00
1.09189130E+03 1.25120600E-02 -8.22133460E+00
1.09183750E+03 1.33585200E-02 -9.67164920E+00
1.09178360E+03 1.32560030E-02 -1.11011520E+01
1.09172980E+03 1.21920920E-02 -1.25645480E+01
1.09167600E+03 1.07411910E-02 -1.41251770E+01
1.09162220E+03 1.01031730E-02 -1.58115030E+01
1.09156840E+03 1.11953040E-02 -1.75011680E+01
1.09151460E+03 1.33571930E-02 -1.90616830E+01
1.09146080E+03 1.52961600E-02 -2.05138650E+01
1.09140710E+03 1.62026380E-02 -2.19186840E+01
1.09135330E+03 1.58538730E-02 -2.33225220E+01
1.09129950E+03 1.44802510E-02 -2.47628960E+01
1.09124580E+03 1.26607180E-02 -2.62783080E+01
1.09119200E+03 1.12757900E-02 -2.78981210E+01
1.09113820E+03 1.12282440E-02 -2.95801300E+01
1.09108450E+03 1.25954570E-02 -3.12008250E+01
1.09103070E+03 1.44473700E-02 -3.27035390E+01
1.09097700E+03 1.57008520E-02 -3.41187960E+01
1.09092330E+03 1.56308260E-02 -3.54962430E+01
1.09086950E+03 1.40512320E-02 -3.68911270E+01
1.09081580E+03 1.15158190E-02 -3.83838150E+01
1.09076210E+03 9.60795010E-03 -4.00734360E+01
1.09070840E+03 1.02200510E-02 -4.18531600E+01
1.09065470E+03 1.27412810E-02 -4.34514040E+01
1.09060100E+03 1.51704460E-02 -4.48848140E+01
1.09054730E+03 1.63243200E-02 -4.62473850E+01
1.09049360E+03 1.57589410E-02 -4.75996690E+01
1.09043990E+03 1.35750220E-02 -4.89995730E+01
1.09038620E+03 1.06528360E-02 -5.05501120E+01
1.09033260E+03 9.31079990E-03 -5.23591450E+01
1.09027890E+03 1.14686180E-02 -5.41331750E+01
1.09022520E+03 1.49966820E-02 -5.56338710E+01
1.09017160E+03 1.73934580E-02 -5.69896220E+01
1.09011790E+03 1.75112490E-02 -5.83057020E+01
1.09006430E+03 1.52520710E-02 -5.96552340E+01
1.09001060E+03 1.15517700E-02 -6.11446430E+01
1.08995700E+03 8.94544530E-03 -6.29536460E+01
1.08990340E+03 1.05679610E-02 -6.48578960E+01
1.08984970E+03 1.45320820E-02 -6.64355710E+01
1.08979610E+03 1.78006660E-02 -6.78273650E+01
1.08974250E+03 1.90504470E-02 -6.91589980E+01
1.08968890E+03 1.79664620E-02 -7.04930460E+01
1.08963530E+03 1.50110890E-02 -7.18872360E+01
1.08958170E+03 1.14592190E-02 -7.34349170E+01
1.08952810E+03 9.55334910E-03 -7.52280390E+01
1.08947450E+03 1.08979280E-02 -7.70353640E+01
1.08942090E+03 1.38538280E-02 -7.86107930E+01
1.08936730E+03 1.64257290E-02 -8.00343590E+01
1.08931380E+03 1.75985390E-02 -8.13921810E+01
1.08926020E+03 1.68885810E-02 -8.27356250E+01
1.08920660E+03 1.43024770E-02 -8.41221550E+01
1.08915310E+03 1.07532920E-02 -8.56716370E+01
1.08909950E+03 9.08458110E-03 -8.75458890E+01
1.08904600E+03 1.18276790E-02 -8.93643990E+01
1.08899240E+03 1.60843040E-02 -9.08499830E+01
1.08893890E+03 1.89312920E-02 -9.21828370E+01
1.08888530E+03 1.91058830E-02 -9.34733450E+01
1.08883180E+03 1.64518150E-02 -9.47901100E+01
1.08877830E+03 1.19034080E-02 -9.62404200E+01
1.08872480E+03 8.29031550E-03 -9.80800900E+01
1.08867130E+03 1.00747380E-02 -1.00097120E+02
1.08861780E+03 1.47880290E-02 -1.01670690E+02
1.08856430E+03 1.86019710E-02 -1.03030430E+02
1.08851080E+03 2.00620540E-02 -1.04322390E+02
1.08845730E+03 1.86488350E-02 -1.05603820E+02
1.08840380E+03 1.45072180E-02 -1.06933040E+02
1.08835030E+03 8.87046950E-03 -1.08494790E+02
1.08829680E+03 7.02716300E-03 -1.10767390E+02
1.08824340E+03 1.27016290E-02 -1.12610450E+02
1.08818990E+03 1.89629320E-02 -1.13972950E+02
1.08813640E+03 2.28724420E-02 -1.15213790E+02
1.08808300E+03 2.32941840E-02 -1.16417110E+02
1.08802950E+03 1.99244400E-02 -1.17617650E+02
1.08797610E+03 1.32511440E-02 -1.18865770E+02
1.08792270E+03 5.02007910E-03 -1.20514100E+02
1.08786920E+03 7.21698670E-03 -1.23529240E+02
1.08781580E+03 1.56658050E-02 -1.24949380E+02
1.08776240E+03 2.19003910E-02 -1.26156830E+02
1.08770900E+03 2.44608780E-02 -1.27323960E+02
1.08765560E+03 2.28261580E-02 -1.28481570E+02
1.08760220E+03 1.72483080E-02 -1.29647600E+02
1.08754870E+03 8.68024590E-03 -1.30879230E+02
1.08749540E+03 2.39746630E-03 -1.27943920E+02
1.08744200E+03 1.21674330E-02 -1.29685380E+02
1.08738860E+03 2.07319360E-02 -1.30872990E+02
1.08733520E+03 2.61903270E-02 -1.32020380E+02
1.08728180E+03 2.75036990E-02 -1.33152740E+02
1.08722850E+03 2.42682790E-02 -1.34271900E+02
1.08717510E+03 1.68246750E-02 -1.35366240E+02
1.08712170E+03 6.34882220E-03 -1.36326230E+02
1.08706840E+03 6.08340810E-03 -1.34820460E+02
1.08701500E+03 1.72700580E-02 -1.35756970E+02
1.08696170E+03 2.58232590E-02 -1.36830230E+02
1.08690830E+03 3.00432930E-02 -1.37917470E+02
1.08685500E+03 2.91135860E-02 -1.39000630E+02
1.08680170E+03 2.31873620E-02 -1.40061370E+02
1.08674840E+03 1.34261860E-02 -1.41030260E+02
1.08669500E+03 4.09869390E-03 -1.40976500E+02
1.08664170E+03 1.27874240E-02 -1.40718440E+02
1.08658840E+03 2.31223280E-02 -1.41660620E+02
1.08653510E+03 2.99329230E-02 -1.42696940E+02
1.08648180E+03 3.18684210E-02 -1.43744320E+02
1.08642850E+03 2.85644690E-02 -1.44773340E+02
1.08637530E+03 2.06997530E-02 -1.45734790E+02
1.08632200E+03 1.06433750E-02 -1.46387740E+02
1.08626870E+03 9.62482040E-03 -1.46021060E+02
1.08621540E+03 2.01227390E-02 -1.46567040E+02
1.08616220E+03 2.95489760E-02 -1.47500360E+02
1.08610890E+03 3.48094380E-02 -1.48505770E+02
1.08605570E+03 3.47524900E-02 -1.49521400E+02
1.08600240E+03 2.93750420E-02 -1.50509020E+02
1.08594920E+03 2.00040310E-02 -1.51383230E+02
1.08589590E+03 1.11216360E-02 -1.51767700E+02
1.08584270E+03 1.48308710E-02 -1.51723260E+02
1.08578950E+03 2.51962270E-02 -1.52435070E+02
1.08573620E+03 3.33127040E-02 -1.53386090E+02
1.08568300E+03 3.67093680E-02 -1.54395990E+02
1.08562980E+03 3.46166380E-02 -1.55411660E+02
1.08557660E+03 2.74204100E-02 -1.56387880E+02
1.08552340E+03 1.69364530E-02 -1.57196550E+02
1.08547020E+03 1.00427040E-02 -1.57273680E+02
1.08541700E+03 1.78817300E-02 -1.57427360E+02
1.08536380E+03 2.84522080E-02 -1.58258750E+02
1.08531060E+03 3.54902320E-02 -1.59240000E+02
1.08525750E+03 3.72247100E-02 -1.60257570E+02
1.08520430E+03 3.33546170E-02 -1.61269150E+02
1.08515110E+03 2.47986440E-02 -1.62220560E+02
1.08509800E+03 1.42246410E-02 -1.62914560E+02
1.08504480E+03 1.12689160E-02 -1.62825580E+02
1.08499170E+03 2.08009220E-02 -1.63267440E+02
1.08493850E+03 3.04735930E-02 -1.64169320E+02
1.08488540E+03 3.61203200E-02 -1.65176140E+02
1.08483220E+03 3.63596320E-02 -1.66209310E+02
1.08477910E+03 3.10628910E-02 -1.67232220E+02
1.08472600E+03 2.13082590E-02 -1.68183790E+02
1.08467290E+03 1.02972550E-02 -1.68754000E+02
1.08461980E+03 1.12459070E-02 -1.68415960E+02
1.08456660E+03 2.18537660E-02 -1.69083830E+02
1.08451350E+03 3.02198920E-02 -1.70066750E+02
1.08446040E+03 3.39285340E-02 -1.71120120E+02
1.08440740E+03 3.24456250E-02 -1.72194050E+02
1.08435430E+03 2.62669610E-02 -1.73260860E+02
1.08430120E+03 1.66715710E-02 -1.74263430E+02
1.08424810E+03 6.38732660E-03 -1.74790250E+02
1.08419500E+03 9.61060590E-03 -1.74212360E+02
1.08414200E+03 1.95116280E-02 -1.75039420E+02
1.08408890E+03 2.68005130E-02 -1.76074510E+02
1.08403590E+03 2.98648450E-02 -1.77149830E+02
1.08398280E+03 2.82156570E-02 -1.78235210E+02
1.08392980E+03 2.22984980E-02 -1.79315340E+02
1.08387670E+03 1.33572530E-02 -1.80351250E+02
1.08382370E+03 3.68878470E-03 -1.80870690E+02
1.08377060E+03 8.29920130E-03 -1.80003100E+02
1.08371760E+03 1.69285890E-02 -1.80976390E+02
1.08366460E+03 2.30997790E-02 -1.82077620E+02
1.08361160E+03 2.59076510E-02 -1.83204580E+02
1.08355860E+03 2.49208220E-02 -1.84337290E+02
1.08350560E+03 2.02066800E-02 -1.85467500E+02
1.08345260E+03 1.24227940E-02 -1.86585100E+02
1.08339960E+03 2.81267370E-03 -1.87562420E+02
1.08334660E+03 7.23231290E-03 -1.85837950E+02
1.08329360E+03 1.58928030E-02 -1.86931950E+02
1.08324060E+03 2.19240530E-02 -1.88061330E+02
1.08318770E+03 2.44471180E-02 -1.89200470E+02
1.08313470E+03 2.31718430E-02 -1.90345200E+02
1.08308170E+03 1.83901270E-02 -1.91492530E+02
1.08302880E+03 1.08857070E-02 -1.92633600E+02
1.08297580E+03 1.81997870E-03 -1.93598250E+02
1.08292290E+03 7.63986700E-03 -1.91906670E+02
1.08286990E+03 1.59787550E-02 -1.93036620E+02
1.08281700E+03 2.20236420E-02 -1.94183860E+02
1.08276410E+03 2.47835000E-02 -1.95329610E+02
1.08271110E+03 2.37086800E-02 -1.96468800E+02
1.08265820E+03 1.88414810E-02 -1.97595380E+02
1.08260530E+03 1.08749340E-02 -1.98684250E+02
1.08255240E+03 1.55966860E-03 -1.98985540E+02
1.08249950E+03 9.41226360E-03 -1.98065800E+02
1.08244660E+03 1.83002800E-02 -1.99131970E+02
1.08239370E+03 2.44829250E-02 -2.00244060E+02
1.08234080E+03 2.69361200E-02 -2.01365650E+02
1.08228790E+03 2.52569080E-02 -2.02488860E+02
1.08223500E+03 1.97203820E-02 -2.03606550E+02
1.08218210E+03 1.12429540E-02 -2.04691850E+02
1.08212930E+03 1.72355670E-03 -2.05034570E+02
1.08207640E+03 9.19670750E-03 -2.04110340E+02
1.08202350E+03 1.77504340E-02 -2.05184790E+02
1.08197070E+03 2.35228570E-02 -2.06311770E+02
1.08191780E+03 2.56273440E-02 -2.07448850E+02
1.08186500E+03 2.37364070E-02 -2.08585770E+02
1.08181220E+03 1.81201910E-02 -2.09714930E+02
1.08175930E+03 9.64186760E-03 -2.10812930E+02
1.08170650E+03 9.44939520E-04 -2.09997990E+02
1.08165370E+03 1.04168980E-02 -2.10114160E+02
1.08160090E+03 1.86835830E-02 -2.11215300E+02
1.08154800E+03 2.40090830E-02 -2.12343360E+02
1.08149520E+03 2.56456020E-02 -2.13480010E+02
1.08144240E+03 2.34675840E-02 -2.14619970E+02
1.08138960E+03 1.79076760E-02 -2.15756290E+02
1.08133680E+03 9.82975060E-03 -2.16863240E+02
1.08128410E+03 1.01906450E-03 -2.16830790E+02
1.08123130E+03 9.32140300E-03 -2.16226050E+02
1.08117850E+03 1.75219670E-02 -2.17319850E+02
1.08112570E+03 2.31035110E-02 -2.18443030E+02
1.08107300E+03 2.50928720E-02 -2.19569290E+02
1.08102020E+03 2.31138880E-02 -2.20693270E+02
1.08096740E+03 1.75134720E-02 -2.21809460E+02
1.08091470E+03 9.31444810E-03 -2.22888420E+02
1.08086190E+03 1.16180270E-03 -2.22423420E+02
1.08080920E+03 9.35765560E-03 -2.22283630E+02
1.08075650E+03 1.67567250E-02 -2.23381530E+02
1.08070370E+03 2.14927920E-02 -2.24520380E+02
1.08065100E+03 2.29181420E-02 -2.25669220E+02
1.08059830E+03 2.08111210E-02 -2.26820150E+02
1.08054560E+03 1.54136410E-02 -2.27969840E+02
1.08049290E+03 7.45496580E-03 -2.29114830E+02
1.08044020E+03 1.91316160E-03 -2.27165420E+02
1.08038750E+03 1.12723290E-02 -2.28284030E+02
1.08033480E+03 1.91639560E-02 -2.29427310E+02
1.08028210E+03 2.42840090E-02 -2.30568680E+02
1.08022940E+03 2.56754920E-02 -2.31703770E+02
1.08017670E+03 2.29171500E-02 -2.32826460E+02
1.08012400E+03 1.63016350E-02 -2.33919790E+02
1.08007140E+03 6.99286530E-03 -2.34867840E+02
1.08001870E+03 4.61217180E-03 -2.33662810E+02
1.07996600E+03 1.42495660E-02 -2.34454620E+02
1.07991340E+03 2.17960890E-02 -2.35531830E+02
1.07986070E+03 2.58063100E-02 -2.36647110E+02
1.07980810E+03 2.57830370E-02 -2.37774950E+02
1.07975550E+03 2.18946980E-02 -2.38904560E+02
1.07970280E+03 1.48192530E-02 -2.40019820E+02
1.07965020E+03 5.65550340E-03 -2.41023930E+02
1.07959760E+03 4.75040770E-03 -2.39512900E+02
1.07954500E+03 1.41107920E-02 -2.40470700E+02
1.07949230E+03 2.15003560E-02 -2.41570560E+02
1.07943970E+03 2.56697280E-02 -2.42684950E+02
1.07938710E+03 2.59298260E-02 -2.43798330E+02
1.07933450E+03 2.22144140E-02 -2.44900150E+02
1.07928190E+03 1.51108320E-02 -2.45962410E+02
1.07922940E+03 6.02958410E-03 -2.46778240E+02
1.07917680E+03 5.90005410E-03 -2.45785990E+02
1.07912420E+03 1.49855840E-02 -2.46591160E+02
1.07907160E+03 2.20249170E-02 -2.47653170E+02
1.07901910E+03 2.54767870E-02 -2.48757170E+02
1.07896650E+03 2.47350260E-02 -2.49875190E+02
1.07891390E+03 1.99853690E-02 -2.50996160E+02
1.07886140E+03 1.21172230E-02 -2.52099780E+02
1.07880880E+03 2.64178970E-03 -2.52898640E+02
1.07875630E+03 7.62493790E-03 -2.51495010E+02
1.07870380E+03 1.62985270E-02 -2.52565160E+02
1.07865120E+03 2.25505720E-02 -2.53691100E+02
1.07859870E+03 2.54453380E-02 -2.54821420E+02
1.07854620E+03 2.44997690E-02 -2.55942460E+02
1.07849370E+03 1.97725180E-02 -2.57039040E+02
1.07844120E+03 1.19798850E-02 -2.58059220E+02
1.07838870E+03 3.52195780E-03 -2.58354830E+02
1.07833620E+03 9.22744630E-03 -2.57767840E+02
1.07828370E+03 1.79185420E-02 -2.58713990E+02
1.07823120E+03 2.39594870E-02 -2.59782610E+02
1.07817870E+03 2.62171170E-02 -2.60878680E+02
1.07812620E+03 2.43683200E-02 -2.61980960E+02
1.07807370E+03 1.88031030E-02 -2.63070120E+02
1.07802130E+03 1.05391160E-02 -2.64076550E+02
1.07796880E+03 3.03305230E-03 -2.63956690E+02
1.07791630E+03 1.05865470E-02 -2.63804270E+02
1.07786390E+03 1.92796500E-02 -2.64815180E+02
1.07781140E+03 2.54946660E-02 -2.65915420E+02
1.07775900E+03 2.81015380E-02 -2.67034790E+02
1.07770660E+03 2.65465160E-02 -2.68156150E+02
1.07765410E+03 2.09312700E-02 -2.69267410E+02
1.07760170E+03 1.20564870E-02 -2.70332810E+02
1.07754930E+03 2.13224600E-03 -2.70542440E+02
1.07749690E+03 1.03293290E-02 -2.69792550E+02
1.07744440E+03 1.98822870E-02 -2.70831080E+02
1.07739200E+03 2.63803080E-02 -2.71929410E+02
1.07733960E+03 2.86721520E-02 -2.73037290E+02
1.07728720E+03 2.63476160E-02 -2.74141730E+02
1.07723480E+03 1.98145290E-02 -2.75226600E+02
1.07718250E+03 1.03017650E-02 -2.76216280E+02
1.07713010E+03 3.16874110E-03 -2.75628300E+02
1.07707770E+03 1.25841450E-02 -2.75856370E+02
1.07702530E+03 2.13946410E-02 -2.76898240E+02
1.07697300E+03 2.69982520E-02 -2.78005750E+02
1.07692060E+03 2.84767070E-02 -2.79127380E+02
1.07686820E+03 2.55372100E-02 -2.80245360E+02
1.07681590E+03 1.85568930E-02 -2.81337420E+02
1.07676350E+03 8.71837060E-03 -2.82294500E+02
1.07671120E+03 4.35549120E-03 -2.81331180E+02
1.07665890E+03 1.46326370E-02 -2.81949970E+02
1.07660650E+03 2.32089590E-02 -2.83010370E+02
1.07655420E+03 2.80280480E-02 -2.84119720E+02
1.07650190E+03 2.82824860E-02 -2.85242990E+02
1.07644960E+03 2.39984610E-02 -2.86368360E+02
1.07639730E+03 1.59516530E-02 -2.87479860E+02
1.07634490E+03 5.55628590E-03 -2.88460480E+02
1.07629260E+03 6.05919760E-03 -2.86945390E+02
1.07624040E+03 1.62768320E-02 -2.87949350E+02
1.07618810E+03 2.40504260E-02 -2.89070660E+02
1.07613580E+03 2.81596110E-02 -2.90209730E+02
1.07608350E+03 2.80142780E-02 -2.91353350E+02
1.07603120E+03 2.36770500E-02 -2.92494970E+02
1.07597890E+03 1.58423470E-02 -2.93621990E+02
1.07592670E+03 5.77190280E-03 -2.94639780E+02
1.07587440E+03 5.41700230E-03 -2.93093650E+02
1.07582220E+03 1.53566430E-02 -2.94098940E+02
1.07576990E+03 2.29596080E-02 -2.95223570E+02
1.07571770E+03 2.69839720E-02 -2.96362690E+02
1.07566540E+03 2.67683310E-02 -2.97503200E+02
1.07561320E+03 2.22993430E-02 -2.98638790E+02
1.07556100E+03 1.42498470E-02 -2.99756630E+02
1.07550870E+03 3.96885130E-03 -3.00714420E+02
1.07545650E+03 7.22669250E-03 -2.99110380E+02
1.07540430E+03 1.69965660E-02 -3.00172510E+02
