  wavelength    amplitude        phase
6.87804990E+02 2.31637519E-16 +7.20296150E+02
6.87918320E+02 4.88073898E-16 +7.19937320E+02
6.88031680E+02 6.69862993E-16 +7.19118830E+02
6.88145090E+02 5.03363954E-16 +7.18444380E+02
6.88258530E+02 4.42816418E-16 +7.17961070E+02
6.88372010E+02 3.97944154E-16 +7.17446790E+02
6.88485520E+02 3.55932072E-16 +7.17301230E+02
6.88599080E+02 3.37666803E-16 +7.16860230E+02
6.88712670E+02 3.23579372E-16 +7.16503450E+02
6.88826300E+02 3.67267028E-16 +7.16133900E+02
6.88939960E+02 3.08850025E-16 +7.15962070E+02
6.89053670E+02 3.18355320E-16 +7.15597840E+02
6.89167410E+02 4.55263330E-16 +7.15164970E+02
6.89281190E+02 5.36335212E-16 +7.14561600E+02
6.89395000E+02 5.40832137E-16 +7.13878580E+02
6.89508860E+02 5.03363954E-16 +7.13228300E+02
6.89622750E+02 4.21586646E-16 +7.12383280E+02
6.89736680E+02 3.11851553E-16 +7.11605230E+02
6.89850650E+02 2.33240567E-16 +7.10722310E+02
6.89964650E+02 1.93336406E-16 +7.10120250E+02
6.90078690E+02 2.41289082E-16 +7.09413690E+02
6.90192770E+02 1.73728138E-16 +7.08367140E+02
6.90306890E+02 2.72987434E-17 +7.10604090E+02
6.90421050E+02 2.34050409E-16 +7.09699440E+02
6.90535240E+02 4.03176661E-16 +7.08845600E+02
6.90649470E+02 4.45647282E-16 +7.08198200E+02
6.90763740E+02 3.93301208E-16 +7.07770900E+02
6.90878040E+02 4.45647282E-16 +7.07343600E+02
6.90992390E+02 5.33898099E-16 +7.06670230E+02
6.91106770E+02 4.28442727E-16 +7.06069580E+02
6.91221190E+02 4.07685737E-16 +7.05616370E+02
6.91335650E+02 3.64210667E-16 +7.05045260E+02
6.91450150E+02 2.16798778E-16 +7.04555090E+02
6.91564680E+02 1.77441833E-16 +7.04974750E+02
6.91679250E+02 2.80560170E-16 +7.04782460E+02
6.91793860E+02 3.82182404E-16 +7.04341460E+02
6.91908510E+02 6.20877645E-16 +7.03538030E+02
6.92023200E+02 5.72999660E-16 +7.02555250E+02
6.92137920E+02 3.55449209E-16 +7.01804950E+02
6.92252680E+02 3.29428080E-16 +7.01596280E+02
6.92367480E+02 3.14093145E-16 +7.01011370E+02
6.92482320E+02 3.29322031E-16 +7.00661450E+02
6.92597190E+02 3.02911512E-16 +6.99972070E+02
6.92712110E+02 1.38273591E-16 +6.99970970E+02
6.92827060E+02 2.09518968E-16 +7.00773390E+02
6.92942050E+02 4.16256892E-16 +7.00209600E+02
6.93057080E+02 4.41974162E-16 +6.99654390E+02
6.93172150E+02 5.20917642E-16 +6.99245880E+02
6.93287250E+02 6.03252866E-16 +6.98644490E+02
6.93402400E+02 5.87557495E-16 +6.98006070E+02
6.93517580E+02 3.75419765E-16 +6.97368570E+02
6.93632800E+02 2.28244678E-16 +6.97170420E+02
6.93748060E+02 2.47250678E-16 +6.97354360E+02
6.93863350E+02 2.74104821E-16 +6.97172660E+02
6.93978690E+02 3.36050547E-16 +6.96891820E+02
6.94094060E+02 3.57238240E-16 +6.96431680E+02
6.94209470E+02 3.82159561E-16 +6.96103660E+02
6.94324920E+02 5.35863136E-16 +6.95480190E+02
6.94440410E+02 5.02773726E-16 +6.94757680E+02
6.94555940E+02 5.22702831E-16 +6.94334670E+02
6.94671500E+02 5.64985690E-16 +6.93704990E+02
6.94787110E+02 4.28873956E-16 +6.93223170E+02
6.94902750E+02 4.37741887E-16 +6.92917660E+02
6.95018430E+02 3.44940053E-16 +6.92506020E+02
6.95134150E+02 2.76484019E-16 +6.92410450E+02
6.95249910E+02 2.28170732E-16 +6.92255860E+02
6.95365700E+02 2.83272155E-16 +6.92353050E+02
6.95481540E+02 3.59188307E-16 +6.91966400E+02
6.95597410E+02 3.79481383E-16 +6.91286870E+02
6.95713320E+02 3.30976600E-16 +6.90800970E+02
6.95829270E+02 2.91811040E-16 +6.90156780E+02
6.95945260E+02 2.75519164E-16 +6.89805550E+02
6.96061290E+02 3.33204007E-16 +6.89329580E+02
6.96177360E+02 4.76997421E-16 +6.88581170E+02
6.96293460E+02 5.66694927E-16 +6.87781700E+02
6.96409610E+02 5.32928551E-16 +6.86930860E+02
6.96525790E+02 3.62830305E-16 +6.86430660E+02
6.96642010E+02 3.58533318E-16 +6.86299750E+02
6.96758270E+02 3.29906335E-16 +6.85742400E+02
6.96874570E+02 2.61459861E-16 +6.85843280E+02
6.96990910E+02 3.87727353E-16 +6.85530800E+02
6.97107290E+02 3.06674833E-16 +6.84660030E+02
6.97223700E+02 9.94169764E-17 +6.85012380E+02
6.97340160E+02 1.24566585E-16 +6.85642650E+02
6.97456650E+02 2.88847950E-16 +6.85758250E+02
6.97573180E+02 4.40982199E-16 +6.85038200E+02
6.97689760E+02 3.77239963E-16 +6.84611030E+02
6.97806370E+02 4.07403706E-16 +6.84522050E+02
6.97923020E+02 4.62375616E-16 +6.83880420E+02
6.98039700E+02 3.62042691E-16 +6.83434910E+02
6.98156430E+02 2.87469007E-16 +6.82811930E+02
6.98273200E+02 1.05396660E-16 +6.81448470E+02
6.98390000E+02 1.66402019E-16 +6.78203560E+02
6.98506850E+02 2.93237944E-16 +6.77767960E+02
6.98623730E+02 3.80922906E-16 +6.77045540E+02
6.98740660E+02 3.47523294E-16 +6.76425800E+02
6.98857620E+02 2.10143258E-16 +6.75907480E+02
6.98974620E+02 1.09008202E-16 +6.75653630E+02
6.99091660E+02 8.09308186E-17 +6.77013980E+02
6.99208740E+02 2.89395278E-16 +6.76489690E+02
6.99325860E+02 3.02443256E-16 +6.75762450E+02
6.99443020E+02 2.66651090E-16 +6.75251150E+02
6.99560210E+02 3.12017564E-16 +6.74987330E+02
6.99677450E+02 3.56396310E-16 +6.74268030E+02
6.99794730E+02 3.44154093E-16 +6.73242620E+02
6.99912040E+02 2.86455435E-16 +6.72357110E+02
7.00029400E+02 2.16828986E-16 +6.71477360E+02
7.00146790E+02 2.17444844E-16 +6.70500880E+02
7.00264220E+02 8.17272158E-17 +6.69866320E+02
7.00381700E+02 3.81511533E-17 +6.68633660E+02
7.00499210E+02 1.03613928E-16 +6.70565980E+02
7.00616760E+02 1.23246533E-16 +6.69762730E+02
7.00734350E+02 2.36057470E-16 +6.69282060E+02
7.00851980E+02 2.52017176E-16 +6.68589710E+02
7.00969650E+02 2.73955281E-16 +6.68030710E+02
7.01087360E+02 3.16296412E-16 +6.67348860E+02
7.01205110E+02 2.53218179E-16 +6.66216030E+02
7.01322900E+02 2.76726732E-16 +6.64527180E+02
7.01440730E+02 2.87050513E-16 +6.62859930E+02
7.01558590E+02 2.82730681E-16 +6.61855490E+02
7.01676500E+02 2.57773092E-16 +6.61052350E+02
7.01794450E+02 2.24331696E-16 +6.60781350E+02
7.01912440E+02 3.64753766E-16 +6.60503890E+02
7.02030460E+02 3.03161873E-16 +6.59842530E+02
7.02148530E+02 2.67412146E-16 +6.59205000E+02
7.02266630E+02 1.33192064E-16 +6.59196160E+02
7.02384780E+02 1.60508255E-16 +6.59627380E+02
7.02502970E+02 2.84416787E-16 +6.59358610E+02
7.02621190E+02 2.42751237E-16 +6.58780010E+02
7.02739460E+02 2.35417659E-16 +6.59252120E+02
7.02857760E+02 3.05259300E-16 +6.58677910E+02
7.02976100E+02 3.61750605E-16 +6.58518650E+02
7.03094490E+02 4.50062351E-16 +6.58058830E+02
7.03212910E+02 3.11300323E-16 +6.57296660E+02
7.03331380E+02 1.69830495E-16 +6.57586610E+02
7.03449880E+02 2.73520092E-16 +6.57796640E+02
7.03568430E+02 2.91531986E-16 +6.57500510E+02
7.03687010E+02 4.26034224E-16 +6.57457140E+02
7.03805630E+02 4.53745083E-16 +6.56772450E+02
7.03924300E+02 4.01271093E-16 +6.56444250E+02
7.04043000E+02 3.91456204E-16 +6.56036940E+02
7.04161750E+02 2.92982829E-16 +6.55592060E+02
7.04280530E+02 2.99605337E-16 +6.55145050E+02
7.04399350E+02 2.71945456E-16 +6.54531130E+02
7.04518220E+02 2.47321309E-16 +6.54007440E+02
7.04637120E+02 3.87480129E-16 +6.53382770E+02
7.04756070E+02 4.72978625E-16 +6.52531580E+02
7.04875050E+02 4.38844859E-16 +6.51892780E+02
7.04994080E+02 4.57625141E-16 +6.51346370E+02
7.05113140E+02 4.08741605E-16 +6.50855830E+02
7.05232250E+02 3.73886962E-16 +6.50496640E+02
7.05351390E+02 3.26338612E-16 +6.50251360E+02
7.05470580E+02 3.81976845E-16 +6.49893440E+02
7.05589810E+02 3.14627484E-16 +6.49207270E+02
7.05709070E+02 1.04072196E-16 +6.48022860E+02
7.05828380E+02 2.39254429E-16 +6.50573390E+02
7.05947730E+02 3.66571971E-16 +6.49919620E+02
7.06067110E+02 5.04497621E-16 +6.49506160E+02
7.06186540E+02 7.08561014E-16 +6.48968410E+02
7.06306010E+02 7.97987262E-16 +6.48225390E+02
7.06425520E+02 6.26737234E-16 +6.47500970E+02
7.06545070E+02 4.08640759E-16 +6.47104260E+02
7.06664660E+02 2.79043808E-16 +6.46898720E+02
7.06784290E+02 3.32883298E-16 +6.46759790E+02
7.06903960E+02 3.34218043E-16 +6.46092350E+02
7.07023670E+02 2.14869249E-16 +6.45608520E+02
7.07143420E+02 4.84506512E-17 +6.46663530E+02
7.07263210E+02 2.18189913E-16 +6.46796640E+02
7.07383050E+02 3.15407034E-16 +6.46179630E+02
7.07502920E+02 4.32461883E-16 +6.45638850E+02
7.07622830E+02 3.90229612E-16 +6.44936000E+02
7.07742790E+02 2.70440287E-16 +6.44733700E+02
7.07862780E+02 3.47883817E-16 +6.44513690E+02
7.07982820E+02 4.13082740E-16 +6.43961980E+02
7.08102900E+02 4.03847583E-16 +6.43227220E+02
7.08223020E+02 3.17778728E-16 +6.42641320E+02
7.08343170E+02 2.97972479E-16 +6.41501670E+02
7.08463370E+02 2.00095437E-16 +6.40086840E+02
7.08583610E+02 1.08040057E-16 +6.39697590E+02
7.08703890E+02 2.07540172E-16 +6.39043560E+02
7.08824220E+02 8.28591769E-17 +6.37850600E+02
7.08944580E+02 1.23270150E-16 +6.39724100E+02
7.09064980E+02 2.16260177E-16 +6.39093430E+02
7.09185430E+02 2.96589336E-16 +6.38905680E+02
7.09305910E+02 4.03957485E-16 +6.38447370E+02
7.09426440E+02 4.78101088E-16 +6.37922550E+02
7.09547000E+02 4.95907764E-16 +6.37434030E+02
7.09667610E+02 4.69591344E-16 +6.36947810E+02
7.09788260E+02 3.60038567E-16 +6.36743990E+02
7.09908950E+02 3.32140798E-16 +6.36266170E+02
7.10029680E+02 1.55820599E-16 +6.36013660E+02
7.10150460E+02 2.45925544E-16 +6.36536860E+02
7.10271270E+02 3.13176591E-16 +6.36305730E+02
7.10392120E+02 4.39179269E-16 +6.35871170E+02
7.10513020E+02 4.10234019E-16 +6.35307920E+02
7.10633960E+02 4.55685143E-16 +6.35086150E+02
7.10754930E+02 5.59381739E-16 +6.34368410E+02
7.10875950E+02 4.96991086E-16 +6.33426020E+02
7.10997010E+02 2.26429587E-16 +6.33011080E+02
7.11118110E+02 2.50566979E-16 +6.33312130E+02
7.11239260E+02 3.71759277E-16 +6.32648440E+02
7.11360440E+02 3.29889451E-16 +6.31787420E+02
7.11481670E+02 2.33929889E-16 +6.31360030E+02
7.11602930E+02 2.38472858E-16 +6.30860100E+02
7.11724240E+02 2.05994017E-16 +6.29732270E+02
7.11845590E+02 1.56781341E-16 +6.28845320E+02
7.11966980E+02 1.44255464E-16 +6.27493780E+02
7.12088420E+02 1.51269445E-16 +6.26176110E+02
