  wavelength    amplitude        phase
9.10555940E+02 7.34361246E-10 +2.16307850E+02
9.10781060E+02 9.08834105E-10 +2.15433970E+02
9.11006300E+02 7.49929603E-10 +2.14768820E+02
9.11231640E+02 3.96188188E-10 +2.14524220E+02
9.11457100E+02 3.13388049E-10 +2.15112140E+02
9.11682670E+02 2.79568242E-10 +2.14857310E+02
9.11908350E+02 1.09656468E-10 +2.13024950E+02
9.12134140E+02 2.09711292E-10 +2.11516150E+02
9.12360040E+02 1.70892718E-10 +2.11027470E+02
9.12586060E+02 2.80106846E-10 +2.11633100E+02
9.12812190E+02 5.87801548E-10 +2.11696680E+02
9.13038430E+02 5.60067576E-10 +2.11885880E+02
9.13264780E+02 4.67335565E-10 +2.13182930E+02
9.13491240E+02 1.22373196E-09 +2.13848590E+02
9.13717820E+02 2.04621626E-09 +2.13784820E+02
9.13944510E+02 2.36395535E-09 +2.13550220E+02
9.14171310E+02 1.87829862E-09 +2.13418880E+02
9.14398220E+02 1.08854472E-09 +2.13667770E+02
9.14625250E+02 6.58210992E-10 +2.14040020E+02
9.14852390E+02 6.46936713E-11 +2.14223770E+02
9.15079640E+02 5.22956490E-10 +2.10450620E+02
9.15307010E+02 7.32159464E-10 +2.10072700E+02
9.15534480E+02 6.12974787E-10 +2.09567170E+02
9.15762070E+02 4.49495773E-10 +2.08419390E+02
9.15989780E+02 8.01758336E-10 +2.07232140E+02
9.16217600E+02 1.07456638E-09 +2.06792630E+02
9.16445530E+02 8.49306158E-10 +2.06956000E+02
9.16673570E+02 9.62011809E-10 +2.07668860E+02
9.16901730E+02 1.06933129E-09 +2.07846380E+02
9.17130000E+02 8.30149517E-10 +2.07906490E+02
9.17358390E+02 7.39957391E-10 +2.07446670E+02
9.17586890E+02 1.11342373E-09 +2.06233460E+02
9.17815500E+02 1.90570339E-09 +2.05380030E+02
9.18044230E+02 2.19179073E-09 +2.04814220E+02
9.18273070E+02 1.88849183E-09 +2.04508410E+02
9.18502020E+02 1.49481922E-09 +2.04456890E+02
9.18731090E+02 9.17565861E-10 +2.04286540E+02
9.18960270E+02 7.30160339E-11 +2.03231930E+02
9.19189570E+02 5.18294357E-10 +2.00330810E+02
9.19418980E+02 5.18512247E-10 +1.99696340E+02
9.19648510E+02 1.86393146E-10 +1.98624240E+02
9.19878150E+02 3.96046992E-10 +1.96382100E+02
9.20107910E+02 1.14097410E-09 +1.95811730E+02
9.20337780E+02 2.02857788E-09 +1.95482520E+02
9.20567770E+02 2.39898306E-09 +1.95234860E+02
9.20797870E+02 2.30068053E-09 +1.94987700E+02
9.21028080E+02 2.16500388E-09 +1.94469970E+02
9.21258410E+02 2.52440944E-09 +1.93514620E+02
9.21488860E+02 3.60799570E-09 +1.92725940E+02
9.21719420E+02 3.76277597E-09 +1.92244040E+02
9.21950100E+02 2.68422490E-09 +1.91896790E+02
9.22180890E+02 1.83544583E-09 +1.91562800E+02
9.22411800E+02 1.46528728E-09 +1.91199270E+02
9.22642820E+02 2.83464035E-10 +1.90221600E+02
9.22873960E+02 2.32094976E-09 +1.87487760E+02
9.23105220E+02 5.79254469E-09 +1.86911180E+02
9.23336590E+02 9.90567378E-09 +1.86407220E+02
9.23568080E+02 1.25477795E-08 +1.85993060E+02
9.23799680E+02 1.14261039E-08 +1.85673600E+02
9.24031400E+02 7.01011541E-09 +1.85587190E+02
9.24263230E+02 3.96721086E-09 +1.86195430E+02
9.24495190E+02 4.40968627E-09 +1.86549970E+02
9.24727250E+02 3.60377136E-09 +1.86240700E+02
9.24959440E+02 2.68472088E-09 +1.85687160E+02
9.25191740E+02 3.47574093E-09 +1.85547150E+02
9.25424160E+02 7.54485891E-09 +1.85598770E+02
9.25656700E+02 1.44413175E-08 +1.85485510E+02
9.25889350E+02 2.03550416E-08 +1.85309900E+02
9.26122120E+02 2.07798200E-08 +1.85152730E+02
9.26355000E+02 1.50178594E-08 +1.85153100E+02
9.26588010E+02 9.88736937E-09 +1.85615120E+02
9.26821130E+02 1.00188123E-08 +1.85955200E+02
9.27054360E+02 6.60110233E-09 +1.85768770E+02
9.27287720E+02 2.51496897E-10 +1.81616960E+02
9.27521190E+02 4.00326042E-09 +1.81160370E+02
9.27754780E+02 9.57183969E-09 +1.79629720E+02
9.27988490E+02 2.10142901E-08 +1.78931420E+02
9.28222320E+02 2.56062434E-08 +1.78516640E+02
9.28456260E+02 1.80065313E-08 +1.78119930E+02
9.28690320E+02 5.55856798E-09 +1.76844520E+02
9.28924500E+02 1.57119735E-08 +1.75158030E+02
9.29158800E+02 2.36431153E-08 +1.74822200E+02
9.29393220E+02 2.13764078E-08 +1.74806850E+02
9.29627750E+02 2.29869235E-08 +1.75187190E+02
9.29862400E+02 3.57444989E-08 +1.75096440E+02
9.30097180E+02 4.71011380E-08 +1.74615860E+02
9.30332070E+02 5.23027246E-08 +1.74050820E+02
9.30567070E+02 4.78975219E-08 +1.73477010E+02
9.30802200E+02 3.52751201E-08 +1.72715210E+02
9.31037450E+02 3.33673044E-08 +1.71493410E+02
9.31272810E+02 4.99315361E-08 +1.70610140E+02
9.31508300E+02 5.97767037E-08 +1.70044200E+02
9.31743900E+02 5.61453141E-08 +1.69445630E+02
9.31979620E+02 5.22197156E-08 +1.68645970E+02
9.32215460E+02 5.56699982E-08 +1.67894470E+02
9.32451430E+02 4.65246171E-08 +1.67440770E+02
9.32687510E+02 2.30650489E-08 +1.67873740E+02
9.32923710E+02 5.00698452E-08 +1.68643870E+02
9.33160030E+02 7.35967975E-08 +1.68355210E+02
9.33396470E+02 5.70902803E-08 +1.67819070E+02
9.33633030E+02 2.74276202E-08 +1.66203970E+02
9.33869710E+02 7.15448642E-08 +1.64802690E+02
9.34106510E+02 1.06276394E-07 +1.64239030E+02
9.34343420E+02 9.89792463E-08 +1.63646850E+02
9.34580460E+02 6.06780751E-08 +1.62771410E+02
9.34817620E+02 3.18101619E-08 +1.60870970E+02
9.35054910E+02 7.45917415E-08 +1.59210770E+02
9.35292310E+02 1.05331519E-07 +1.58497200E+02
9.35529830E+02 6.77362717E-08 +1.57952450E+02
9.35767470E+02 1.47750719E-08 +1.54898740E+02
9.36005230E+02 7.44722740E-08 +1.54042420E+02
9.36243120E+02 1.06459236E-07 +1.53582480E+02
9.36481120E+02 1.44809558E-07 +1.53447170E+02
9.36719250E+02 2.08689727E-07 +1.53468390E+02
9.36957490E+02 2.40261295E-07 +1.53386210E+02
9.37195860E+02 1.70454651E-07 +1.53209060E+02
9.37434350E+02 3.90630426E-08 +1.53025820E+02
9.37672960E+02 5.52791697E-08 +1.49384910E+02
9.37911700E+02 7.81691749E-08 +1.49098350E+02
9.38150550E+02 7.58327864E-08 +1.49191920E+02
9.38389530E+02 1.21378874E-07 +1.49440670E+02
9.38628620E+02 1.97634759E-07 +1.49230140E+02
9.38867840E+02 2.83723018E-07 +1.48860190E+02
9.39107180E+02 3.98030690E-07 +1.48617930E+02
9.39346650E+02 5.33413957E-07 +1.48555020E+02
9.39586230E+02 6.54683412E-07 +1.48522000E+02
9.39825940E+02 6.83543100E-07 +1.48389370E+02
9.40065770E+02 5.84146728E-07 +1.48089580E+02
9.40305720E+02 4.43769355E-07 +1.47567890E+02
9.40545800E+02 3.75067847E-07 +1.46932240E+02
9.40786000E+02 3.61061421E-07 +1.46516150E+02
9.41026320E+02 3.52953935E-07 +1.46445460E+02
9.41266760E+02 3.54211999E-07 +1.46557010E+02
9.41507330E+02 2.76712340E-07 +1.46573920E+02
9.41748010E+02 9.91463807E-09 +1.44113650E+02
9.41988830E+02 4.22149571E-07 +1.43138830E+02
9.42229760E+02 7.01716039E-07 +1.42816450E+02
9.42470820E+02 6.76269318E-07 +1.42343110E+02
9.42712000E+02 5.04483270E-07 +1.41572880E+02
9.42953310E+02 4.32643132E-07 +1.40717450E+02
9.43194740E+02 3.04893345E-07 +1.40343850E+02
9.43436290E+02 1.70160327E-07 +1.41448630E+02
9.43677970E+02 4.45608023E-07 +1.42062050E+02
9.43919770E+02 5.97072056E-07 +1.42117320E+02
9.44161690E+02 5.75089663E-07 +1.42320070E+02
9.44403740E+02 6.11354676E-07 +1.42547970E+02
9.44645910E+02 6.62705908E-07 +1.42316330E+02
9.44888210E+02 7.12116858E-07 +1.41629010E+02
9.45130630E+02 8.87255059E-07 +1.40995250E+02
9.45373180E+02 9.73044984E-07 +1.40769570E+02
9.45615850E+02 9.91528497E-07 +1.41005200E+02
9.45858640E+02 1.25966563E-06 +1.41381750E+02
9.46101560E+02 1.51942430E-06 +1.41623370E+02
9.46344600E+02 1.56389549E-06 +1.41954930E+02
9.46587770E+02 1.84241505E-06 +1.42407320E+02
9.46831070E+02 2.50224060E-06 +1.42611800E+02
9.47074490E+02 2.98087725E-06 +1.42536890E+02
9.47318030E+02 2.89832716E-06 +1.42285230E+02
9.47561700E+02 2.26736691E-06 +1.41896440E+02
9.47805500E+02 1.35832007E-06 +1.41314010E+02
9.48049420E+02 7.28575164E-07 +1.40084300E+02
9.48293460E+02 1.09843894E-06 +1.38817010E+02
9.48537630E+02 1.61657119E-06 +1.38290380E+02
9.48781930E+02 1.85293664E-06 +1.37961290E+02
9.49026350E+02 1.70712454E-06 +1.37694500E+02
9.49270900E+02 1.18017253E-06 +1.37447760E+02
9.49515580E+02 4.40695031E-07 +1.37153800E+02
9.49760380E+02 2.31816018E-07 +1.33889600E+02
9.50005310E+02 6.96728003E-07 +1.33266900E+02
9.50250360E+02 1.22280783E-06 +1.32628720E+02
9.50495540E+02 1.98982421E-06 +1.32180620E+02
9.50740850E+02 2.77796859E-06 +1.31904050E+02
9.50986290E+02 3.38209240E-06 +1.31698530E+02
9.51231850E+02 3.67143923E-06 +1.31484920E+02
9.51477530E+02 3.50890909E-06 +1.31201320E+02
9.51723350E+02 2.95487211E-06 +1.30810580E+02
9.51969290E+02 2.30606173E-06 +1.30389900E+02
9.52215360E+02 1.59673971E-06 +1.30310310E+02
9.52461550E+02 1.59658626E-06 +1.31098160E+02
9.52707880E+02 3.05276658E-06 +1.31482810E+02
9.52954330E+02 4.30696134E-06 +1.31556710E+02
9.53200910E+02 4.89519274E-06 +1.31640840E+02
9.53447610E+02 5.27405290E-06 +1.31745490E+02
9.53694440E+02 5.47533944E-06 +1.31757400E+02
9.53941410E+02 4.85449637E-06 +1.31638610E+02
9.54188500E+02 3.23212438E-06 +1.31419860E+02
9.54435710E+02 1.29231939E-06 +1.31090700E+02
9.54683060E+02 1.60433631E-07 +1.28770570E+02
9.54930530E+02 5.98569060E-07 +1.27469200E+02
9.55178130E+02 8.36982294E-07 +1.26745200E+02
9.55425860E+02 1.58532684E-06 +1.26305970E+02
9.55673720E+02 2.89420680E-06 +1.26101520E+02
9.55921710E+02 4.15934911E-06 +1.25895470E+02
9.56169830E+02 4.56129971E-06 +1.25590110E+02
9.56418070E+02 4.26375738E-06 +1.25048790E+02
9.56666450E+02 4.97742695E-06 +1.24321080E+02
9.56914950E+02 7.03628197E-06 +1.23828240E+02
9.57163580E+02 8.66851631E-06 +1.23515740E+02
9.57412340E+02 8.23010006E-06 +1.23215990E+02
9.57661240E+02 4.76491857E-06 +1.22741570E+02
9.57910260E+02 3.58887002E-06 +1.20473930E+02
9.58159410E+02 1.20735281E-05 +1.19757050E+02
9.58408680E+02 1.99621001E-05 +1.19454170E+02
9.58658090E+02 2.37721545E-05 +1.19212220E+02
9.58907630E+02 2.24211405E-05 +1.18986330E+02
9.59157300E+02 1.73960955E-05 +1.18752010E+02
9.59407100E+02 1.11422237E-05 +1.18474630E+02
9.59657030E+02 5.30301037E-06 +1.18056370E+02
9.59907090E+02 1.57093329E-06 +1.16422040E+02
9.60157280E+02 4.37592310E-06 +1.14932160E+02
9.60407600E+02 6.01472177E-06 +1.14415670E+02
9.60658050E+02 4.40448646E-06 +1.13774250E+02
9.60908630E+02 4.16670421E-06 +1.12089530E+02
9.61159340E+02 9.02466814E-06 +1.11486020E+02
9.61410190E+02 1.14182004E-05 +1.11608560E+02
9.61661160E+02 1.51923099E-05 +1.12103460E+02
9.61912270E+02 2.24624480E-05 +1.12292710E+02
9.62163500E+02 2.36802337E-05 +1.12122920E+02
9.62414870E+02 1.57656884E-05 +1.11527920E+02
9.62666370E+02 1.37001365E-05 +1.10025230E+02
9.62918000E+02 2.40130435E-05 +1.09071760E+02
9.63169760E+02 3.12568613E-05 +1.08489380E+02
9.63421660E+02 3.30112360E-05 +1.08019310E+02
9.63673680E+02 3.01346568E-05 +1.07673320E+02
9.63925840E+02 2.56523408E-05 +1.07486740E+02
9.64178130E+02 2.37779926E-05 +1.07430030E+02
9.64430550E+02 2.50270883E-05 +1.07386360E+02
9.64683100E+02 2.63547265E-05 +1.07364090E+02
9.64935790E+02 2.72469501E-05 +1.07454180E+02
9.65188610E+02 3.04371327E-05 +1.07573580E+02
9.65441560E+02 3.34801210E-05 +1.07521900E+02
9.65694640E+02 3.03308811E-05 +1.07246010E+02
9.65947860E+02 2.14889246E-05 +1.06689430E+02
9.66201210E+02 1.41254611E-05 +1.05806600E+02
9.66454690E+02 7.25774469E-06 +1.04835420E+02
9.66708310E+02 7.84871028E-06 +1.02138440E+02
9.66962050E+02 2.19476432E-05 +1.01548180E+02
9.67215930E+02 2.77222728E-05 +1.01379470E+02
9.67469950E+02 2.47918489E-05 +1.01641320E+02
9.67724100E+02 3.18633897E-05 +1.02252340E+02
9.67978380E+02 4.71792582E-05 +1.02475310E+02
9.68232800E+02 5.07660782E-05 +1.02587590E+02
9.68487340E+02 4.39806162E-05 +1.02972550E+02
9.68742030E+02 5.49889662E-05 +1.03535220E+02
9.68996840E+02 7.83526037E-05 +1.03628740E+02
9.69251800E+02 8.93033415E-05 +1.03421830E+02
9.69506880E+02 8.40603729E-05 +1.03073940E+02
9.69762100E+02 6.88212424E-05 +1.02694940E+02
9.70017460E+02 4.90293738E-05 +1.02446400E+02
9.70272940E+02 3.41532034E-05 +1.02599780E+02
9.70528570E+02 3.85239692E-05 +1.02919950E+02
9.70784330E+02 4.66214318E-05 +1.02805850E+02
9.71040220E+02 4.13309230E-05 +1.02361740E+02
9.71296250E+02 2.91636249E-05 +1.01381810E+02
9.71552410E+02 3.77699735E-05 +1.00043380E+02
9.71808710E+02 6.06527493E-05 +9.91872040E+01
9.72065140E+02 8.73895720E-05 +9.85515920E+01
9.72321710E+02 1.14543847E-04 +9.80855690E+01
9.72578410E+02 1.30368386E-04 +9.77694380E+01
9.72835250E+02 1.24516786E-04 +9.75633580E+01
9.73092230E+02 9.61551735E-05 +9.74546520E+01
9.73349340E+02 5.36119716E-05 +9.75490760E+01
9.73606590E+02 2.93607602E-05 +9.86816140E+01
9.73863970E+02 6.44363019E-05 +9.93403950E+01
9.74121490E+02 9.62397969E-05 +9.92866110E+01
9.74379140E+02 1.05859142E-04 +9.90528210E+01
9.74636930E+02 9.42307439E-05 +9.86676410E+01
9.74894860E+02 7.42554059E-05 +9.81022380E+01
9.75152930E+02 5.48209002E-05 +9.74109660E+01
9.75411130E+02 2.80760588E-05 +9.64355940E+01
9.75669470E+02 4.53718525E-05 +9.43049920E+01
9.75927940E+02 1.18074794E-04 +9.36962580E+01
9.76186550E+02 1.88372203E-04 +9.33621620E+01
9.76445300E+02 2.26197871E-04 +9.30608570E+01
9.76704190E+02 2.16257430E-04 +9.26979460E+01
9.76963210E+02 1.72119029E-04 +9.21406040E+01
9.77222370E+02 1.43321425E-04 +9.12401900E+01
9.77481670E+02 1.66501550E-04 +9.02641200E+01
9.77741110E+02 2.20420398E-04 +8.94432230E+01
9.78000680E+02 3.04150063E-04 +8.87479340E+01
9.78260390E+02 4.06365931E-04 +8.81998350E+01
9.78520240E+02 4.81639803E-04 +8.77400960E+01
9.78780230E+02 4.98966792E-04 +8.72657650E+01
9.79040360E+02 4.85553900E-04 +8.66852690E+01
9.79300620E+02 5.08880772E-04 +8.60265400E+01
9.79561030E+02 5.65843194E-04 +8.54353120E+01
9.79821570E+02 5.75813798E-04 +8.48979150E+01
9.80082250E+02 5.22142414E-04 +8.42355710E+01
9.80343070E+02 5.54291873E-04 +8.33500830E+01
9.80604020E+02 7.69672002E-04 +8.26281880E+01
9.80865120E+02 9.90546102E-04 +8.21475010E+01
9.81126350E+02 1.06208051E-03 +8.17273110E+01
9.81387730E+02 9.75259376E-04 +8.12269050E+01
9.81649240E+02 8.79280166E-04 +8.05468630E+01
9.81910900E+02 9.38822102E-04 +7.98108760E+01
9.82172690E+02 1.06083345E-03 +7.92203150E+01
9.82434620E+02 1.06613282E-03 +7.87084090E+01
9.82696700E+02 9.33853945E-04 +7.81148340E+01
9.82958910E+02 8.35977805E-04 +7.73109330E+01
9.83221260E+02 9.42641825E-04 +7.64695650E+01
9.83483750E+02 1.13895259E-03 +7.57876130E+01
9.83746380E+02 1.29448461E-03 +7.51776820E+01
9.84009160E+02 1.40858866E-03 +7.45673210E+01
9.84272070E+02 1.52263830E-03 +7.39426460E+01
