Wavelength	Intensity
7.000000000000E+2	8.000000000000E+0
7.001955034213E+2	9.000000000000E+0
7.003910068426E+2	8.000000000000E+0
7.005865102639E+2	4.000000000000E+0
7.007820136852E+2	6.000000000000E+0
7.009775171065E+2	8.000000000000E+0
7.011730205279E+2	1.000000000000E+1
7.013685239492E+2	1.000000000000E+1
7.015640273705E+2	8.000000000000E+0
7.017595307918E+2	4.000000000000E+0
7.019550342131E+2	7.000000000000E+0
7.021505376344E+2	7.000000000000E+0
7.023460410557E+2	7.000000000000E+0
7.025415444770E+2	7.000000000000E+0
7.027370478983E+2	6.000000000000E+0
7.029325513196E+2	6.000000000000E+0
7.031280547410E+2	5.000000000000E+0
7.033235581623E+2	8.000000000000E+0
7.035190615836E+2	7.000000000000E+0
7.037145650049E+2	8.000000000000E+0
7.039100684262E+2	1.000000000000E+1
7.041055718475E+2	1.300000000000E+1
7.043010752688E+2	6.000000000000E+0
7.044965786901E+2	6.000000000000E+0
7.046920821114E+2	6.000000000000E+0
7.048875855327E+2	6.000000000000E+0
7.050830889541E+2	7.000000000000E+0
7.052785923754E+2	7.000000000000E+0
7.054740957967E+2	9.000000000000E+0
7.056695992180E+2	4.000000000000E+0
7.058651026393E+2	4.000000000000E+0
7.060606060606E+2	6.000000000000E+0
7.062561094819E+2	7.000000000000E+0
7.064516129032E+2	1.000000000000E+1
7.066471163245E+2	9.000000000000E+0
7.068426197458E+2	1.100000000000E+1
7.070381231672E+2	9.000000000000E+0
7.072336265885E+2	6.000000000000E+0
7.074291300098E+2	8.000000000000E+0
7.076246334311E+2	6.000000000000E+0
7.078201368524E+2	8.000000000000E+0
7.080156402737E+2	4.000000000000E+0
7.082111436950E+2	7.000000000000E+0
7.084066471163E+2	1.000000000000E+1
7.086021505376E+2	6.000000000000E+0
7.087976539589E+2	7.000000000000E+0
7.089931573803E+2	8.000000000000E+0
7.091886608016E+2	4.000000000000E+0
7.093841642229E+2	6.000000000000E+0
7.095796676442E+2	8.000000000000E+0
7.097751710655E+2	6.000000000000E+0
7.099706744868E+2	7.000000000000E+0
7.101661779081E+2	8.000000000000E+0
7.103616813294E+2	4.000000000000E+0
7.105571847507E+2	9.000000000000E+0
7.107526881720E+2	1.000000000000E+1
7.109481915934E+2	8.000000000000E+0
7.111436950147E+2	8.000000000000E+0
7.113391984360E+2	1.000000000000E+1
7.115347018573E+2	3.000000000000E+0
7.117302052786E+2	9.000000000000E+0
7.119257086999E+2	1.200000000000E+1
7.121212121212E+2	9.000000000000E+0
7.123167155425E+2	8.000000000000E+0
7.125122189638E+2	4.000000000000E+0
7.127077223851E+2	1.100000000000E+1
7.129032258065E+2	8.000000000000E+0
7.130987292278E+2	7.000000000000E+0
7.132942326491E+2	2.000000000000E+0
7.134897360704E+2	6.000000000000E+0
7.136852394917E+2	6.000000000000E+0
7.138807429130E+2	7.000000000000E+0
7.140762463343E+2	1.000000000000E+1
7.142717497556E+2	6.000000000000E+0
7.144672531769E+2	5.000000000000E+0
7.146627565982E+2	3.000000000000E+0
7.148582600196E+2	7.000000000000E+0
7.150537634409E+2	5.000000000000E+0
7.152492668622E+2	6.000000000000E+0
7.154447702835E+2	6.000000000000E+0
7.156402737048E+2	9.000000000000E+0
7.158357771261E+2	4.000000000000E+0
7.160312805474E+2	5.000000000000E+0
7.162267839687E+2	4.000000000000E+0
7.164222873900E+2	5.000000000000E+0
7.166177908113E+2	9.000000000000E+0
7.168132942326E+2	8.000000000000E+0
7.170087976540E+2	1.000000000000E+1
7.172043010753E+2	8.000000000000E+0
7.173998044966E+2	8.000000000000E+0
7.175953079179E+2	1.000000000000E+1
7.177908113392E+2	6.000000000000E+0
7.179863147605E+2	9.000000000000E+0
7.181818181818E+2	7.000000000000E+0
7.183773216031E+2	1.000000000000E+1
