lambda_nm,T_pct,ppln_ar_rpct
600,43.77772887,56.22227113
601,44.85972943,55.14027057
602,45.77363743,54.22636257
603,46.35136032,53.64863968
604,46.51746037,53.48253963
605,46.72131465,53.27868535
606,47.59686835,52.40313165
607,49.66118817,50.33881183
608,52.47704994,47.52295006
609,55.1420317,44.8579683
610,56.81263089,43.18736911
611,57.3987233,42.6012767
612,57.31190987,42.68809013
613,56.96009238,43.03990762
614,56.50525454,43.49474546
615,55.8876582,44.1123418
616,55.03874376,44.96125624
617,53.86015196,46.13984804
618,52.21723516,47.78276484
619,49.97367508,50.02632492
620,47.03083934,52.96916066
621,43.35235683,56.64764317
622,38.90876882,61.09123118
623,33.91663678,66.08336322
624,29.15004287,70.84995713
625,25.45969644,74.54030356
626,23.28747609,76.71252391
627,21.78456694,78.21543306
628,19.8480711,80.1519289
629,16.71048294,83.28951706
630,13.09767472,86.90232528
631,10.15101396,89.84898604
632,8.79549049,91.20450951
633,8.58729562,91.41270438
634,8.54897526,91.45102474
635,7.80574497,92.19425503
636,6.43646315,93.56353685
637,5.03281292,94.96718708
638,4.15450568,95.84549432
639,3.84865852,96.15134148
640,3.7871236,96.2128764
641,3.64307867,96.35692133
642,3.31377313,96.68622687
643,2.91821443,97.08178557
644,2.58323151,97.41676849
645,2.36746571,97.63253429
646,2.23835239,97.76164761
647,2.15706804,97.84293196
648,2.09525527,97.90474473
649,2.0436018,97.9563982
650,1.99481884,98.00518116
651,1.94323348,98.05676652
652,1.88722438,98.11277562
653,1.82579515,98.17420485
654,1.76027454,98.23972546
655,1.70015234,98.29984766
656,1.6567078,98.3432922
657,1.63843782,98.36156218
658,1.64004214,98.35995786
659,1.65195173,98.34804827
660,1.66477772,98.33522228
661,1.67041554,98.32958446
662,1.66131482,98.33868518
663,1.63065195,98.36934805
664,1.57912522,98.42087478
665,1.51188922,98.48811078
666,1.43468737,98.56531263
667,1.36174866,98.63825134
668,1.3141264,98.6858736
669,1.3123425,98.6876575
670,1.35747799,98.64252201
671,1.42949487,98.57050513
672,1.50740537,98.49259463
673,1.57603262,98.42396738
674,1.6287426,98.3712574
675,1.65962116,98.34037884
676,1.66776444,98.33223556
677,1.66232299,98.33767701
678,1.65364555,98.34635445
679,1.64943672,98.35056328
680,1.6500543,98.3499457
681,1.6545904,98.3454096
682,1.661145,98.338855
683,1.66394336,98.33605664
684,1.65626491,98.34373509
685,1.63548338,98.36451662
686,1.62160491,98.37839509
687,1.64241263,98.35758737
688,1.72074582,98.27925418
689,1.84012756,98.15987244
690,1.9653333,98.0346667
691,2.06321861,97.93678139
692,2.12653162,97.87346838
693,2.16490214,97.83509786
694,2.18880495,97.81119505
695,2.21903067,97.78096933
696,2.28547938,97.71452062
697,2.41712476,97.58287524
698,2.60287545,97.39712455
699,2.78385784,97.21614216
700,2.89914676,97.10085324
701,2.9381699,97.0618301
702,2.97178431,97.02821569
703,3.0780456,96.9219544
704,3.2904057,96.7095943
705,3.54346866,96.45653134
706,3.75858645,96.24141355
707,3.89492674,96.10507326
708,4.02827739,95.97172261
709,4.25683587,95.74316413
710,4.64739632,95.35260368
711,5.1302294,94.8697706
712,5.59851455,94.40148545
713,5.96418827,94.03581173
714,6.25493662,93.74506338
715,6.54255368,93.45744632
716,6.89426723,93.10573277
717,7.33571945,92.66428055
718,7.87067103,92.12932897
719,8.49994801,91.50005199
720,9.1874728,90.8125272
721,9.87071318,90.12928682
722,10.49301079,89.50698921
723,11.13807155,88.86192845
724,12.02566255,87.97433745
725,13.373794,86.626206
726,15.10951012,84.89048988
727,16.77874014,83.22125986
728,17.90622112,82.09377888
729,18.43097476,81.56902524
