lambda_nm,T
193,0.005696437
194,0.030979617
195,0.055304168
196,0.077886426
197,0.097942727
198,0.114689406
199,0.1273428
200,0.135269419
201,0.138955073
202,0.139390947
203,0.137570694
204,0.134487964
205,0.131136409
206,0.128498915
207,0.127059723
208,0.126604699
209,0.126867572
210,0.127582072
211,0.128481928
212,0.129300869
213,0.129820213
214,0.130045437
215,0.130047965
216,0.129899229
217,0.129670658
218,0.129433686
219,0.129257617
220,0.129167097
221,0.129144348
222,0.129169917
223,0.129224346
224,0.129288182
225,0.129341972
226,0.129371888
227,0.129381113
228,0.129376038
229,0.129363051
230,0.129348542
231,0.129338902
232,0.129339898
233,0.129350122
234,0.129363545
235,0.129374066
236,0.12937558
237,0.129361985
238,0.129327235
239,0.129272759
240,0.12921483
241,0.12917147
242,0.129160701
243,0.129200548
244,0.129309031
245,0.129496563
246,0.129720127
247,0.129913822
248,0.13001166
249,0.129947654
250,0.129655815
251,0.129073245
252,0.128264376
253,0.12746335
254,0.126916098
255,0.126868546
256,0.127566625
257,0.129256261
258,0.132009452
259,0.135123876
260,0.137681814
261,0.138765541
262,0.13745733
263,0.132839453
264,0.124335487
265,0.117964178
266,0.125709586
267,0.159770697
268,0.2323465
269,0.355635983
270,0.541832194
271,0.79741812
272,1.112521377
273,1.47435978
274,1.870151145
275,2.287113287
276,2.712464022
277,3.137474422
278,3.597270077
279,4.153793056
280,4.869370469
281,5.806329427
282,7.026997041
283,8.593221413
284,10.5146405
285,12.7024467
286,15.0569233
287,17.47835362
288,19.86702096
289,22.12320862
290,24.16133581
291,25.9893364
292,27.65312351
293,29.19871959
294,30.6721471
295,32.11942846
296,33.58614419
297,35.10157398
298,36.67431773
299,38.311642
300,40.02081336
301,41.8090984
302,43.68376367
303,45.64963173
304,47.70124101
305,49.83042532
306,52.02901851
307,54.28885439
308,56.60176679
309,58.95853506
310,61.33114184
311,63.67538194
312,65.9465211
313,68.09982506
314,70.09055956
315,71.87401932
316,73.42391044
317,74.763882
318,75.92597001
319,76.9422105
320,77.84463946
321,78.66529293
322,79.43447294
323,80.16491708
324,80.85915199
325,81.5195781
326,82.14859581
327,82.74860553
328,83.32199642
329,83.87012284
330,84.39248525
331,84.88839136
332,85.35714891
333,85.79806559
334,86.21044913
335,86.59371724
336,86.94797394
337,87.2735874
338,87.57092632
339,87.84035945
340,88.08225549
341,88.29704448
342,88.4871902
343,88.65761267
344,88.81337863
345,88.95955479
346,89.1012079
347,89.24340467
348,89.38984511
349,89.53879303
350,89.68716081
351,89.83186083
352,89.96980548
353,90.09790713
354,90.21322218
355,90.31518107
356,90.40516075
357,90.48459563
358,90.5549201
359,90.61756859
360,90.67397483
361,90.72528115
362,90.77188088
363,90.8140487
364,90.85205927
365,90.88618726
366,90.91670733
367,90.94390155
368,90.96812228
369,90.98976071
370,91.00920842
371,91.02685702
372,91.04309808
373,91.05832629
374,91.07317644
375,91.08869232
376,91.10595756
377,91.12605579
378,91.15007062
379,91.17908568
380,91.21386531
381,91.25329446
382,91.29557268
383,91.33889856
384,91.38147066
385,91.42148756
386,91.4571786
387,91.48769639
388,91.51325503
389,91.53412728
390,91.55058588
391,91.56290356
392,91.57135308
393,91.57628473
394,91.57834045
395,91.5782307
396,91.57666592
397,91.57435659
398,91.57201317
399,91.57031454
400,91.56945725
401,91.56926139
402,91.56953703
403,91.57009428
404,91.57074322
405,91.57129413
406,91.57162017
407,91.57174763
408,91.57172569
409,91.57160354
410,91.57143034
411,91.57125529
