  wavelength    amplitude        phase
1.06707666E-06 2.13281516E-02 -1.70708598E+00
1.06695917E-06 2.43460406E-02 -7.93430463E-01
1.06684170E-06 2.93775460E-02 +5.32216459E-02
1.06672425E-06 3.01131865E-02 +5.63907169E-01
1.06660683E-06 1.70169572E-02 +9.66973838E-01
1.06648944E-06 6.45611411E-03 +2.56112073E+00
1.06637208E-06 1.02365132E-02 +3.15859898E+00
1.06625474E-06 5.85679005E-03 +2.23706196E+00
1.06613742E-06 1.17207481E-02 +5.37525711E-01
1.06602013E-06 2.26504587E-02 -1.42261413E-01
1.06590287E-06 2.59576101E-02 -5.42802345E-01
1.06578563E-06 9.89712021E-03 -1.17507341E+00
1.06566842E-06 2.62283375E-02 -3.53303164E+00
1.06555124E-06 4.97638957E-02 -3.70574955E+00
1.06543408E-06 4.09972371E-02 -3.79172311E+00
1.06531694E-06 7.37010802E-03 -4.86391477E+00
1.06519984E-06 3.44505719E-02 -6.52469989E+00
1.06508275E-06 3.77966560E-02 -6.47355583E+00
1.06496570E-06 1.22565248E-02 -5.64367523E+00
1.06484867E-06 2.94844662E-02 -3.81448723E+00
1.06473166E-06 3.59876892E-02 -3.54761323E+00
1.06461468E-06 1.48492255E-02 -3.03418975E+00
1.06449773E-06 2.00424049E-02 -9.75584179E-01
1.06438080E-06 2.89314246E-02 -8.22129312E-01
1.06426390E-06 1.55082987E-02 -1.29443360E+00
1.06414702E-06 2.11156230E-02 -2.86614575E+00
1.06403017E-06 3.47846159E-02 -3.03608207E+00
1.06391335E-06 3.16276558E-02 -2.77588947E+00
1.06379655E-06 2.27298966E-02 -2.03353091E+00
1.06367978E-06 2.24972168E-02 -1.11277666E+00
1.06356303E-06 2.12978475E-02 -5.10215751E-01
1.06344631E-06 1.32881911E-02 -1.56668070E-01
1.06332961E-06 4.92933592E-03 -1.19780135E+00
1.06321294E-06 1.22554921E-02 -1.84860805E+00
1.06309630E-06 6.16133569E-03 -1.34258913E+00
1.06297968E-06 2.07362598E-02 +1.24311145E+00
1.06286308E-06 4.59016307E-02 +1.53173597E+00
1.06274651E-06 4.42134048E-02 +1.79633884E+00
1.06262997E-06 1.48888062E-02 +2.74247085E+00
1.06251345E-06 3.56213207E-02 +4.64195946E+00
1.06239696E-06 4.50796176E-02 +4.98735558E+00
1.06228050E-06 1.70717174E-02 +5.54205906E+00
1.06216406E-06 2.99652244E-02 +7.97468389E+00
1.06204764E-06 4.78642106E-02 +8.28260611E+00
1.06193125E-06 2.99152373E-02 +8.64685392E+00
1.06181489E-06 1.64966077E-02 +1.03045759E+01
1.06169855E-06 2.64395618E-02 +1.09266083E+01
1.06158224E-06 1.36679415E-02 +1.05962367E+01
1.06146595E-06 2.08489380E-02 +8.90362184E+00
1.06134969E-06 3.35556442E-02 +8.77116135E+00
1.06123346E-06 2.21633438E-02 +8.84526156E+00
1.06111725E-06 4.09037635E-03 +6.11365417E+00
1.06100106E-06 2.22713631E-02 +6.18723186E+00
1.06088490E-06 1.85101852E-02 +6.57637627E+00
1.06076877E-06 5.16898225E-03 +8.84261297E+00
1.06065266E-06 2.56205024E-02 +1.01874035E+01
1.06053658E-06 3.77459940E-02 +1.07611001E+01
1.06042052E-06 2.99996862E-02 +1.13773137E+01
1.06030449E-06 1.57489042E-02 +1.30224395E+01
1.06018848E-06 3.48273581E-02 +1.42966967E+01
1.06007250E-06 3.44669500E-02 +1.48557995E+01
1.05995654E-06 1.55703063E-02 +1.65315404E+01
1.05984061E-06 4.98186022E-02 +1.77928459E+01
1.05972471E-06 6.35432380E-02 +1.80894015E+01
1.05960883E-06 3.73879472E-02 +1.82756921E+01
1.05949297E-06 4.10812567E-03 +1.84240956E+01
1.05937714E-06 6.39153118E-03 +1.87748598E+01
1.05926134E-06 4.57674122E-02 +1.88694907E+01
1.05914556E-06 7.73540079E-02 +1.90917540E+01
1.05902981E-06 6.06083277E-02 +1.94457878E+01
1.05891408E-06 1.63288604E-02 +2.07818124E+01
1.05879838E-06 3.52457551E-02 +2.29287440E+01
1.05868270E-06 5.14635594E-02 +2.42253317E+01
1.05856705E-06 8.57209686E-02 +2.52445499E+01
1.05845142E-06 8.77245113E-02 +2.60325079E+01
1.05833582E-06 7.31103287E-02 +2.74227468E+01
1.05822025E-06 1.17292781E-01 +2.85380625E+01
1.05810470E-06 1.11369331E-01 +2.92264833E+01
1.05798917E-06 6.73447548E-02 +3.05508807E+01
1.05787367E-06 1.03014852E-01 +3.18024736E+01
1.05775820E-06 8.66864108E-02 +3.23214821E+01
1.05764275E-06 1.19896229E-02 +3.38592822E+01
1.05752732E-06 5.85011580E-02 +3.58762717E+01
1.05741193E-06 5.05156133E-02 +3.67093273E+01
1.05729655E-06 5.87178973E-02 +3.81548876E+01
1.05718120E-06 6.93559975E-02 +3.87564096E+01
1.05706588E-06 3.30898341E-02 +3.90303642E+01
1.05695058E-06 9.72344698E-03 +3.74574135E+01
1.05683531E-06 2.84610520E-02 +3.81781674E+01
1.05672006E-06 6.64728927E-02 +3.89080205E+01
1.05660484E-06 8.78970771E-02 +3.92015095E+01
1.05648964E-06 6.84954007E-02 +3.92680941E+01
1.05637447E-06 3.88052387E-02 +3.90314510E+01
1.05625932E-06 3.17705141E-02 +3.92756881E+01
1.05614420E-06 6.69736486E-02 +4.00832482E+01
1.05602910E-06 1.12794458E-01 +4.04012868E+01
1.05591403E-06 1.04760871E-01 +4.06590662E+01
1.05579899E-06 5.13151525E-02 +4.14232420E+01
1.05568396E-06 7.06965929E-02 +4.27218079E+01
1.05556897E-06 9.14941152E-02 +4.27730536E+01
1.05545400E-06 8.71171591E-02 +4.23590421E+01
1.05533905E-06 8.41247959E-02 +4.20227806E+01
1.05522413E-06 6.27858489E-02 +4.22793757E+01
1.05510923E-06 7.30440847E-02 +4.32008559E+01
1.05499436E-06 1.19615746E-01 +4.34631964E+01
1.05487952E-06 1.43618988E-01 +4.34162103E+01
1.05476470E-06 1.30323706E-01 +4.34337625E+01
1.05464990E-06 9.33204543E-02 +4.38859336E+01
1.05453513E-06 1.02230687E-01 +4.47309380E+01
1.05442038E-06 1.24427806E-01 +4.50523377E+01
1.05430566E-06 1.07292445E-01 +4.50223993E+01
1.05419097E-06 8.94753813E-02 +4.48150604E+01
1.05407630E-06 1.02944558E-01 +4.49100692E+01
1.05396165E-06 1.42406555E-01 +4.52621433E+01
1.05384703E-06 1.78955781E-01 +4.55391570E+01
1.05373243E-06 1.83438045E-01 +4.57263500E+01
1.05361786E-06 1.70458267E-01 +4.58798627E+01
1.05350332E-06 1.74215554E-01 +4.60536645E+01
1.05338880E-06 2.02104981E-01 +4.62490269E+01
1.05327430E-06 2.27324113E-01 +4.64309197E+01
1.05315983E-06 2.25227753E-01 +4.65890536E+01
1.05304538E-06 2.04323130E-01 +4.67325737E+01
1.05293096E-06 1.94473275E-01 +4.68930604E+01
1.05281656E-06 2.11962354E-01 +4.70959330E+01
1.05270219E-06 2.42459177E-01 +4.73162494E+01
1.05258785E-06 2.57107253E-01 +4.75312544E+01
1.05247353E-06 2.45066920E-01 +4.77466182E+01
1.05235923E-06 2.27020856E-01 +4.79721595E+01
1.05224496E-06 2.31607206E-01 +4.81796846E+01
1.05213071E-06 2.59415634E-01 +4.83302494E+01
1.05201649E-06 2.84521229E-01 +4.84475377E+01
1.05190229E-06 2.92554517E-01 +4.85668557E+01
1.05178812E-06 3.01392196E-01 +4.86837115E+01
1.05167397E-06 3.35081086E-01 +4.87709619E+01
1.05155985E-06 3.89649837E-01 +4.88383784E+01
1.05144575E-06 4.36065624E-01 +4.89158608E+01
1.05133167E-06 4.56628255E-01 +4.90099841E+01
1.05121763E-06 4.70637053E-01 +4.91061742E+01
1.05110360E-06 5.14779887E-01 +4.91880874E+01
1.05098960E-06 5.97443196E-01 +4.92622736E+01
1.05087563E-06 6.82786643E-01 +4.93530066E+01
1.05076168E-06 7.32563253E-01 +4.94777092E+01
1.05064775E-06 7.53902492E-01 +4.96296191E+01
1.05053385E-06 7.82831824E-01 +4.97706614E+01
1.05041998E-06 8.33508084E-01 +4.98714960E+01
1.05030613E-06 8.90290197E-01 +4.99500689E+01
1.05019230E-06 9.35342772E-01 +5.00391882E+01
1.05007850E-06 9.72482536E-01 +5.01468402E+01
1.04996473E-06 1.02042893E+00 +5.02544438E+01
1.04985097E-06 1.08433920E+00 +5.03441022E+01
1.04973725E-06 1.14607676E+00 +5.04201610E+01
1.04962354E-06 1.18465559E+00 +5.04972693E+01
1.04950987E-06 1.20118380E+00 +5.05782938E+01
1.04939621E-06 1.21748995E+00 +5.06496445E+01
1.04928258E-06 1.25208094E+00 +5.06978415E+01
1.04916898E-06 1.30493094E+00 +5.07263056E+01
1.04905540E-06 1.36402703E+00 +5.07486988E+01
1.04894185E-06 1.42391909E+00 +5.07723337E+01
1.04882832E-06 1.49380835E+00 +5.07949277E+01
1.04871481E-06 1.58337759E+00 +5.08132194E+01
1.04860133E-06 1.68661608E+00 +5.08285881E+01
1.04848788E-06 1.78728823E+00 +5.08442503E+01
1.04837444E-06 1.88070142E+00 +5.08620831E+01
1.04826104E-06 1.98350672E+00 +5.08830594E+01
1.04814765E-06 2.11476092E+00 +5.09072317E+01
1.04803430E-06 2.27154227E+00 +5.09324437E+01
1.04792096E-06 2.43371773E+00 +5.09558244E+01
1.04780766E-06 2.59017788E+00 +5.09772328E+01
1.04769437E-06 2.74862186E+00 +5.09999357E+01
1.04758111E-06 2.91637066E+00 +5.10262148E+01
1.04746788E-06 3.08065925E+00 +5.10525186E+01
1.04735467E-06 3.21798304E+00 +5.10718484E+01
1.04724148E-06 3.32159368E+00 +5.10808145E+01
1.04712832E-06 3.40891954E+00 +5.10834519E+01
1.04701518E-06 3.49571283E+00 +5.10879250E+01
1.04690207E-06 3.56911323E+00 +5.10978327E+01
1.04678898E-06 3.59654340E+00 +5.11083278E+01
1.04667592E-06 3.56256384E+00 +5.11125407E+01
1.04656288E-06 3.48782172E+00 +5.11099367E+01
1.04644986E-06 3.40602956E+00 +5.11072011E+01
1.04633687E-06 3.33160665E+00 +5.11098385E+01
1.04622391E-06 3.25590308E+00 +5.11143831E+01
1.04611097E-06 3.16943288E+00 +5.11123915E+01
1.04599805E-06 3.08299374E+00 +5.10991396E+01
1.04588516E-06 3.01739954E+00 +5.10737659E+01
1.04577229E-06 2.97254686E+00 +5.10330643E+01
1.04565944E-06 2.92407749E+00 +5.09700143E+01
1.04554663E-06 2.85181780E+00 +5.08792075E+01
1.04543383E-06 2.75413624E+00 +5.07619828E+01
1.04532106E-06 2.63411701E+00 +5.06244495E+01
1.04520831E-06 2.49345917E+00 +5.04703578E+01
1.04509559E-06 2.34449294E+00 +5.03019824E+01
1.04498289E-06 2.20368501E+00 +5.01320127E+01
1.04487022E-06 2.06462824E+00 +4.99857083E+01
1.04475757E-06 1.90566557E+00 +4.98840664E+01
1.04464495E-06 1.73450282E+00 +4.98342251E+01
1.04453235E-06 1.60242676E+00 +4.98366387E+01
1.04441977E-06 1.57018293E+00 +4.98858756E+01
1.04430722E-06 1.66633135E+00 +4.99580952E+01
1.04419469E-06 1.87160305E+00 +5.00156082E+01
1.04408219E-06 2.13369839E+00 +5.00322719E+01
1.04396971E-06 2.39442708E+00 +5.00060387E+01
1.04385726E-06 2.60480433E+00 +4.99534356E+01
1.04374483E-06 2.72262472E+00 +4.98982391E+01
1.04363242E-06 2.71592716E+00 +4.98641401E+01
1.04352004E-06 2.58762143E+00 +4.98759638E+01
1.04340768E-06 2.40378893E+00 +4.99628748E+01
1.04329535E-06 2.30891839E+00 +5.01423539E+01
1.04318304E-06 2.48649452E+00 +5.03648494E+01
1.04307075E-06 3.01146242E+00 +5.05198554E+01
1.04295849E-06 3.79254873E+00 +5.05602364E+01
1.04284626E-06 4.68636102E+00 +5.05117986E+01
1.04273404E-06 5.56217711E+00 +5.04111462E+01
1.04262186E-06 6.30657200E+00 +5.02832656E+01
1.04250969E-06 6.82920679E+00 +5.01418650E+01
1.04239755E-06 7.06773888E+00 +4.99937904E+01
1.04228544E-06 6.98464461E+00 +4.98424695E+01
1.04217335E-06 6.57058190E+00 +4.96903635E+01
1.04206128E-06 5.85646550E+00 +4.95422433E+01
1.04194924E-06 4.91319175E+00 +4.94107997E+01
