Wavelength,Phase
1005,-320.6638289
1005.008254,-320.6638289
1005.016508,-320.6638289
1005.024762,-320.6638289
1005.033016,-320.6638289
1005.04127,-320.6638289
1005.049524,-320.6638289
1005.057778,-318.7696362
1005.066032,-318.7696362
1005.074286,-318.7696362
1005.08254,-318.7696362
1005.090794,-318.7696362
1005.099048,-318.7696362
1005.107302,-318.7696362
1005.115556,-318.7696362
1005.12381,-318.7696362
1005.132064,-318.7696362
1005.140318,-318.7696362
1005.148572,-316.8754434
1005.156826,-316.8754434
1005.16508,-316.8754434
1005.173334,-316.8754434
1005.181588,-316.8754434
1005.189842,-316.8754434
1005.198096,-316.8754434
1005.20635,-316.8754434
1005.214604,-316.8754434
1005.222858,-316.8754434
1005.231112,-314.9812506
1005.239366,-314.9812506
1005.24762,-314.9812506
1005.255874,-314.9812506
1005.264128,-314.9812506
1005.272382,-314.9812506
1005.280636,-314.9812506
1005.28889,-314.9812506
1005.297144,-314.9812506
1005.305398,-314.9812506
1005.313652,-313.7184555
1005.321906,-313.7184555
1005.33016,-313.7184555
1005.338414,-313.7184555
1005.346668,-313.7184555
1005.354922,-313.7184555
1005.363176,-313.7184555
1005.37143,-313.7184555
1005.379684,-313.7184555
1005.387938,-313.7184555
1005.396192,-311.8242627
1005.404446,-311.8242627
1005.4127,-311.8242627
1005.420954,-311.8242627
1005.429208,-311.8242627
1005.437462,-311.8242627
1005.445716,-311.8242627
1005.45397,-311.8242627
1005.462224,-311.8242627
1005.470478,-311.8242627
1005.478732,-309.9300699
1005.486986,-309.9300699
1005.49524,-309.9300699
1005.503494,-309.9300699
1005.511748,-309.9300699
1005.520002,-309.9300699
1005.528256,-309.9300699
1005.53651,-309.9300699
1005.544764,-309.9300699
1005.553018,-309.9300699
1005.561272,-308.0358772
1005.569526,-308.0358772
1005.57778,-308.0358772
1005.586034,-308.0358772
1005.594288,-308.0358772
1005.602542,-308.0358772
1005.610796,-308.0358772
1005.61905,-308.0358772
1005.627304,-308.0358772
1005.635558,-308.0358772
1005.643812,-308.0358772
1005.652066,-306.1416844
1005.66032,-306.1416844
1005.668574,-306.1416844
1005.676828,-306.1416844
1005.685082,-306.1416844
1005.693336,-306.1416844
1005.70159,-306.1416844
1005.709844,-306.1416844
1005.718098,-306.1416844
1005.726352,-306.1416844
1005.734606,-304.8788892
1005.74286,-304.8788892
1005.751114,-304.8788892
1005.759368,-304.8788892
1005.767622,-304.8788892
1005.775876,-304.8788892
1005.78413,-304.8788892
1005.792384,-304.8788892
1005.800638,-304.8788892
1005.808892,-304.8788892
1005.817146,-303.6160941
1005.8254,-303.6160941
1005.833654,-303.6160941
1005.841908,-303.6160941
1005.850162,-303.6160941
1005.858416,-303.6160941
1005.86667,-303.6160941
1005.874924,-303.6160941
1005.883178,-303.6160941
1005.891432,-303.6160941
1005.899686,-301.0905037
1005.90794,-301.0905037
1005.916194,-301.0905037
1005.924448,-301.0905037
1005.932702,-301.0905037
1005.940956,-301.0905037
1005.94921,-301.0905037
1005.957464,-301.0905037
1005.965718,-301.0905037
1005.973972,-301.0905037
1005.982226,-299.8277085
1005.99048,-299.8277085
1005.998734,-299.8277085
1006.006988,-299.8277085
1006.015242,-299.8277085
1006.023496,-299.8277085
1006.03175,-299.8277085
1006.040004,-299.8277085
1006.048258,-299.8277085
1006.056512,-299.8277085
1006.064766,-299.8277085
1006.07302,-298.5649133
1006.081274,-298.5649133
1006.089528,-298.5649133
1006.097782,-298.5649133
1006.106036,-298.5649133
1006.11429,-298.5649133
1006.122544,-298.5649133
1006.130798,-298.5649133
1006.139052,-298.5649133
1006.147306,-298.5649133
1006.15556,-296.039323
1006.163814,-296.039323
1006.172068,-296.039323
1006.180322,-296.039323
1006.188576,-296.039323
1006.19683,-296.039323
1006.205084,-296.039323
1006.213338,-296.039323
1006.221592,-296.039323
