  wavelength    amplitude
7.00000000E+02 2.82842712E+00
7.00195503E+02 3.00000000E+00
7.00391007E+02 2.82842712E+00
7.00586510E+02 2.00000000E+00
7.00782014E+02 2.44948974E+00
7.00977517E+02 2.82842712E+00
7.01173021E+02 3.16227766E+00
7.01368524E+02 3.16227766E+00
7.01564027E+02 2.82842712E+00
7.01759531E+02 2.00000000E+00
7.01955034E+02 2.64575131E+00
7.02150538E+02 2.64575131E+00
7.02346041E+02 2.64575131E+00
7.02541544E+02 2.64575131E+00
7.02737048E+02 2.44948974E+00
7.02932551E+02 2.44948974E+00
7.03128055E+02 2.23606798E+00
7.03323558E+02 2.82842712E+00
7.03519062E+02 2.64575131E+00
7.03714565E+02 2.82842712E+00
7.03910068E+02 3.16227766E+00
7.04105572E+02 3.60555128E+00
7.04301075E+02 2.44948974E+00
7.04496579E+02 2.44948974E+00
7.04692082E+02 2.44948974E+00
7.04887586E+02 2.44948974E+00
7.05083089E+02 2.64575131E+00
7.05278592E+02 2.64575131E+00
7.05474096E+02 3.00000000E+00
7.05669599E+02 2.00000000E+00
7.05865103E+02 2.00000000E+00
7.06060606E+02 2.44948974E+00
7.06256109E+02 2.64575131E+00
7.06451613E+02 3.16227766E+00
7.06647116E+02 3.00000000E+00
7.06842620E+02 3.31662479E+00
7.07038123E+02 3.00000000E+00
7.07233627E+02 2.44948974E+00
7.07429130E+02 2.82842712E+00
7.07624633E+02 2.44948974E+00
7.07820137E+02 2.82842712E+00
7.08015640E+02 2.00000000E+00
7.08211144E+02 2.64575131E+00
7.08406647E+02 3.16227766E+00
7.08602151E+02 2.44948974E+00
7.08797654E+02 2.64575131E+00
7.08993157E+02 2.82842712E+00
7.09188661E+02 2.00000000E+00
7.09384164E+02 2.44948974E+00
7.09579668E+02 2.82842712E+00
7.09775171E+02 2.44948974E+00
7.09970674E+02 2.64575131E+00
7.10166178E+02 2.82842712E+00
7.10361681E+02 2.00000000E+00
7.10557185E+02 3.00000000E+00
7.10752688E+02 3.16227766E+00
7.10948192E+02 2.82842712E+00
7.11143695E+02 2.82842712E+00
7.11339198E+02 3.16227766E+00
7.11534702E+02 1.73205081E+00
7.11730205E+02 3.00000000E+00
7.11925709E+02 3.46410162E+00
7.12121212E+02 3.00000000E+00
7.12316716E+02 2.82842712E+00
7.12512219E+02 2.00000000E+00
7.12707722E+02 3.31662479E+00
7.12903226E+02 2.82842712E+00
7.13098729E+02 2.64575131E+00
7.13294233E+02 1.41421356E+00
7.13489736E+02 2.44948974E+00
7.13685239E+02 2.44948974E+00
7.13880743E+02 2.64575131E+00
7.14076246E+02 3.16227766E+00
7.14271750E+02 2.44948974E+00
7.14467253E+02 2.23606798E+00
7.14662757E+02 1.73205081E+00
7.14858260E+02 2.64575131E+00
7.15053763E+02 2.23606798E+00
7.15249267E+02 2.44948974E+00
7.15444770E+02 2.44948974E+00
7.15640274E+02 3.00000000E+00
7.15835777E+02 2.00000000E+00
7.16031281E+02 2.23606798E+00
7.16226784E+02 2.00000000E+00
7.16422287E+02 2.23606798E+00
7.16617791E+02 3.00000000E+00
7.16813294E+02 2.82842712E+00
7.17008798E+02 3.16227766E+00
7.17204301E+02 2.82842712E+00
7.17399804E+02 2.82842712E+00
7.17595308E+02 3.16227766E+00
7.17790811E+02 2.44948974E+00
7.17986315E+02 3.00000000E+00
7.18181818E+02 2.64575131E+00
7.18377322E+02 3.16227766E+00
7.18572825E+02 2.82842712E+00
7.18768328E+02 3.87298335E+00
7.18963832E+02 2.64575131E+00
7.19159335E+02 2.82842712E+00
7.19354839E+02 3.00000000E+00
7.19550342E+02 2.82842712E+00
7.19745846E+02 2.82842712E+00
7.19941349E+02 2.44948974E+00
7.20136852E+02 2.44948974E+00
7.20332356E+02 2.82842712E+00
7.20527859E+02 2.00000000E+00
7.20723363E+02 2.64575131E+00
7.20918866E+02 2.82842712E+00
7.21114370E+02 2.82842712E+00
7.21309873E+02 2.82842712E+00
7.21505376E+02 2.82842712E+00
7.21700880E+02 3.46410162E+00
7.21896383E+02 3.31662479E+00
7.22091887E+02 2.82842712E+00
7.22287390E+02 2.44948974E+00
7.22482893E+02 2.82842712E+00
7.22678397E+02 2.44948974E+00
7.22873900E+02 3.46410162E+00
7.23069404E+02 3.00000000E+00
7.23264907E+02 2.82842712E+00
7.23460411E+02 3.16227766E+00
7.23655914E+02 2.44948974E+00
7.23851417E+02 2.82842712E+00
7.24046921E+02 2.44948974E+00
7.24242424E+02 3.00000000E+00
7.24437928E+02 3.16227766E+00
7.24633431E+02 2.44948974E+00
7.24828935E+02 2.64575131E+00
7.25024438E+02 2.44948974E+00
7.25219941E+02 2.44948974E+00
7.25415445E+02 2.82842712E+00
7.25610948E+02 2.82842712E+00
7.25806452E+02 2.44948974E+00
7.26001955E+02 2.44948974E+00
7.26197458E+02 2.23606798E+00
7.26392962E+02 2.82842712E+00
7.26588465E+02 2.64575131E+00
7.26783969E+02 3.16227766E+00
7.26979472E+02 3.16227766E+00
7.27174976E+02 3.16227766E+00
7.27370479E+02 3.16227766E+00
7.27565982E+02 3.16227766E+00
7.27761486E+02 2.82842712E+00
7.27956989E+02 2.82842712E+00
7.28152493E+02 2.44948974E+00
7.28347996E+02 2.82842712E+00
7.28543500E+02 2.44948974E+00
7.28739003E+02 3.16227766E+00
7.28934506E+02 2.44948974E+00
7.29130010E+02 2.23606798E+00
7.29325513E+02 1.73205081E+00
7.29521017E+02 2.82842712E+00
7.29716520E+02 2.44948974E+00
7.29912023E+02 2.82842712E+00
7.30107527E+02 3.00000000E+00
7.30303030E+02 2.44948974E+00
7.30498534E+02 3.16227766E+00
7.30694037E+02 2.64575131E+00
7.30889541E+02 2.44948974E+00
7.31085044E+02 3.31662479E+00
7.31280547E+02 2.64575131E+00
7.31476051E+02 3.00000000E+00
7.31671554E+02 3.74165739E+00
7.31867058E+02 3.16227766E+00
7.32062561E+02 3.00000000E+00
7.32258065E+02 3.00000000E+00
7.32453568E+02 2.82842712E+00
7.32649071E+02 2.64575131E+00
7.32844575E+02 3.00000000E+00
7.33040078E+02 2.82842712E+00
7.33235582E+02 3.87298335E+00
7.33431085E+02 3.16227766E+00
7.33626588E+02 3.87298335E+00
7.33822092E+02 5.19615242E+00
7.34017595E+02 5.38516481E+00
7.34213099E+02 5.19615242E+00
7.34408602E+02 4.00000000E+00
7.34604106E+02 3.74165739E+00
7.34799609E+02 3.16227766E+00
7.34995112E+02 4.00000000E+00
7.35190616E+02 3.74165739E+00
7.35386119E+02 4.24264069E+00
7.35581623E+02 3.31662479E+00
7.35777126E+02 3.46410162E+00
7.35972630E+02 3.60555128E+00
7.36168133E+02 3.87298335E+00
7.36363636E+02 2.64575131E+00
7.36559140E+02 3.46410162E+00
7.36754643E+02 3.31662479E+00
7.36950147E+02 3.74165739E+00
7.37145650E+02 2.64575131E+00
7.37341153E+02 3.60555128E+00
7.37536657E+02 4.00000000E+00
7.37732160E+02 3.46410162E+00
