lambda_nm,Tpct,T
719.0451704,0.2713623,0.002713623
726.6815082,0.3820528,0.003820528
733.8826126,1.1648194,0.011648194
738.9607492,2.0256107,0.020256107
744.5005628,0.5827454,0.005827454
752.1462336,0.117584,0.00117584
759.7853712,0.0555189,0.000555189
767.4235756,0.0510391,0.000510391
775.0617799,0.0465592,0.000465592
782.699362,0.0804694,0.000804694
790.3332109,0.3447204,0.003447204
797.9602155,1.0312628,0.010312628
805.6002865,0.9116126,0.009116126
813.2440907,0.5616215,0.005616215
820.882295,0.5571417,0.005571417
828.5161439,0.8213927,0.008213927
836.1487483,1.1624239,0.011624239
843.7922414,0.831628,0.00831628
851.4363567,0.4624419,0.004624419
859.0779832,0.2468163,0.002468163
866.7164986,0.2231413,0.002231413
874.354703,0.2186614,0.002186614
881.9916629,0.2909618,0.002909618
889.6258229,0.5360178,0.005360178
897.2553163,1.0689997,0.010689997
904.8751655,2.1970285,0.021970285
908.7979273,3.6535388,0.036535388
912.0760833,5.609494,0.05609494
914.5878056,7.7271358,0.077271358
915.8939722,9.6093875,0.096093875
917.1366737,11.4801596,0.114801596
918.3020038,14.1974713,0.141974713
916.7978823,12.7472205,0.127472205
919.5819444,17.697867,0.17697867
918.6514349,16.201212,0.16201212
920.727115,21.6590189,0.216590189
919.8610039,20.1162584,0.201162584
919.243153,18.9649279,0.189649279
921.9139113,26.9791439,0.269791439
921.6890459,25.1442451,0.251442451
921.0761727,23.6857936,0.236857936
923.0876412,33.1054616,0.331054616
923.1845187,31.0553915,0.310553915
922.250276,29.7890773,0.297890773
921.6286919,28.8680875,0.288680875
924.2412117,40.4756195,0.404756195
924.0167196,38.6176866,0.386176866
924.0384969,37.2740322,0.372740322
923.4243793,35.8923609,0.358923609
922.8046618,34.8562008,0.348562008
925.3746226,49.0896175,0.490896175
925.1491351,47.2931088,0.472931088
925.1709123,45.9494544,0.459494544
924.5555503,44.6445634,0.446445634
924.5779497,43.2625188,0.432625188
923.954499,42.4566994,0.424566994
926.4856342,59.0856601,0.590856601
926.2603955,57.2737954,0.572737954
926.2827949,55.8917508,0.558917508
926.3039499,54.5864865,0.545864865
925.6904545,53.1664251,0.531664251
925.712854,51.7843805,0.517843805
925.0894033,50.9785611,0.509785611
927.6175518,67.7917944,0.677917944
927.3928109,65.9492176,0.659492176
927.4152104,64.567173,0.64567173
927.4344987,63.377079,0.63377079
926.8234922,61.8034571,0.618034571
926.2019081,60.8824674,0.608824674
928.7517094,76.3597242,0.763597242
928.5264708,74.5478595,0.745478595
928.5470036,73.2809853,0.732809853
927.9322638,71.9377042,0.719377042
927.9546632,70.5556596,0.705556596
927.3330791,69.6346699,0.696346699
929.965945,83.9141174,0.839141174
929.6738192,82.3019187,0.823019187
929.0559683,81.1505882,0.811505882
929.0783677,79.7685436,0.797685436
929.1007672,78.386499,0.78386499
931.0857297,89.4415865,0.894415865
930.8584999,87.7525702,0.877525702
930.2450045,86.3325088,0.863325088
929.6252871,85.2963486,0.852963486
931.6825171,92.9107112,0.929107112
930.7534853,91.3228797,0.913228797
933.9334434,94.3921956,0.943921956
938.4245283,92.2013451,0.922013451
939.0853114,90.7037568,0.907037568
939.4311025,89.004807,0.89004807
941.04775,87.439476,0.87439476
942.3438057,86.0182946,0.860182946
947.2715017,84.9404911,0.849404911
952.5140785,86.8760993,0.868760993
955.2318755,89.3698398,0.893698398
957.7378113,91.8445098,0.918445098
960.0343747,94.1465486,0.941465486
963.0504575,96.5633347,0.965633347
965.3808378,98.087961,0.98087961
970.7696108,99.4188446,0.994188446
978.4187038,98.7425375,0.987425375
986.0727744,97.7591094,0.977591094
993.7066233,98.0233604,0.980233604
1001.330828,98.8826584,0.988826584
1008.959699,99.4540304,0.994540304
1016.601948,99.2000147,0.992000147
1024.25073,98.5429026,0.985429026
1031.896089,98.0969363,0.980969363
1039.532427,98.2076268,0.982076268
1047.161609,98.7598037,0.987598037
1054.79017,99.3503708,0.993503708
1062.424018,99.6146218,0.996146218
1070.062845,99.5717518,0.995717518
1077.706027,99.2601509,0.992601509
1085.348587,98.9869401,0.989869401
1092.988035,98.90568,0.9890568
1100.623129,99.0931508,0.990931508
1108.256978,99.3574018,0.993574018
