lambda_nm,sapph_T,sapph_ar_rpct
751,90.42272026,9.577279738
752,90.82666484,9.173335164
753,91.26920984,8.730790158
754,91.73098335,8.269016647
755,92.15740541,7.842594588
756,92.53517792,7.464822082
757,92.96191132,7.038088681
758,93.3848172,6.615182803
759,93.73172047,6.268279531
760,94.08985561,5.910144391
761,94.46818232,5.531817676
762,94.85451645,5.14548355
763,95.20454918,4.795450824
764,95.50728208,4.492717916
765,95.77902157,4.220978429
766,96.08888655,3.911113451
767,96.41091684,3.589083157
768,96.66831939,3.331680613
769,96.90443023,3.09556977
770,97.15522837,2.844771626
771,97.40886905,2.591130952
772,97.63994056,2.360059442
773,97.83312211,2.16687789
774,98.01877228,1.981227716
775,98.18218377,1.817816228
776,98.33267175,1.667328255
777,98.49125043,1.508749569
778,98.64398008,1.35601992
779,98.7692564,1.2307436
780,98.87485678,1.125143216
781,98.96538425,1.034615749
782,99.07392458,0.926075416
783,99.14731205,0.852687946
784,99.2078935,0.7921065
785,99.25739749,0.74260251
786,99.29621366,0.703786345
787,99.31749017,0.68250983
788,99.3325953,0.667404698
789,99.348377,0.651623
790,99.35246916,0.647530844
791,99.34540819,0.654591809
792,99.32319078,0.676809221
793,99.29028789,0.709712112
794,99.25156845,0.748431551
795,99.21199531,0.788004695
796,99.16404979,0.835950213
797,99.10645879,0.893541211
798,99.02933139,0.970668608
799,98.93718385,1.062816153
800,98.83950354,1.160496463
801,98.74577785,1.254222154
802,98.66549416,1.334505843
803,98.58754661,1.412453391
804,98.4875437,1.512456299
805,98.38956153,1.610438473
806,98.28117655,1.718823454
807,98.15874837,1.841251627
808,98.03540588,1.964594119
809,97.91236296,2.087637041
810,97.79008524,2.209914764
811,97.67038482,2.329615179
812,97.52987587,2.47012413
813,97.39155061,2.608449391
814,97.26679242,2.733207584
815,97.14693671,2.85306329
816,97.02476843,2.975231568
817,96.88009938,3.119900622
818,96.72868623,3.271313775
819,96.58633846,3.413661538
820,96.46131629,3.538683706
821,96.3371293,3.662870696
822,96.20545978,3.794540218
823,96.06265324,3.937346756
824,95.91650945,4.083490554
825,95.78410792,4.215892081
826,95.65576857,4.344231429
827,95.5264041,4.473595897
828,95.39509849,4.604901507
829,95.26827667,4.731723331
830,95.1527088,4.847291201
831,95.04008749,4.959912506
832,94.89833292,5.101667077
833,94.76960139,5.230398614
834,94.65765972,5.342340283
835,94.55618752,5.443812485
836,94.45203596,5.547964045
837,94.35182448,5.648175519
838,94.24767934,5.752320657
839,94.14477628,5.855223718
840,94.06456306,5.935436943
841,93.95591594,6.044084065
842,93.86391624,6.136083758
843,93.77369321,6.226306793
844,93.68041289,6.319587115
845,93.60030807,6.399691927
846,93.52745175,6.472548254
847,93.45613998,6.543860022
848,93.38464028,6.615359725
849,93.3127293,6.687270697
850,93.24850515,6.751494848
851,93.19660428,6.803395716
852,93.15767826,6.842321738
853,93.11160386,6.888396137
854,93.05746701,6.94253299
855,93.00077273,6.999227272
856,92.94702604,7.052973958
857,92.90173198,7.098268022
858,92.87258641,7.127413587
859,92.84445717,7.155542827
860,92.81441532,7.185584681
861,92.79380071,7.206199291
862,92.77389136,7.226108642
863,92.75409351,7.245906493
864,92.73856135,7.261438651
865,92.73022945,7.26977055
866,92.72977265,7.270227348
867,92.72977265,7.270227348
868,92.72977265,7.270227348
869,92.72977265,7.270227348
870,92.73332323,7.26667677
871,92.74511157,7.25488843
872,92.75952435,7.240475652
873,92.77668498,7.223315018
874,92.79731744,7.202682563
875,92.81905689,7.180943109
876,92.84430667,7.155693333
877,92.86877176,7.131228238
878,92.90007682,7.099923179
879,92.94060938,7.059390617
880,92.98704221,7.012957792
881,93.03645448,6.963545517
882,93.08592539,6.914074609
883,93.13253412,6.867465879
884,93.17335986,6.826640143
885,93.20548179,6.794518214
886,93.25652848,6.743471525
887,93.30727291,6.692727086
888,93.36007762,6.639922379
889,93.42182563,6.57817437
890,93.48443207,6.515567927
891,93.54531326,6.454686742
