  wavelength    amplitude
7.00000000E-07 2.82842712E+00
7.00195503E-07 3.00000000E+00
7.00391007E-07 2.82842712E+00
7.00586510E-07 2.00000000E+00
7.00782014E-07 2.44948974E+00
7.00977517E-07 2.82842712E+00
7.01173021E-07 3.16227766E+00
7.01368524E-07 3.16227766E+00
7.01564027E-07 2.82842712E+00
7.01759531E-07 2.00000000E+00
7.01955034E-07 2.64575131E+00
7.02150538E-07 2.64575131E+00
7.02346041E-07 2.64575131E+00
7.02541544E-07 2.64575131E+00
7.02737048E-07 2.44948974E+00
7.02932551E-07 2.44948974E+00
7.03128055E-07 2.23606798E+00
7.03323558E-07 2.82842712E+00
7.03519062E-07 2.64575131E+00
7.03714565E-07 2.82842712E+00
7.03910068E-07 3.16227766E+00
7.04105572E-07 3.60555128E+00
7.04301075E-07 2.44948974E+00
7.04496579E-07 2.44948974E+00
7.04692082E-07 2.44948974E+00
7.04887586E-07 2.44948974E+00
7.05083089E-07 2.64575131E+00
7.05278592E-07 2.64575131E+00
7.05474096E-07 3.00000000E+00
7.05669599E-07 2.00000000E+00
7.05865103E-07 2.00000000E+00
7.06060606E-07 2.44948974E+00
7.06256109E-07 2.64575131E+00
7.06451613E-07 3.16227766E+00
7.06647116E-07 3.00000000E+00
7.06842620E-07 3.31662479E+00
7.07038123E-07 3.00000000E+00
7.07233627E-07 2.44948974E+00
7.07429130E-07 2.82842712E+00
7.07624633E-07 2.44948974E+00
7.07820137E-07 2.82842712E+00
7.08015640E-07 2.00000000E+00
7.08211144E-07 2.64575131E+00
7.08406647E-07 3.16227766E+00
7.08602151E-07 2.44948974E+00
7.08797654E-07 2.64575131E+00
7.08993157E-07 2.82842712E+00
7.09188661E-07 2.00000000E+00
7.09384164E-07 2.44948974E+00
7.09579668E-07 2.82842712E+00
7.09775171E-07 2.44948974E+00
7.09970674E-07 2.64575131E+00
7.10166178E-07 2.82842712E+00
7.10361681E-07 2.00000000E+00
7.10557185E-07 3.00000000E+00
7.10752688E-07 3.16227766E+00
7.10948192E-07 2.82842712E+00
7.11143695E-07 2.82842712E+00
7.11339198E-07 3.16227766E+00
7.11534702E-07 1.73205081E+00
7.11730205E-07 3.00000000E+00
7.11925709E-07 3.46410162E+00
7.12121212E-07 3.00000000E+00
7.12316716E-07 2.82842712E+00
7.12512219E-07 2.00000000E+00
7.12707722E-07 3.31662479E+00
7.12903226E-07 2.82842712E+00
7.13098729E-07 2.64575131E+00
7.13294233E-07 1.41421356E+00
7.13489736E-07 2.44948974E+00
7.13685239E-07 2.44948974E+00
7.13880743E-07 2.64575131E+00
7.14076246E-07 3.16227766E+00
7.14271750E-07 2.44948974E+00
7.14467253E-07 2.23606798E+00
7.14662757E-07 1.73205081E+00
7.14858260E-07 2.64575131E+00
7.15053763E-07 2.23606798E+00
7.15249267E-07 2.44948974E+00
7.15444770E-07 2.44948974E+00
7.15640274E-07 3.00000000E+00
7.15835777E-07 2.00000000E+00
7.16031281E-07 2.23606798E+00
7.16226784E-07 2.00000000E+00
7.16422287E-07 2.23606798E+00
7.16617791E-07 3.00000000E+00
7.16813294E-07 2.82842712E+00
7.17008798E-07 3.16227766E+00
7.17204301E-07 2.82842712E+00
7.17399804E-07 2.82842712E+00
7.17595308E-07 3.16227766E+00
7.17790811E-07 2.44948974E+00
7.17986315E-07 3.00000000E+00
7.18181818E-07 2.64575131E+00
7.18377322E-07 3.16227766E+00
7.18572825E-07 2.82842712E+00
7.18768328E-07 3.87298335E+00
7.18963832E-07 2.64575131E+00
7.19159335E-07 2.82842712E+00
7.19354839E-07 3.00000000E+00
7.19550342E-07 2.82842712E+00
7.19745846E-07 2.82842712E+00
7.19941349E-07 2.44948974E+00
7.20136852E-07 2.44948974E+00
7.20332356E-07 2.82842712E+00
7.20527859E-07 2.00000000E+00
7.20723363E-07 2.64575131E+00
7.20918866E-07 2.82842712E+00
7.21114370E-07 2.82842712E+00
7.21309873E-07 2.82842712E+00
7.21505376E-07 2.82842712E+00
7.21700880E-07 3.46410162E+00
7.21896383E-07 3.31662479E+00
7.22091887E-07 2.82842712E+00
7.22287390E-07 2.44948974E+00
7.22482893E-07 2.82842712E+00
7.22678397E-07 2.44948974E+00
7.22873900E-07 3.46410162E+00
7.23069404E-07 3.00000000E+00
7.23264907E-07 2.82842712E+00
7.23460411E-07 3.16227766E+00
7.23655914E-07 2.44948974E+00
7.23851417E-07 2.82842712E+00
7.24046921E-07 2.44948974E+00
7.24242424E-07 3.00000000E+00
7.24437928E-07 3.16227766E+00
7.24633431E-07 2.44948974E+00
7.24828935E-07 2.64575131E+00
7.25024438E-07 2.44948974E+00
7.25219941E-07 2.44948974E+00
7.25415445E-07 2.82842712E+00
7.25610948E-07 2.82842712E+00
7.25806452E-07 2.44948974E+00
7.26001955E-07 2.44948974E+00
7.26197458E-07 2.23606798E+00
7.26392962E-07 2.82842712E+00
7.26588465E-07 2.64575131E+00
7.26783969E-07 3.16227766E+00
7.26979472E-07 3.16227766E+00
7.27174976E-07 3.16227766E+00
7.27370479E-07 3.16227766E+00
7.27565982E-07 3.16227766E+00
7.27761486E-07 2.82842712E+00
7.27956989E-07 2.82842712E+00
7.28152493E-07 2.44948974E+00
7.28347996E-07 2.82842712E+00
7.28543500E-07 2.44948974E+00
7.28739003E-07 3.16227766E+00
7.28934506E-07 2.44948974E+00
7.29130010E-07 2.23606798E+00
7.29325513E-07 1.73205081E+00
7.29521017E-07 2.82842712E+00
7.29716520E-07 2.44948974E+00
7.29912023E-07 2.82842712E+00
7.30107527E-07 3.00000000E+00
7.30303030E-07 2.44948974E+00
7.30498534E-07 3.16227766E+00
7.30694037E-07 2.64575131E+00
7.30889541E-07 2.44948974E+00
7.31085044E-07 3.31662479E+00
7.31280547E-07 2.64575131E+00
7.31476051E-07 3.00000000E+00
7.31671554E-07 3.74165739E+00
7.31867058E-07 3.16227766E+00
7.32062561E-07 3.00000000E+00
7.32258065E-07 3.00000000E+00
7.32453568E-07 2.82842712E+00
7.32649071E-07 2.64575131E+00
7.32844575E-07 3.00000000E+00
7.33040078E-07 2.82842712E+00
7.33235582E-07 3.87298335E+00
7.33431085E-07 3.16227766E+00
7.33626588E-07 3.87298335E+00
7.33822092E-07 5.19615242E+00
7.34017595E-07 5.38516481E+00
7.34213099E-07 5.19615242E+00
7.34408602E-07 4.00000000E+00
7.34604106E-07 3.74165739E+00
7.34799609E-07 3.16227766E+00
7.34995112E-07 4.00000000E+00
7.35190616E-07 3.74165739E+00
7.35386119E-07 4.24264069E+00
7.35581623E-07 3.31662479E+00
7.35777126E-07 3.46410162E+00
7.35972630E-07 3.60555128E+00
7.36168133E-07 3.87298335E+00
7.36363636E-07 2.64575131E+00
7.36559140E-07 3.46410162E+00
7.36754643E-07 3.31662479E+00
7.36950147E-07 3.74165739E+00
7.37145650E-07 2.64575131E+00
7.37341153E-07 3.60555128E+00
7.37536657E-07 4.00000000E+00
7.37732160E-07 3.46410162E+00
